افريقا	非洲
لاتين ژبه	拉丁语
بحرین	巴林
ارمنستان	亞美尼亞
مېخي ليکدود	楔形文字
هیگزبوسون	希格斯玻色子
سربيا	塞尔维亚
سپوږمۍ	月球
استنبول	伊斯坦堡
آسټراليا	澳大利亚
پنځپوهنه	物理学
ارجنټاین	阿根廷
مخابرات	电信
پيرو	秘鲁
ژونپوهنه	生物学
شمالي کوريا	朝鲜民主主义人民共和国
کمبودیا	柬埔寨
قرآن	古兰经
ډانگسر	恐龙
ژوپوهنه	动物学
اسلام	伊斯兰教
ناک	梨
بوټپوهنه	植物学
لېخ والېسا	莱赫·瓦文萨
اروپايي اتحاديه	欧洲联盟
WWW	万维网
شعر	诗歌
کمپيوټري ويروس	计算机病毒
ليمو	柠檬
گل	花
ناپليون بوناپارت	拿破仑一世
لمر	太阳
آسمان	天空
وېکټور هوگو	维克多·雨果
اقيانوسيه	大洋洲
لمريز غونډال	太阳系
هايډروجن	氢
انگېلا مېرکل	安格拉·默克爾
لوړغږی	揚聲器
ورځ	日
شپه	晚上
کال	年
پېړۍ	世纪
اوسلو	奥斯陆
جنسي اړيکې	人类性行为
دوبۍ	杜拜
آکسيجن	氧
سياره	行星
سندارا	音乐
مسکو	莫斯科
چاډ	乍得
الومېنيم	铝
هند	印度
اوسپنه	铁
لوېديځ	西
گوگړ	硫
ساموا	萨摩亚
ختيځ	東
وېليم شېکسپيير	威廉·莎士比亚
نكل	寓言
مارشال ټاپووان	馬紹爾群島
مغولستان	蒙古国
سترنج	國際象棋
چنگېز خان	成吉思汗
آس	马
امسټرډام	阿姆斯特丹
وسله	武器
ژوي	动物
سورينام	蘇利南
گويانا	圭亚那
اېکوادور	厄瓜多尔
ځمکني توتان	草莓属
بوديزم	佛教
بولېویا	玻利維亞
تامبه	铜
بوټی	植物
سېنټ لوسیا	圣卢西亚
ليونارډو ډاوېنچي	列奥纳多·达·芬奇
چڼاس	真菌
جمايکا	牙买加
گرېنادا	格林纳达
گواتمالا	危地马拉
هندوراس	洪都拉斯
ډومنيکان جمهوريت	多明尼加
اهلي خوگ	家豬
شمالي قطبي سمندر	北冰洋
هایتي	海地
اېلسلوادور	萨尔瓦多
ايران	伊朗
عراق	伊拉克
کوسټاریکا	哥斯达黎加
اسرائيل	以色列
پاناما	巴拿马
يمن	也门
اردن	约旦
نیکاراگوا	尼加拉瓜
قرغزستان	吉尔吉斯斯坦
کوېټ	科威特
لاووس	老挝
لېبنان	黎巴嫩
مالديپ	马尔代夫
امريکا لويه وچه	美洲
ميانمار	缅甸
نيپال	尼泊尔
عمان	阿曼
پاکستان	巴基斯坦
قطر	卡塔尔
سعودي عربستان	沙特阿拉伯
سریلانکا	斯里蘭卡
جوزف سټالين	斯大林
سوريه	叙利亚
اپلاتون	柏拉图
تاجيکستان	塔吉克斯坦
د چين جمهوريت	中華民國
يوټيوب	YouTube
ارستو	亚里士多德
تايلنډ	泰国
اورگاډی	鐵路列車
آرسېنيک	砷
راډيو	无线电
تورکمنستان	土库曼斯坦
عربي متحده امارات	阿拉伯联合酋长国
چارلس چاپلين	查理·卓别林
سوېلي کوريا	大韩民国
سمپسنز	辛普森一家
افغانستان	阿富汗
بنگله دېش	孟加拉国
فرانتس کافکا	弗朗茨·卡夫卡
مالي	马里共和国
سوقرات	苏格拉底
آنگولا	安哥拉
بوتان	不丹
ټويټر	Twitter
برونای	文莱
تانزانیه	坦桑尼亚
پاره	汞
فلېپين	菲律宾
د منځنی افريقا ولسمشريزه	中非共和國
آيزاک نيوټن	艾萨克·牛顿
آلبرټ آينشټاين	阿尔伯特·爱因斯坦
تونس	突尼西亞
زېمبيا	赞比亚
زېمبابوې	辛巴威
بېجنگ	北京市
سوېلي سوډان	南蘇丹
بېنين	贝宁
بوتسوانا	波札那
بورکینا فاسو	布吉納法索
بروندي	蒲隆地
کانگو جمهوريت	刚果共和国
جېبوتي	吉布提
پولونيم	钋
باډن ورټمبرگ	巴登-符腾堡
اریتره	厄立特里亚
فيودور ميخايلوويچ داستاېفسکي	費奧多爾·米哈伊洛維奇·陀思妥耶夫斯基
گابن	加蓬
مهاتما گاندي	圣雄甘地
گامبيا	冈比亚
عاج ساحل	科特迪瓦
کامرون	喀麦隆
لايبېريا	利比里亚
لېبيا	利比亚
مادغاسکر	马达加斯加
مالاوي	马拉维
موریتانيا	毛里塔尼亚
ماوریتوس	毛里求斯
مراکش	摩洛哥
موزمبيق	莫桑比克
نېمبیا	纳米比亚
نایجېر	尼日尔
نايجېريا	奈及利亞
راونډا	卢旺达
سېنېگال	塞内加尔
سیشل	塞舌尔
سېرالیون	塞拉利昂
سومالیا	索马里
سوډان	苏丹共和国
سوازيلانډ	斯威士兰
شنه زرغونه	彩虹
استقلاب	代谢
ملگري ملتونه	联合国
دانتې الیگيري	但丁·阿利吉耶里
ځمکپېژندنه	地质学
ځمکپوهنه	地理学
زړه	心臟
ماغزه	脑
پراگ	布拉格
شين	藍色
سپين زر	銀
يورانيم	鈾
پلوتونيم	钚
ممبای	孟买
گوا	果阿邦
مهاراشترا	马哈拉施特拉邦
زارلاند	薩爾蘭
براندنبورگ	勃兰登堡
برېمن (ايالت)	不來梅州
بيت المقدس	耶路撒冷
هندي سمندر	印度洋
کلراډو	科羅拉多州
ژمی	冬季
پسرلی	春季
دوبی	夏季
منی	秋季
اسامه بن لادن	奥萨马·本·拉登
اوپرا	歌剧
کلکته	加尔各答
ډېلي	德里
بند پایان	节肢动物
اسلام آباد	伊斯兰堡
پيسې	貨幣
خوځندکې	昆虫
ولادمير ايليچ لېنين	列宁
نېكولو مكياوېلې	尼可罗·马基亚维利
مايکروسافټ وېنډوز	Microsoft Windows
مانيلا	马尼拉
توکيو	東京都
استانه	阿斯塔納
بغداد	巴格达
هندي ژبه	印地语
اوردو ژبه	乌尔都语
واليبال	排球
وين	維也納
ډبلن	都柏林
بوډاپسټ	布达佩斯
د مسيح حقيقي کليسا	真耶稣教会
انگرېزي ژبه	英语
بانگکوک	曼谷
کوالالامپور	吉隆坡
ديپلوماسي	外交
کيېف	基輔
كونسكوولا	孔斯科沃拉
2012	2012年
2013	2013年
خواړه	食物
اېلېکټرون	电子
رغاويز اوښتون	工业革命
د روم ټولواکمني	羅馬帝國
مايکروسافټ	微软
پروټون	質子
کوروف	库鲁夫
کيميا	化學
نيوټرون	中子
صنعا	萨那
آرنولد شوارزنېگر	阿诺·施瓦辛格
فوټبال	足球
آيفون	IPhone
مايکل جېکسن	迈克尔·杰克逊
انتوان دي سينت اکسيوپيري	安托万·德圣埃克絮佩里
سور	红色
هوا	地球大气层
پېرى	鎮尼
ربات	拉巴特
الجزيره	阿爾及爾
ترابلس	的黎波里
تهران	德黑兰
جکارتا	雅加达
انقره	安卡拉
رياض	利雅德
فوټ	英尺
وېشنيزه:د ويکيپېډيا کينډۍ	Category:維基百科模板
د مشق	大马士革
لوم	洛美
دوها	多哈
دودوما	多多马
ښوونځی	学校
پوهنتون	大學
د پوهنغونډ په اړه	Wikipedia:新手入門/主頁
آسټراليا (لويه وچه)	澳大利亞洲
ورونپاسی	筆記型電腦
الجبر	代数
دونگ هوی هوايي ډگر	同海機場
آر دړه	主板
كوريتيبا	庫里奇巴
پنجاب (پاکستان)	旁遮普省
وېشنيزه:د افغانستان پېښليک	Category:阿富汗历史
توماس شېن کانېري	肖恩·康纳利
كنفيوشيوس	孔子
کوربن بليو	柯賓·布魯
وېشنيزه:شمېرپوهنه	Category:数学
کينډۍ:د هېواد مالومات ایران	Template:Country data Iran
وېشنيزه:د ایران تاریخ	Category:伊朗歷史
امريکايي ډالر	美元
عيسويت	基督教
لويه وچه	洲
مرغه	鸟
پلازمېنه	首都
کينډۍ:اسلام	Template:伊斯兰教
مياشت (موده)	月
مصطفی کمال اتاتورک	穆斯塔法·凯末尔·阿塔蒂尔克
کينډۍ:تانبه	Template:Portal
هوانگ شيان فان	黄现璠
بقراط	希波克拉底
الماس	钻石
پوهنغونډ	百科全书
RAM	随机存取存储器
لومړی مخ	Wikipedia:首页
کانډنسر	电容器
باسکټبال	篮球
کرېکټ	板球
اوراسيا	歐亞大陸
د هېتیانو واکمنۍ	赫梯
وينه لږی	贫血
کېپ ټاون	開普敦
قراقرم	喀喇昆仑山脉
هندوکش	興都庫什山脈
ميترو	地鐵
کنځری	栒子属
پيکاسو	巴勃羅·畢卡索
بس	公共汽車
ټرام	有軌電車
بابل	巴比伦
آنتون پاولوف چيخوف	安东·帕夫洛维奇·契诃夫
چارلېز ډيکېنز	查尔斯·狄更斯
سپارتا	斯巴达
موينجو دېړو	摩亨佐-达罗
سمرقند	撒馬爾罕
بخارا	布哈拉
چې گوارا	切·格瓦拉
کابل	喀布尔
گوېټه	约翰·沃尔夫冈·冯·歌德
مهبل	阴道
فلسفه	哲学
د مقدس ویټوس کليسا	圣维特主教座堂
چای	茶
کمونيزم	共产主义
انارشيزم	无政府主义
پانگولي	资本主义
لېبراليزم	自由主义
فاشېزم	法西斯主义
ولسپالنه	民族主義
حافظ شېرازي	哈菲兹 (诗人)
هېوادپالنه	愛國主義
هیواد	国家
ولس	民族
هيلري کلنټن	希拉里·罗德姆·克林顿
د برتانيې موزيم	大英博物馆
ژان ژاک روسو	让-雅克·卢梭
هومر	荷马
الكساندر هومبولدت	亚历山大·冯·洪堡
کوارک	夸克
اېډوارډ ټېللر	愛德華·泰勒
تور زېړی	乙型肝炎
اتيزم	无神论
نيلز بوهر	尼尔斯·玻尔
ژونکيميا	生物化学
ژونپنځپوهنه	生物物理学
چاپېريالپوهنه	生态学
بارسلونا فوټبال کلب	巴塞罗那足球俱乐部
واگ	政治
ووبپوهنه	组织学
عربي ټولنه	阿拉伯国家联盟
ولسواکي	民主
نجيب محفوظ	納吉布·馬哈福茲
د سره صليب او سرې مياشتې نړيوال غورځنگ	国际红十字与红新月运动
نړيوالتوب	全球化
ناټو	北大西洋公约组织
جين	基因
حکومت	政府
نوبل جايزه	诺贝尔奖
چېن شي هوانگ	秦始皇
منځنی ختيځ	中东
رنځپوهنه	病理学
رابندرانات ټاگور	罗宾德拉纳特·泰戈尔
لېو نيكولايوويچ تولستوى	列夫·托爾斯泰
مارک ټوېن	马克·吐温
ايډيالوژي	意識形態
ادا لولېس	愛達·勒芙蕾絲
مارکسيزم	马克思主义
ولسمشريزه	共和制
دولت	國 (政治)
گوند	政党
بډمنټن	羽毛球
يوري الکسويچ گاگارين	尤里·阿列克谢耶维奇·加加林
ابن بطوطه	伊本·白图泰
اباسين (سيند)	印度河
فرانز جوزیف هایدن	约瑟夫·海顿
غوږ	耳
سترگه	眼
سندره	歌曲
اوښ	骆驼
تی لرونکی ځناوران	哺乳动物
مېږی	蚂蚁
مارگريت تاچر	玛格丽特·撒切尔
ډي آکسي رايبونيوکليک اسيد	脱氧核糖核酸
ژباړه	翻译
ښامار	龙 (西方)
مور	母親
پلار	父親
لېږدچارې	运输
روسي ژبه	俄语
ولادمير پوتين	弗拉基米尔·弗拉基米罗维奇·普京
حقوق	法律
اساسي قانون	宪法
د بشري حقونو نړېواله اعلاميه	世界人权宣言
د روغتيا نړيوال سازمان	世界卫生组织
د سوداگرۍ نړيوال سازمان	世界贸易组织
پرېولنځی	馬桶
طبيعت	自然
سادرملنه	精神病学
ژونکه	细胞
وينه	血液
هډوانه	骨骼系統
سږي	肺
ساييز غونډال	呼吸系統
رومانيايي ژبه	羅馬尼亞語
بلغاريايي ژبه	保加利亚语
روزنپوهنه	教育学
يمال	雪崩
رېږدله	地震
طبيعي پوهنې	自然科学
ابن سينا بلخي	伊本·西那
وېنسټون چرچل	温斯顿·丘吉尔
نېلسن مانډېلا	纳尔逊·曼德拉
انزايم	酶
امينو اسيد	氨基酸
ورېځ	云
سولپوهنه	逻辑
مېچپوهنه	几何学
وټپوهنه	经济学
پانگه (وټپوهنه)	资本
ارز	通貨
رغاوه	产业
ورکړېنه	稅
ژبپوهنه	语言学
يوناني ابېڅې	希腊字母
ادبپوهنه	文學
وېشنيزه:فرانسه	Category:法国
ناول	長篇小說
سره گيدړه	赤狐
اوستراوا	俄斯特拉发
کوروش ۲	居鲁士二世
ټولنه	社会
تمدن	文明
زده کړه	教育
هوگو چاوېز	烏戈·查維茲
واده	婚姻
وگړنيز حقوق	人权
توکمپالنه	种族主义
گوډ تېمور	帖木儿
عمر بن خطاب	欧麦尔·本·赫塔卜
پوځ	軍事
سلیمان ۱	苏莱曼一世 (奥斯曼帝国)
قهوه	咖啡
د آمو سيند	阿姆河
شيدې	乳
غر	山
هري رود	哈里河
هلمند رود	赫爾曼德河
توكبنسټ	数据库
کابل سيند	喀布尔河
صلاح الدين ايوبي	萨拉丁
اشوک	阿育王
جلال الدين محمد اکبر	阿克巴
هانگ کانگ	香港
کراچۍ	卡拉奇
د ريال مادريد فوټبال کلب	皇家马德里足球俱乐部
سيول	首爾
شانگهای	上海市
د ماد واکمني	米底王国
اقليدس	欧几里得
بايټ	字节
محمد بن موسی خوارزمي	花拉子米
ناروېژي ژبه	挪威语
نوم چومسكي	诺姆·乔姆斯基
چيکی ژبه	捷克语
کارل مارکس	卡尔·马克思
موسی	摩西
پوهه	知识
هندويزم	印度教
اټوم	原子
يوناني ژبه	希腊语
چليز غونډال	操作系统
تاج محل	泰姬陵
بنسټپالنه	原教旨主義
برېښليک	电子邮件
پاړسي ژبه	波斯语
مذهب	宗教
اېمپاير سټېټ ودانۍ	帝国大厦
سېگمونډ فرايډ	西格蒙德·弗洛伊德
جاينيزم	耆那教
گيورگ ويلهېلم فرېدرېش هېگل	格奥尔格·威廉·弗里德里希·黑格尔
باکو	巴库
تاجکي ژبه	塔吉克语
اوزبکي ژبه	乌孜别克语
تورکمني ژبه	土库曼语
يهوديت	犹太教
آزربايجاني ژبه	阿塞拜疆语
ابن خلدون	伊本·赫勒敦
امانوېل کانت	伊曼努尔·康德
سکيزم	锡克教
فرېدرېک وېلهېلم نېتشي	弗里德里希·尼采
بشکیک	比什凯克
دوشنبه	杜尚别
اينه	肝臟
پښتورگی	腎
ادم سمېت	亚当·斯密
احساس	情绪
ساپوهنه	心理学
آند	思想
مهاوېرا	笩駄摩那
سمندر	洋
ملکه وېکټوريا	维多利亚 (英国君主)
محمد	穆罕默德
اخلاق	伦理学
پوهنپوهنه	知识论
سچين رمېش ټنډولکر	沙奇·德鲁卡
عبدالکلام	阿卜杜尔·卡拉姆
بي بي سي	英国广播公司
شاهرخ خان	沙·魯克·罕
سلمان خان	薩爾曼·汗
محمد الغزالي	安薩里
عامر خان	阿米爾·罕
اميتاببچن	阿米塔布·巴沙坎
شيعه	什叶派
گېډه	腹
زرتشتيت	琐罗亚斯德教
تصوف	蘇非主義
ژبه (اناتومي)	舌
پانکراس	胰脏
غاړه	頸
کمزوره شوي یورانیم	貧鈾
هولي	侯丽节
زړه پوهنه	心臟病學
ډېوېډ بکهم	大卫·贝克汉姆
کيم جونگ ايل	金正日
وېشنيزه:وېنزوېلا	Category:委内瑞拉
روبېرت موگابي	羅伯·穆加貝
خاپوړن	爬行动物
کوتره	鸠鸽科
باکټريا	细菌
ونه	树
دوه ژوندوي	两栖动物
اوښتون	革命
انگور	葡萄
گبين	蜂蜜
کچالو	马铃薯
سابه	蔬菜
ټکنالوجي	技术
انجينري	工程学
خبريالي	新闻学
ورځپاڼه	報紙
غږلېږدی	电话
هڅوب	文化
سانسکریت ژبه	梵语
د زړه او رگونو غونډال	循环系统
د پارکېنسون ناروغي	帕金森氏症
گارډيان	衛報
انډيپېنډنټ	獨立報
درملگري	医学
مقننه قوه	立法机构
مالگه	食盐
مايکروسافټ آفېس	Microsoft Office
وېشنيزه:رومانیا	Category:罗马尼亚
کيمياوي توکی	化學元素
ابن باجه	伊本·巴哲
هورمون	激素
اپارتايد	南非種族隔離
لوبه	游戏
جودو	柔道
مقناطيس	磁鐵
فلم	电影
ساهيالي	动画
کرنه	农业
غږ	声音
نانو تکنالوژي	纳米技术
ښيښه	玻璃
وخت	时间
ليکپاڼه	纸
کازمېکي وړانگې	宇宙線
جوار	玉米
انځورکښنه	绘画
تشیالیونی	宇航员
انځوراخيستنه	摄影
برېښنايي ټېکنالوژي	电子学
فريکونسي	頻率
خوړنځی	餐馆
د لودیانو ټولواکمني	洛迪王朝
لاهور	拉合爾
د خپلواکو هېوادونو لړليک	世界政區索引
ابوريحان بيروني	比魯尼
څېړۍ	栎属
سرطان	癌症
کولرا	霍亂
غنم	小麦
ناروغي	疾病
گرېگوري کليز	公历
نیکوتین	尼古丁
روغتيا	健康
ملاريا	疟疾
انټيبايوټيک	抗细菌药
پنسلين	青霉素
نېمونيا	肺炎
گوزڼ	脊髓灰質炎
اېډز	艾滋病
نری رنځ	結核
ډايبېټېز مېلېټوز	糖尿病
صليبي جگړې	十字軍東征
منځنۍ پېړۍ	中世纪
عثماني پېر	奥斯曼帝国
د کورنيو توليداتو ټوليز ارزښت	国内生产总值
برېښنا	電
یان آموس کمېنسکي	约翰·阿摩司·夸美纽斯
اټومي برېښناکوټ	核動力
د بړاس ماشين	蒸汽机
توره (وسله)	劍
هستوي وسلې	核武器
شوبله	坦克
هرمان ون رومپوې	赫尔曼·范龙佩
غرني توت	藍莓
تورتوت	黑莓
ناريال	椰
انار	石榴
مالټه	橙
A New Etymological Vocabulary of Pashto	奇異果
گراڅ	格拉茨
ډېبټ کارډ	借记卡
انجلينا جولي	安吉丽娜·朱莉
عربي ژبه	阿拉伯语
کانډوم	避孕套
تيرانوسور	暴龍屬
تریسراتوپس	三角龍屬
ستگوسور	劍龍屬
کارکارودونتوسور	鲨齿龙属
وچکښ	铅笔
برنو	布爾諾
هوجينتاو	胡锦涛
د شوروي سوسياليستي جمهوريتونو اتحاد	苏联
انځورۍ	照相機
اېچ آی وي	人類免疫缺陷病毒
يومکی	肩胛骨
ځاني سولگر	个人电脑
بروس لي	李小龙
هايپوتايرايډيزم	甲狀腺機能低下症
نړۍ	世界
د روم جمهوريت	罗马共和国
ټریلوبیټ	三葉蟲
گردکه	圆
گرځنده غږلېږدی	移动电话
اوښمرغه	鸵鸟
ويټامين اې	維生素A
بغ	鹭科
پيونگيانگ	平壤
د لور موندنې نړيوال غونډال	全球定位系统
د هېوادونو لړليک د کورنيو توليداتو د ټوليز ارزښت له مخې	各国国内生产总值列表 (国际汇率)
جگتورن	上尉
سمندري غڼې	海蜘蛛
لړم	蠍子
ما اينگ جيو	馬英九
سمندري لړمان	广翅鲎
انټرنټ لټوونکی ماشين	搜索引擎
بخارست	布加勒斯特
لوور	卢浮宫
تیرانا	地拉那
ويکټوريا بېکهم	维多利亚·贝克汉姆
درېڅنډی	三角形
سټيف جوبز	史蒂夫·乔布斯
معمر القذافي	穆阿迈尔·卡扎菲
پړانگ	虎
لومړی خوان کارلوس	胡安·卡洛斯一世
لمسنالۍ	触摸板
سامسونگ	三星集团
سولگرپوهنه	计算机科学
ټولنپوهنه	社会学
گاگره	混凝土
جغرافي کوراډينېټونو سيستم	经纬度
پڼې	鞋
بهايي	巴哈伊信仰
بانک	銀行
د وينا ازادي	言論自由
اډېل	愛黛兒
د نش ميزان	納什均衡點
هوږه	蒜
وگړپوهنه	人类学
بادرنگ	黄瓜
ارنېست مېلر هېمېنگوې	欧内斯特·海明威
عشق آباد	阿什哈巴德
ټاپو	島嶼
تور (رنگ)	黑色
پياز	洋蔥
رسمي ژبه	官方语言
لرغونپوهنه	考古学
بالکان	巴尔干半岛
سلاوي ژبې	斯拉夫语族
سر	头
ولسي لاره	国歌
تماسي عدسيه	隱形眼鏡
الفرېډ نوبل	阿尔弗雷德·诺贝尔
ږمنځ	梳篦
لیلا داونز	利拉·唐斯
موسم	季节
راولپنډۍ ولسوالۍ	拉瓦尔品第县
ډبرين سکاره	煤
يارمخچۍ	大短趾百灵
نينورشک	新挪威語
بوکمول	書面挪威語
کونگ	貓頭鷹
شمزۍ لرونکي ژوي	脊椎动物
نړېوال تشيال تمځای	国际空间站
ISO 3166-1	ISO 3166-1
کجوره	海枣
څټک	槌
اروپايي کاغۍ	喜鹊
چابکۍ	蟑螂
كوچنى شاهزاده	小王子 (小说)
شمالي باز	蒼鷹
غضروفی کبان	軟骨魚綱
ځنگلي سار	普通鵟
سيلاني کارغه	秃鼻乌鸦
لويديځي کاغۍ	寒鸦
شودپۍ	白鹡鸰
اېشېريکيا کولي	大腸桿菌
توتکۍ	家燕
گنگو	番紅花
ترکاڼک	啄木鸟科
شامتوره	紫翅椋鸟
کوشانيان	貴霜帝國
کومکۍ	斑尾林鸽
جوک	赤胸朱顶雀
آتروپين	阿托品
شين شارک	大青鲨
اورني سمندر	火蠑螈
سپوږمکۍ	人造衛星
شينغاړی	蓝点颏
تورياڼۍ	雨燕科
لونگ	丁香
زيره	葛縷子
وژونکی نهنگ	虎鯨
سپېرکونده	凤头百灵
منځنۍ آسيا	中亚
شمالي افريقا	北部非洲
مرکزي افريقا	中部非洲
ختيځه اروپا	东欧
لوېديځه اروپا	西欧
افريقايي اوراسيا	歐亞非大陸
د فلسفې تاريخ	哲學史
زي نړیواله جگړه (فلم)	地球末日戰
مړز	鹌鹑
مروری	德國洋甘菊
چې زېټ ۸۰۵ برېن توپک	CZ-805 Bren突擊步槍
کمول (مارغه)	鹳科
اوبدانه	纺织品
توکي	商品
سپوږميز ليږديز کليز	伊斯兰历
ميلوش زېمان	米洛什·泽曼
اېف-۱۵	F-15鷹式戰鬥機
ليوکېمي	白血病
ديموکراتيک گوند ( د امريکا متحده ایالتونه)	民主党 (美国)
ټيکاله	百灵科
شاتو مچی	西方蜜蜂
شړشم	芥菜类蔬菜
خاورين چينجی	普通蚯蚓
ولسمشر	總統
باشه	游隼
رودولف کلاوزيوس	魯道夫·克勞修斯
تورغوږی	獰貓
ډېل	戴爾
شمېرنی	计算器
شاه محمود هوتک	馬哈茂德·霍塔克
امير عبدالرحمان خان	阿布杜爾·拉赫曼汗
د عربستان ټاپووزمه	阿拉伯半岛
امير دوست محمد خان	多斯特·穆罕默德汗
بېریف بې-۲۰۰	Be-200飛艇
پهلوي ژبه	中古波斯语
وری	白羊宮
جېهلم ولسوالۍ	杰赫勒姆县
ملاله يوسفزۍ	马拉拉·优素福扎伊
جومات	清真寺
بلوڅی ژبه	俾路支语
د کتاب نړيواله کره شمېره	国际标准书号
د کندهار نړيوال هوايي ډگر	坎大哈国际机场
د مغولو پاچايي	莫卧儿帝国
گړدود	方言
ایرانی ژبی	伊朗语支
لاس	手
خلکو شمېر	人口
پاڼه	葉
لوبگر	演員
هاليووډ	好莱坞
محمد حسنی مبارک	穆罕默德·胡斯尼·穆巴拉克
دينپوهنه	神學
پابلو نرودا	巴勃罗·聂鲁达
زیوس	宙斯
موساد	以色列情報及特殊使命局
انجيل	福音书
الېکسانډر گراهام بېل	亚历山大·格拉汉姆·贝尔
ستورپېژندنه	占星学
ساز	乐器
ويټني هيوسټن	惠特妮·休斯顿
سابون	肥皂
موشوفتسی	莫绍夫采
شکيرا	夏奇拉
محمود احمدي نژاد	马哈茂德·艾哈迈迪内贾德
كېښكلى ټيكلى (CD)	CD
چورلکه	直升機
القاعده	基地组织
محمد فاتح	穆罕默德二世 (奥斯曼帝国)
اناستاسيا	安娜塔西亚
فرات	幼发拉底河
البېرټ کامو	阿尔贝·加缪
د فارس خليج	波斯湾
قطب نما	指南针
ټولنيزې پوهنې	社会科学
ټاپووزمه	半岛
اېف-۱۴	F-14雄貓式戰鬥機
ويټامين	维生素
تورات	妥拉
كرم	捲心菜
متل	谚语
هينداره	鏡子
لرغونې پاړسي	古波斯語
عربان	阿拉伯人
براډ پېت	畢·彼特
کړکۍ	窗
اکدي ژبه	阿卡德語
څارندوی	警察
ولسي جرگه	议会
اوساکا	大阪市
د کېمبرېج پوهنتون	剑桥大学
اجرايي قوه	行政机构
تعمید غسل	洗禮
ډډون	通货膨胀
سابندي	哮喘
عمر خيام	欧玛尔·海亚姆
وله	柳树
محمد علي کلي	穆罕默德·阿里
خاوره	土壤
اينځر	無花果
ليکوال	作家
د توهوکو سونامي او رېږدله ۲۰۱۱	2011年日本东北地方太平洋近海地震
