Afrika	非洲
Bangalore	班加羅爾
Hyderabad (India)	海得拉巴 (印度)
Islamabad	伊斯兰堡
Aapakaaq	猴
Uetersen	于特森
Finlandimiutut	芬兰语
Le Mans	勒芒
Bordeaux	波尔多
Buenos Aires	布宜諾斯艾利斯
Mexico City	墨西哥城
Tokyo	東京都
La Paz (Bolivia)	拉巴斯
Patagonien	巴塔哥尼亞
Abu Dhabi	阿布扎比
Baghdad	巴格达
Caracas	卡拉卡斯
Pune	浦那
Hindimiutut	印地语
Urdumiutut	乌尔都语
Wien	維也納
København	哥本哈根
Stockholm	斯德哥尔摩
Helsinki	赫尔辛基
Murmansk	摩爾曼斯克
Reykjavík	雷克雅維克
Tallinn	塔林
Riga	里加
Zanzibar	桑給巴爾
Gdańsk	格但斯克
Wrocław	弗罗茨瓦夫
Kaarasjoki	卡拉绍克
Luxembourg (illoqarfik)	盧森堡市
Biibili	聖經
Ho Chi Minh Illoqarfik	胡志明市
Hanoi	河內市
Jesusip Ilumiortup Ilagiissai	真耶稣教会
Tuluttut	英语
Bangkok	曼谷
Andorra la Vella	安道尔城
Odessa	敖德薩
Đồng Hới	同海市
Concepcion, Chile	康塞普西翁 (智利)
Kyiv	基輔
Ontario	安大略
Ottawa	渥太華
Manitoba	曼尼托巴
Alberta	艾伯塔
Nova Scotia	新斯科舍
Dar es Salaam	达累斯萨拉姆
Nouveau-Brunswick	新不倫瑞克
Britisk Columbia	不列颠哥伦比亚
Prince Edward Island	愛德華王子島
Saskatchewan	薩斯喀徹溫
2012	2012年
2011	2011年
2010	2010年
2009	2009年
Newfoundland aamma Labrador	紐芬蘭與拉布拉多
Northwest Territories	西北地区 (加拿大)
Yukon	育空
Nunavut	努納武特
Iqaluit	伊魁特
Whitehorse (Canada)	白馬市 (加拿大)
Yellowknife	黃刀鎮
St. John's (Newfoundland aamma Labrador)	聖約翰斯 (紐芬蘭-拉布拉多)
Edmonton (Canada)	埃德蒙顿
Regina (Canada)	里贾纳
Charlottetown (Canada)	夏洛特顿
Victoria (Canada)	維多利亞 (卑詩)
Winnipeg	温尼伯
Fredericton	弗雷德里克頓
Halifax (Canada)	哈利法克斯
Québec (illoqarfik)	魁北克市
Jannuaari 1	1月1日
Jannuaari 2	1月2日
Jannuaari 3	1月3日
Lund	隆德
Jannuaari 4	1月4日
Jannuaari 5	1月5日
Arica	阿里卡
Malmö	马尔默
Jannuaari 6	1月6日
Jannuaari 7	1月7日
Jannuaari 8	1月8日
Jannuaari 9	1月9日
Jannuaari 10	1月10日
Jannuaari 11	1月11日
Jannuaari 12	1月12日
Jannuaari 13	1月13日
Jannuaari 14	1月14日
Jannuaari 15	1月15日
Jannuaari 16	1月16日
Jannuaari 17	1月17日
Jannuaari 18	1月18日
Jannuaari 19	1月19日
Jannuaari 20	1月20日
Skien	希恩
Jannuaari 21	1月21日
Jannuaari 22	1月22日
Jannuaari 23	1月23日
Jannuaari 24	1月24日
Jannuaari 25	1月25日
Jannuaari 26	1月26日
Jannuaari 27	1月27日
Jannuaari 28	1月28日
Jannuaari 29	1月29日
Jannuaari 30	1月30日
Jannuaari 31	1月31日
Porsgrunn	波什格伦
Decemberi 2	12月2日
Decemberi 1	12月1日
Decemberi 3	12月3日
Decemberi 7	12月7日
Decemberi 5	12月5日
Decemberi 8	12月8日
Decemberi 10	12月10日
Decemberi 6	12月6日
Decemberi 9	12月9日
Decemberi 4	12月4日
Februaari 1	2月1日
Februaari 2	2月2日
Februaari 3	2月3日
Kurów (Puławy eqqaaniittoq)	库鲁夫
Februaari 4	2月4日
Februaari 5	2月5日
Februaari 6	2月6日
Februaari 7	2月7日
Februaari 8	2月8日
Februaari 9	2月9日
Februaari 10	2月10日
Februaari 14	2月14日
Februaari 13	2月13日
Februaari 15	2月15日
Februaari 11	2月11日
Februaari 12	2月12日
Februaari 19	2月19日
Februaari 17	2月17日
Februaari 16	2月16日
Februaari 18	2月18日
Februaari 20	2月20日
Februaari 21	2月21日
Februaari 22	2月22日
Februaari 23	2月23日
Februaari 24	2月24日
Februaari 25	2月25日
Februaari 26	2月26日
Februaari 27	2月27日
Februaari 28	2月28日
Decemberi 11	12月11日
Februaari 29	2月29日
Decemberi 12	12月12日
Decemberi 13	12月13日
Decemberi 14	12月14日
Decemberi 15	12月15日
Martsi 2	3月2日
Martsi 3	3月3日
Martsi 5	3月5日
Martsi 1	3月1日
Martsi 7	3月7日
Martsi 8	3月8日
Martsi 4	3月4日
Martsi 10	3月10日
Martsi 11	3月11日
Martsi 6	3月6日
Martsi 13	3月13日
Martsi 9	3月9日
Martsi 12	3月12日
Martsi 15	3月15日
Martsi 14	3月14日
Decemberi 16	12月16日
Decemberi 17	12月17日
Kristiansand	克里斯蒂安桑
Martsi 16	3月16日
Martsi 17	3月17日
Martsi 18	3月18日
Martsi 19	3月19日
Martsi 20	3月20日
Martsi 21	3月21日
Martsi 22	3月22日
Decemberi 18	12月18日
Martsi 23	3月23日
Decemberi 19	12月19日
Martsi 24	3月24日
Martsi 25	3月25日
Decemberi 20	12月20日
Martsi 26	3月26日
Martsi 27	3月27日
Martsi 28	3月28日
Martsi 29	3月29日
Martsi 30	3月30日
Martsi 31	3月31日
Sana'a	萨那
Apriili 15	4月15日
Apriili 13	4月13日
Apriili 12	4月12日
Apriili 14	4月14日
Apriili 11	4月11日
Apriili 10	4月10日
Apriili 8	4月8日
Apriili 9	4月9日
Apriili 7	4月7日
Apriili 6	4月6日
Apriili 5	4月5日
Apriili 4	4月4日
Apriili 3	4月3日
Apriili 1	4月1日
Apriili 2	4月2日
Apriili 16	4月16日
Apriili 17	4月17日
Apriili 18	4月18日
Apriili 19	4月19日
Apriili 20	4月20日
Apriili 21	4月21日
Apriili 22	4月22日
Apriili 23	4月23日
Apriili 24	4月24日
Apriili 25	4月25日
Apriili 26	4月26日
Apriili 27	4月27日
Apriili 28	4月28日
Apriili 29	4月29日
Apriili 30	4月30日
Maaji 1	5月1日
Maaji 2	5月2日
Maaji 3	5月3日
Maaji 4	5月4日
Maaji 5	5月5日
Maaji 6	5月6日
Maaji 7	5月7日
Maaji 8	5月8日
Maaji 9	5月9日
Maaji 10	5月10日
Maaji 11	5月11日
Maaji 12	5月12日
Maaji 13	5月13日
Maaji 14	5月14日
Maaji 15	5月15日
Maaji 16	5月16日
Maaji 17	5月17日
Maaji 18	5月18日
Maaji 19	5月19日
Maaji 20	5月20日
Maaji 21	5月21日
Maaji 22	5月22日
Maaji 23	5月23日
Maaji 24	5月24日
Maaji 25	5月25日
Maaji 26	5月26日
Maaji 27	5月27日
Maaji 28	5月28日
Maaji 29	5月29日
Maaji 30	5月30日
Maaji 31	5月31日
Decemberi 21	12月21日
Juuni 14	6月14日
Juuni 15	6月15日
Juuni 13	6月13日
Juuni 10	6月10日
Juuni 7	6月7日
Juuni 11	6月11日
Juuni 9	6月9日
Juuni 12	6月12日
Juuni 6	6月6日
Juuni 8	6月8日
Juuni 5	6月5日
Juuni 3	6月3日
Juuni 2	6月2日
Juuni 1	6月1日
Juuni 4	6月4日
Decemberi 22	12月22日
Juuni 16	6月16日
Juuni 30	6月30日
Juuni 29	6月29日
Juuni 28	6月28日
Juuni 26	6月26日
Juuni 25	6月25日
Juuni 22	6月22日
Juuni 27	6月27日
Juuni 24	6月24日
Juuni 20	6月20日
Juuni 23	6月23日
Juuni 19	6月19日
Juuni 18	6月18日
Juuni 21	6月21日
Juuni 17	6月17日
Decemberi 23	12月23日
Arnold Schwarzenegger	阿诺·施瓦辛格
Juuli 15	7月15日
Juuli 13	7月13日
Juuli 12	7月12日
Juuli 10	7月10日
Juuli 9	7月9日
Juuli 14	7月14日
Juuli 8	7月8日
Juuli 7	7月7日
Juuli 6	7月6日
Juuli 5	7月5日
Juuli 2	7月2日
Juuli 4	7月4日
Juuli 3	7月3日
Juuli 1	7月1日
Juuli 11	7月11日
Decemberi 24	12月24日
Juuli 31	7月31日
Juuli 30	7月30日
Juuli 29	7月29日
Juuli 28	7月28日
Juuli 27	7月27日
Juuli 25	7月25日
Juuli 24	7月24日
Juuli 23	7月23日
Juuli 26	7月26日
Juuli 22	7月22日
Juuli 19	7月19日
Juuli 21	7月21日
Juuli 20	7月20日
Juuli 17	7月17日
Juuli 18	7月18日
Juuli 16	7月16日
Decemberi 25	12月25日
Decemberi 26	12月26日
Aggusti 14	8月14日
Aggusti 15	8月15日
Aggusti 13	8月13日
Aggusti 12	8月12日
Aggusti 11	8月11日
Aggusti 10	8月10日
Aggusti 8	8月8日
Aggusti 7	8月7日
Aggusti 9	8月9日
Aggusti 5	8月5日
Aggusti 4	8月4日
Aggusti 2	8月2日
Aggusti 3	8月3日
Aggusti 6	8月6日
Aggusti 1	8月1日
Decemberi 27	12月27日
Madrid	马德里
Aggusti 16	8月16日
Aggusti 29	8月29日
Aggusti 28	8月28日
Aggusti 30	8月30日
Aggusti 25	8月25日
Aggusti 26	8月26日
Aggusti 23	8月23日
Aggusti 27	8月27日
Aggusti 21	8月21日
Aggusti 20	8月20日
Aggusti 24	8月24日
Aggusti 18	8月18日
Aggusti 17	8月17日
Aggusti 22	8月22日
Aggusti 19	8月19日
Aggusti 31	8月31日
Decemberi 28	12月28日
Bogotá	波哥大
Brasilia	巴西利亚
Septemberi 15	9月15日
Septemberi 14	9月14日
Septemberi 13	9月13日
Septemberi 12	9月12日
Septemberi 8	9月8日
Septemberi 11	9月11日
Septemberi 7	9月7日
Septemberi 10	9月10日
Septemberi 5	9月5日
Septemberi 4	9月4日
Septemberi 9	9月9日
Septemberi 2	9月2日
Septemberi 6	9月6日
Septemberi 1	9月1日
Septemberi 3	9月3日
Decemberi 29	12月29日
Canadami nunatat killeqarfiillu	加拿大行政区划
Septemberi 30	9月30日
Septemberi 29	9月29日
Septemberi 28	9月28日
Septemberi 27	9月27日
Septemberi 26	9月26日
Septemberi 25	9月25日
Santiago (Chile)	圣地亚哥-德智利
Septemberi 23	9月23日
Septemberi 22	9月22日
Septemberi 24	9月24日
Septemberi 21	9月21日
Septemberi 20	9月20日
Septemberi 18	9月18日
Septemberi 17	9月17日
Septemberi 19	9月19日
Septemberi 16	9月16日
Decemberi 30	12月30日
Sucre	苏克雷
Decemberi 31	12月31日
Oktoberi 1	10月1日
Oktoberi 15	10月15日
Oktoberi 12	10月12日
Oktoberi 10	10月10日
Oktoberi 14	10月14日
Oktoberi 9	10月9日
Oktoberi 8	10月8日
Oktoberi 13	10月13日
Oktoberi 7	10月7日
Oktoberi 11	10月11日
Oktoberi 6	10月6日
Oktoberi 4	10月4日
Oktoberi 5	10月5日
Oktoberi 3	10月3日
Oktoberi 2	10月2日
Oktoberi 31	10月31日
Oktoberi 30	10月30日
Oktoberi 29	10月29日
Oktoberi 28	10月28日
Oktoberi 26	10月26日
Oktoberi 25	10月25日
Oktoberi 24	10月24日
Oktoberi 27	10月27日
Oktoberi 22	10月22日
Oktoberi 23	10月23日
Oktoberi 20	10月20日
Oktoberi 21	10月21日
Oktoberi 19	10月19日
Oktoberi 17	10月17日
Oktoberi 16	10月16日
Oktoberi 18	10月18日
Novemberi 15	11月15日
Novemberi 14	11月14日
Novemberi 13	11月13日
Novemberi 12	11月12日
Novemberi 11	11月11日
Novemberi 10	11月10日
Novemberi 7	11月7日
Novemberi 8	11月8日
Novemberi 9	11月9日
Novemberi 6	11月6日
Novemberi 5	11月5日
Novemberi 4	11月4日
Novemberi 3	11月3日
Novemberi 2	11月2日
Novemberi 1	11月1日
Novemberi 30	11月30日
Novemberi 29	11月29日
Novemberi 28	11月28日
Novemberi 27	11月27日
Novemberi 26	11月26日
Novemberi 25	11月25日
Novemberi 23	11月23日
Novemberi 24	11月24日
Novemberi 21	11月21日
Novemberi 20	11月20日
Novemberi 22	11月22日
Novemberi 19	11月19日
Novemberi 18	11月18日
Novemberi 17	11月17日
Novemberi 16	11月16日
Canberra	堪培拉
Sydney	悉尼
Melbourne	墨尔本
Tripoli	的黎波里
Angol	安戈爾
Antofagasta	安托法加斯塔
Tehran	德黑兰
Jakarta	雅加达
Ankara	安卡拉
Riyadh	利雅德
Chiguayante	奇瓜揚特
Damascus	大马士革
Chillán	奇廉
Amman	安曼
Coyhaique	科伊艾克
Beirut	贝鲁特
Masqat, Oman	马斯喀特
Nicosia	尼科西亚
Doha	多哈
Dodoma	多多马
Copiapó	科皮亞波
Nairobi	奈洛比
Manama	麦纳麦
Kampala	坎帕拉
Antananarivo	塔那那利佛
Osasco	奥萨斯库
Mittarfik Dong Hoi	同海機場
Arusha	阿鲁沙
Kuritiba	庫里奇巴
Talca, Chile	塔爾卡
Rancagua, Chile	兰卡瓜
Konfusiusi	孔子
Corbin Bleu	柯賓·布魯
Sumut atassuseq:Matematikki	Category:数学
Savalimmiut	法罗群岛
Surat	苏拉特
Hangzhou	杭州市
Céline Dion	席琳·狄翁
Nunavissuaq	洲
Illoqarfiit pingaarnersaat	首都
Monzón	蒙宗
Ukiup qaammatai	月
Almazán	艾爾瑪善鎮
Japanimiusut	日语
Encyklopædi	百科全书
Saqqaa	Wikipedia:首页
Eurasia	歐亞大陸
Francisco Goya	弗朗西斯科·戈雅
Tatarstan	鞑靼斯坦共和国
Salvador Dalí	萨尔瓦多·达利
Vincent van Gogh	文森特·梵高
Henri Matisse	亨利·马蒂斯
Michelangelo	米开朗基罗
Pablo Picasso	巴勃羅·畢卡索
Raphael	拉斐尔·圣齐奥
Rembrandt	伦勃朗
Jericho	杰里科
Bethlehem	伯利恆
Mekka	麥加
Xi'an	西安市
Kabul	喀布尔
Inuunerup isumalerineq	哲学
Sumut atassuseq:Candidates for speedy deletion	Category:快速删除候选
Medan	棉蘭
Hebe Camargo	赫柏·卡马戈
Seinäjoki	塞伊奈约基
Montpellier	蒙彼利埃
Guovdageaidnu	凱于圖凱努
Airbus A330	空中客车A330
Sumut atassuseq:Ullorissanik ilisimatusarneq	Category:天文学
Strasbourg	斯特拉斯堡
Ekutaq	萨哈共和国
Guitar	吉他
Dijon	第戎
Økologi	生态学
Politikki	政治
Naalakkersueriaaseq	政府
Nagguaatsoq	象
Sevastopol	塞瓦斯托波爾
Angallassissutit	运输
Inuttut pisinnaatitaafiit pillugit silarsuarmioqatigiinut nalunaarut	世界人权宣言
WHO	世界卫生组织
Swahilimiutut	斯瓦希里语
Kineserisut (oqaatsit)	汉语
Toulouse	圖盧茲
Malagassiskisut	马拉加斯语
Qagiirgiin	阿纳德尔
Palembang	巨港
Suliffissualerineq	产业
Sumut atassuseq:Bulgaria	Category:保加利亚
Sumut atassuseq:Frankrigi	Category:法国
Sumut atassuseq:Nipilersorneq	Category:音乐
Ilinniartitaaneq	教育
Hongkong	香港
Karachi	卡拉奇
Seoul	首爾
Shanghai	上海市
Internetprotokol	网际协议
Ukrainimiusut	乌克兰语
Cancún	坎昆
Ecatepec de Morelos	埃卡特佩克莫雷洛斯
Guadalajara (Jalisco)	瓜达拉哈拉 (墨西哥)
Svenskisuut	瑞典語
Qallunaatut	丹麦语
Slovakimiusut	斯洛伐克语
Estlandimiutut	爱沙尼亚语
Letlandimiutut	拉脱维亚语
Litauenimiutut	立陶宛语
Isarukitsoq	企鵝
Farsimiutut	波斯语
Upperisarsiorneq	宗教
Koreamiusut	朝鮮語
Vietnamimiusut	越南语
Thailandimiutut	泰语
Indonesiamiutut	印尼语
Mongoliamiutut	蒙古语
Juutit	犹太教
Hebraimiutut	希伯来语
Aserbajdsjaniskisut	阿塞拜疆语
Tarnip ilinniarnera	心理学
Taoisme	道教
Bengalimiutut	孟加拉语
Ukiuunerani OL 2010	2010年冬季奥林匹克运动会
Ronald Reagan	罗纳德·里根
Serang	西冷
Tangerang	坦格朗
Sasaskisut	扎扎其語
Bandung	萬隆
Bekasi	勿加泗
Depok	德波
Saskatoon	萨斯卡通
Tórshavn	托爾斯港
Ingeniørilerineq	工程学
Attaveqaqatigiinneq	通信
Oqarasuaat	电话
Kulturi	文化
Aritmetikki	算术
Sumut atassuseq:Brazil	Category:巴西
Nikerartuusisitsineq	动画
Nunaateqarneq	农业
Surabaya	泗水 (印尼)
Taparneq	舞蹈
Innallangialerineq	电子学
Silasiorneq	天气
Shenyang	沈阳市
Chongqing	重庆市
Tianjin	天津市
Lahore	拉合爾
Wuhan	武汉市
Silarsuarmi nunat	世界政區索引
Nagoya	名古屋市
Ursidae	熊科
Ullorsiut	历法
Gregorianskit ullorsiutaat	公历
Peqqinneq	健康
Nantes	南特
Brest	布雷斯特 (法国)
Ilisserut:Kortpositioner Islandi	Template:Location map Iceland
Ilisserut:Kortpositioner Norge	Template:Location map Norway
Ilisserut:Kortpositioner Danmarki	Template:Location map Denmark
Ilisserut:Kortpositioner Litaueni	Template:Location map Lithuania
Ilisserut:Kortpositioner Franskit Nunaat	Template:Location map France
Ilisserut:Kortpositioner Andorra	Template:Location map Andorra
Ilisserut:Kortpositioner Spania	Template:Location map Spain
Ilusilersugaaneq	建筑
Ilisserut:Kortpositioner Poleni	Template:Location map Poland
Ilisserut:Kortpositioner Tjekkia	Template:Location map Czech Republic
Malgrat de Mar	滨海马尔格拉特
Ilisserut:Kortpositioner Grønland	Template:Location map Greenland
Arabiamiutut	阿拉伯语
Tartu	塔尔图
Iquique	伊基克
La Serena	拉塞雷纳
Makassar	望加錫
Erfalasoq	旗幟
Brno	布爾諾
Qungasersooq	长颈鹿
Shenzhen	深圳市
Queen	皇后乐队
Franche-Comté	弗朗什-孔泰
Wikipedia:Anbefalet	Wikipedia:特色条目
Wikipedia:Katersortarfik	Wikipedia:互助客栈
Busan	釜山廣域市
Guangzhou	广州市
Nanjing	南京市
ABBA	ABBA
Amaroq	狼
Pyongyang	平壤
Bien Hoa	边和市
San Pedro de la Paz	聖佩德羅德拉帕斯
Nha Trang	芽莊市
Simferopol	辛菲罗波尔
Bukarest	布加勒斯特
Tirana	地拉那
Motorhead	摩托头
Ukioq ilassutilik	闰年
Suwon	水原市
Daejeon	大田广域市
Daegu	大邱廣域市
Incheon	仁川廣域市
Falköping	法爾雪平
Skövde	舍夫德
Varberg	瓦尔贝里
Piteå	皮特奧
Viborg	維堡 (丹麥)
Næstved	奈斯特韦兹
Vung Tau	頭頓市
Qarasaasialerinermik ilisimatusarneq	计算机科学
Jean Dominique Ingres	让·奥古斯特·多米尼克·安格尔
Cervidae	鹿科
Ataatarpooq	主禱文
Inuup ineriartorneranik ilisimatusarneq	人类学
Ulan Bator	乌兰巴托
Marseille	马赛
Moshchena	穆夏那
Ittarnisarsiorneq	考古学
Paltoga	帕托加
Entrena	恩特雷纳
Wellington	惠灵顿
Inuiaqatigiinni erinaq	国歌
Palæstina	巴勒斯坦
Vancouver	溫哥華
Mittarfik Cam Ranh	金蘭國際機場
Svalbard	斯瓦尔巴
Benetice	贝内蒂采
Savalimmiutut	法罗语
Ca Mau	金瓯市
Da Lat	大叻市
Uppsala	乌普萨拉
Göteborg	哥德堡
Racibórz	拉齐布日
Phan Thiet	藩切市
Aarhus	奥胡斯
Odense	欧登塞
Qeerlutooq	绿头鸭
Kalaallisut	格陵兰语
Jylland	日德兰半岛
Aalborg	奥尔堡
Helsingborg	赫尔辛堡
Västerås	韦斯特罗斯
Linköping	林雪平
Jönköping	延雪平
Stavanger	斯塔万格
Oqaatsoq	普通鸕鶿
Karlstad	卡尔斯塔德
Sjælland	西兰岛
Umeå	于默奧
Qussuk	大天鹅
Norrköping	北雪平
Örebro	厄勒布鲁
Gävle	耶夫勒
Karlskrona	卡尔斯克鲁纳
Trondheim	特隆赫姆
Kaniina	兔科
Borås	布羅斯
Tromsø	特罗姆瑟
Växjö	韦克舍
Esbjerg	埃斯比约
Luleå	呂勒奧
Kalmar	卡爾馬
Sundsvall	松茲瓦爾
Eskilstuna	埃斯基尔斯蒂纳
Fyn	菲英島
Falun	法倫
Östersund	厄斯特松德
Södertälje	南泰利耶
Halmstad	哈尔姆斯塔德
Drammen	德拉门
Roskilde	罗斯基勒
Zahlé	扎赫勒
Thai Nguyen	太原市 (越南)
Ciudad Juárez	華雷斯城
Fukuoka	福岡市
Qarsaaq	红喉潜鸟
Bergen (Norge)	卑爾根
Aarluk	虎鯨
Helsingør	赫爾辛格
Taliffak	翻石鹬
Qaqulluk	暴雪鹱
Kristianstad	克里斯蒂安斯塔德
Trelleborg	特雷勒堡
Niisa	鼠海豚
Vejle	瓦埃勒
Kolding	科靈
Herning	海宁 (丹麦)
Uddevalla	乌德瓦拉
Frederikshavn	腓特烈港 (丹麦)
Kungälv	孔艾尔夫
Afrika-Eurasia	歐亞非大陸
Ystad	于斯塔德
Kungsbacka	孔斯巴卡
Lahti	拉赫蒂
Akureyri	阿克雷里
Augusto De Luca	奥古斯都·德卢卡
Chengdu	成都市
Nyborg	尼堡自治市
Pinnipedia	鰭足類
Zhengzhou	郑州市
Pleiku	波來古市
Kraków	克拉科夫
Ar Ramtha	賴姆薩
Invercargill	因弗卡吉尔
Siutitooq nimeruaartoq	斑馬
Drake	德雷克 (歌手)
Soc Trang (illoqarfik)	朔庄市
Long Xuyen	龍川市
My Tho	美萩市
Vinh	荣市
Buon Ma Thuot	邦美蜀市
Nanoq	北極熊
Kasjubiskisut	卡舒比语
Tel Aviv	特拉维夫
Nice	尼斯
Valparaíso	瓦尔帕莱索
Georges Seurat	喬治·秀拉
Imermiutarsuaq	河马
Kyoto	京都市
Siissisoq	犀牛
Grækerit oqaluttuatoqqanik	希腊神话
Inooqatigiinnik ilisimatusarneq	社会科学
Tequixquiac	特基斯基阿克
Luxembourg	盧森堡 (消歧義)
Kuwait Illoqarfik	科威特市
Medina	麦地那
Afrodite	阿佛洛狄忒
Tuttorpak	駝鹿
Osaka	大阪市
Bayda	贝达
Izmir	伊兹密尔
Lviv	利沃夫
Ha Long	下龍市
Qui Nhon	歸仁市
Viet Tri	越池市
Vinh Yen	永安市 (越南)
Rach Gia	迪石市
Hue	順化市
Thanh Hoa	清化市
Puerto Montt	蒙特港
Calgary	卡尔加里
Allaq	棕熊
Kurdiskisut	庫爾德語
Maorimiutut	毛利语
Thai Binh illoqarfik	太平市 (越南)
Karaj	卡拉季
Ben Tre	檳椥市
