ਅਫ਼ਰੀਕਾ	非洲
ਕਾਹਿਰਾ	开罗
ਸਿਰਦਰਦ	頭痛
ਸਿਕੰਦਰੀਆ	亚历山大港
ਸੇਬ	苹果
ਪੈਰਿਸ	巴黎
ਅਬਰਾਹਮ ਲਿੰਕਨ	亚伯拉罕·林肯
ਐਂਡ੍ਰਾਇਡ (ਆਪਰੇਟਿੰਗ ਸਿਸਟਮ)	Android
ਗੂਗਲ	Google
ਮੈਕਸੀਕੋ	墨西哥
ਅੰਧ ਮਹਾਂਸਾਗਰ	大西洋
ਪ੍ਰਸ਼ਾਂਤ ਮਹਾਂਸਾਗਰ	太平洋
ਕੈਲੀਫ਼ੋਰਨੀਆ	加利福尼亚州
ਬੌਸਟਨ	波士顿
ਸੋਮਵਾਰ	星期一
ਵਿਸਥਾਰ	空间 (物理)
ਜਨਵਰੀ	1月
ਫ਼ਰਵਰੀ	2月
ਮਾਰਚ	3月
ਮੰਗਲ (ਗ੍ਰਹਿ)	火星
ਮਾਰਸ	玛尔斯
ਕੀਨੀਆ	肯尼亚
ਇਥੋਪੀਆ	埃塞俄比亚
ਰਾਜਾ	君主
ਘਾਨਾ	加纳
ਅਪ੍ਰੈਲ	4月
ਮਈ	5月
ਜੂਨ	6月
ਜੁਲਾਈ	7月
ਅਗਸਤ	8月
ਸਤੰਬਰ	9月
ਅਕਤੂਬਰ	10月
ਨਵੰਬਰ	11月
ਦਸੰਬਰ	12月
ਮੰਗਲਵਾਰ	星期二
ਬੁੱਧਵਾਰ	星期三
ਵੀਰਵਾਰ	星期四
ਸ਼ੁੱਕਰਵਾਰ	星期五
ਸ਼ਨਿੱਚਰਵਾਰ	星期六
ਐਤਵਾਰ	星期日
ਫ਼ਰਾਂਸ	法国
ਏਸਪੇਰਾਂਤੋ	世界语
ਕੁੱਤਾ	犬
ਸੰਯੁਕਤ ਬਾਦਸ਼ਾਹੀ	英国
ਬਿੱਲੀ	猫
ਚੀਨ ਲੋਕ ਗਣਰਾਜ	中华人民共和国
ਫ਼ਰਾਂਸੀਸੀ ਭਾਸ਼ਾ	法语
ਵਿਕਸ਼ਨਰੀ	维基词典
ਮੱਛੀ	鱼
ਈਥੇਨੋਲ	乙醇
ਬ੍ਰਾਜ਼ੀਲ	巴西
ਅਲਕੋਹਲ	醇
ਫਰਾਂਸੋਆ ਔਲਾਂਦ	弗朗索瓦·奥朗德
ਰੂਸ	俄罗斯
ਪ੍ਰਕਾਸ਼ੀ ਤੰਦ	光導纖維
ਸਮੁੰਦਰ	海
ਕਾਲ਼ਾ ਸਮੁੰਦਰ	黑海
ਪਾਈ	圓周率
ਪਾਈ (ਅੱਖਰ)	Π
ਟੋਰਾਂਟੋ	多伦多
ਅਲਾਬਾਮਾ	亚拉巴马州
ਸਾਓ ਪਾਉਲੋ	聖保羅 (巴西)
ਕੇਬੈਕ	魁北克
ਪੀਜ਼ਾ	比萨饼
ਵਿਕੀਮੀਡੀਆ ਫ਼ਾਊਂਡੇਸ਼ਨ	维基媒体基金会
ਜਿੰਮੀ ਵੇਲਸ	吉米·威爾斯
ਜਰਮਨੀ	德国
ਬੇਲਾਰੂਸ	白俄罗斯
ਜਰਮਨ ਭਾਸ਼ਾ	德语
ਆਈਸਲੈਂਡ	冰岛
ਪਰਮਾਤਮਾ	神 (一神教)
ਇਸਤੋਨੀਆ	爱沙尼亚
ਸ਼ਨੀ (ਗ੍ਰਹਿ)	土星
ਹਵਾਈ ਜਹਾਜ਼	固定翼飛機
ਜੰਗ	战争
੧ (ਅੰਕ)	1
੨ (ਅੰਕ)	2
੩ (ਅੰਕ)	3
੪ (ਅੰਕ)	4
੫ (ਅੰਕ)	5
ਸਿਫ਼ਰ (ਅੰਕ)	0
ਸਟੀਵਨ ਹਾਰਪਰ	史蒂芬·哈珀
ਜਾਰਜ ਵਾਕਰ ਬੁਸ਼	乔治·沃克·布什
ਲਾਤਵੀਆ	拉脫維亞
ਯੂਕਰੇਨ	乌克兰
ਚੈੱਕ ਗਣਰਾਜ	捷克
ਸਲੋਵਾਕੀਆ	斯洛伐克
ਸਲੋਵੇਨੀਆ	斯洛文尼亚
ਵਿਲਨਸ	维尔纽斯
ਮੋਲਦੋਵਾ	摩尔多瓦
ਰੋਮਾਨੀਆ	羅馬尼亞
ਬੁਲਗਾਰੀਆ	保加利亚
ਰੋਮ	罗马
ਮਕਦੂਨੀਆ ਗਣਰਾਜ	馬其頓共和國
ਅਲਬਾਨੀਆ	阿尔巴尼亚
ਗਰੀਨਲੈਂਡ	格陵兰
ਕ੍ਰੋਏਸ਼ੀਆ	克罗地亚
ਬੋਸਨੀਆ ਅਤੇ ਹਰਜ਼ੇਗੋਵੀਨਾ	波斯尼亚和黑塞哥维那
ਨੂਕ	努克
ਅਜ਼ਰਬਾਈਜਾਨ	阿塞拜疆
ਅੰਡੋਰਾ	安道尔
ਸਾਇਪ੍ਰਸ	賽普勒斯
ਜਾਰਜੀਆ (ਦੇਸ਼)	格鲁吉亚
ਕਜ਼ਾਖ਼ਸਤਾਨ	哈萨克斯坦
ਮਾਲਟਾ	马耳他
ਮੋਨਾਕੋ	摩纳哥
ਮੋਂਟੇਨੇਗਰੋ	蒙特內哥羅
ਵੈਟੀਕਨ ਸ਼ਹਿਰ	梵蒂冈
ਸਾਨ ਮਰੀਨੋ	圣马力诺
ਬਰੱਸਲਸ (ਸ਼ਹਿਰ)	布鲁塞尔-首都大区
ਕਿਊਬਾ	古巴
ਬੇਲੀਜ਼	伯利兹
ਆਈਫ਼ਲ ਟਾਵਰ	艾菲爾鐵塔
ਬਾਰਬਾਡੋਸ	巴巴多斯
ਫ਼ੌਕਸਵੈਗਨ	大众汽车
ਇਨਟੈੱਲ	英特尔
ਜਾਵਾ (ਪ੍ਰੋਗਰਾਮਿੰਗ ਭਾਸ਼ਾ)	Java
ਇੰਡੋਨੇਸ਼ੀਆ	印度尼西亚
ਵੋਲਫ਼ਗਾਂਗ ਆਮਾਡੇਅਸ ਮੋਜ਼ਾਰਟ	沃尔夫冈·阿马德乌斯·莫扎特
ਲੁਡਵਿਗ ਵਾਨ ਬੀਥੋਵਨ	路德维希·范·贝多芬
ਤੁਰਕ ਭਾਸ਼ਾ	土耳其语
ਦੱਖਣੀ ਅਫ਼ਰੀਕਾ	南非
ਅਲਜੀਰੀਆ	阿尔及利亚
ਉਜ਼ਬੇਕਿਸਤਾਨ	乌兹别克斯坦
ਤਾਸ਼ਕੰਤ	塔什干
ਵਾਰਸਾ	华沙
ਵਾਈਨ	葡萄酒
ਪਾਣੀ	水
ਚਮੜਾ	皮革
ਲੱਕੜ	木材
ਟੀਵੀ	电视
ਫ਼ਾਹਸ਼ ਰਚਨਾ	色情
ਕਲੌਦ ਮੋਨੇ	克洛德·莫奈
ਡਿਏਗੋ ਵੇਲਾਕਿਉਜ	委拉斯開茲
ਚੀਲੇ	智利
ਈਸਾ ਮਸੀਹ	耶稣
ਗੈਲੀਲਿਓ ਗੈਲੀਲੀ	伽利略·伽利莱
ਬੁੱਧ (ਗ੍ਰਹਿ)	水星
ਇਤਿਹਾਸ	历史
ਐਪਲ	蘋果公司
ਭਾਸ਼ਾ	語言
ਪਿਆਰ	愛
ਤਾਨਾਸ਼ਾਹੀ	獨裁政體
ਅਕਾਸ਼ਗੰਗਾ	星系
ਬ੍ਰਹਿਸਪਤ (ਗ੍ਰਹਿ)	木星
ਮਿਸ਼ੇਲ ਬਾਚੇਲੇਤ	蜜雪兒·巴切萊
ਮਿਲਕੀ ਵੇ	银河系
ਮਹਾਂ ਧਮਾਕਾ	大爆炸
ਯੁਰੇਨਸ (ਗ੍ਰਹਿ)	天王星
ਅੰਗਰੇਜ਼ੀ ਵਿਕੀਪੀਡੀਆ	英语维基百科
ਵਰੁਣ (ਗ੍ਰਹਿ)	海王星
ਤਾਰਾ ਵਿਗਿਆਨ	天文學
ਸਿੰਗਾਪੁਰ	新加坡
ਵਿਗਿਆਨ	科学
ਪਲੂਟੋ	冥王星
ਮਾਂਟਰੀਆਲ	蒙特利尔
ਆਜ਼ਾਦ ਸਾਫ਼ਟਵੇਅਰ	自由软件
ਕੁਆਰੀ ਮਰੀਅਮ	馬利亞 (耶穌的母親)
ਲੀਖਟਨਸ਼ਟਾਈਨ	列支敦斯登
ਖੇਡ	体育运动
ਕੈਂਬਰਿਜ	劍橋
ਅਡੋਲਫ ਹਿਟਲਰ	阿道夫·希特勒
ਫ਼ੇਸਬੁੱਕ	Facebook
ਵਿਕੀਲੀਕਸ	維基解密
ਪਹਿਲੀ ਸੰਸਾਰ ਜੰਗ	第一次世界大战
ਦੂਜੀ ਸੰਸਾਰ ਜੰਗ	第二次世界大战
ਕਲਨ	科隆
ਭ੍ਰਿਸ਼ਟਾਚਾਰ	贪污
ਘੜੀ	時鐘
ਉਬੁੰਟੂ (ਆਪਰੇਟਿੰਗ ਸਿਸਟਮ)	Ubuntu
ਸਕੋਪੀਏ	斯科普里
ਲਿਨਕਸ	Linux
ਹਿਸਾਬ	数学
ਬਹਿਰੀਨ	巴林
ਅਰਮੀਨੀਆ	亞美尼亞
ਕੀਲਾਕਾਰ ਲਿਪੀ	楔形文字
ਹਿਗਜ਼ ਬੋਸੌਨ	希格斯玻色子
ਸਰਬੀਆ	塞尔维亚
ਚੰਦਰਮਾ	月球
ਇਸਤਾਨਬੁਲ	伊斯坦堡
ਆਸਟਰੇਲੀਆ	澳大利亚
ਬਾਬ ਮਾਰਲੇ	巴布·馬利
ਭੌਤਿਕ ਵਿਗਿਆਨ	物理学
ਅਰਜਨਟੀਨਾ	阿根廷
ਪੇਰੂ	秘鲁
ਜੀਵ ਵਿਗਿਆਨ	生物学
ਉੱਡਣ ਤਸ਼ਤਰੀ	不明飞行物
ਉੱਤਰੀ ਕੋਰੀਆ	朝鲜民主主义人民共和国
ਕੰਬੋਡੀਆ	柬埔寨
ਪਸ਼ੂ ਅਧਿਕਾਰ	動物權利
ਕੁਰਾਨ	古兰经
ਡਾਈਨੋਸੌਰ	恐龙
ਜੰਤੂ ਵਿਗਿਆਨ	动物学
ਇਸਲਾਮ	伊斯兰教
ਲਿਊਬਲਿਆਨਾ	卢布尔雅那
ਬਨਸਪਤੀ ਵਿਗਿਆਨ	植物学
ਦੇਨੀ ਦਿਦਰੋ	德尼·狄德罗
ਅਮਨ	和平
ਇਨਸਾਈਕਲੋਪੀਡੀਆ ਬ੍ਰਿਟੈਨਿਕਾ	大英百科全书
ਲਿਓਂ	里昂
ਯੂਰਪੀ ਸੰਘ	欧洲联盟
ਇੰਟਰਨੈੱਟ ਅਰਕਾਈਵ	互联网档案馆
ਰੋਨ-ਆਲਪ	罗纳-阿尔卑斯
ਵਰਲਡ ਵਾਈਡ ਵੈੱਬ	万维网
ਔਰਤ	女性
ਸੋਫ਼ੀਆ	索菲亞
ਦੌਨ ਕੀਖ਼ੋਤੇ	堂吉诃德
ਕਵਿਤਾ	诗歌
ਆਰਥਰ ਰਿੰਬੋ	阿蒂尔·兰波
ਨਿੰਬੂ	柠檬
ਸ਼ਾਰਲ ਬੌਦੇਲੈਰ	夏尔·波德莱尔
ਸਤੇਂਦਾਲ	司汤达
ਐਮਿਲ ਜ਼ੋਲਾ	埃米尔·左拉
ਮਾਊਂਟ ਐਵਰੈਸਟ	珠穆朗瑪峰
ਅੰਗ ਵਿਗਿਆਨ	解剖学
ਸ਼ਹਿਰ	城市
ਨਪੋਲੀਅਨ	拿破仑一世
ਤਾਰਾ	恒星
ਸੂਰਜ	太阳
ਅਕਾਸ਼	天空
ਪ੍ਰਕਾਸ਼-ਸਾਲ	光年
ਪਿੰਡ	村
ਵਿਕਤੋਰ ਊਗੋ	维克多·雨果
ਓਸ਼ੇਨੀਆ	大洋洲
ਜੂਜ਼ੈੱਪੇ ਗਾਰੀਬਾਲਦੀ	朱塞佩·加里波底
ਅਥਲੈਟਿਕਸ	田径
ਸੂਰਜ ਮੰਡਲ	太阳系
ਬਾਲਟਿਕ ਸਮੁੰਦਰ	波罗的海
ਸ਼ਾਂਜ਼-ਏਲੀਜ਼ੇ	香榭丽舍大街
ਹਾਈਡਰੋਜਨ	氢
ਹੀਲੀਅਮ	氦
ਵਿਕੀਮੀਡੀਆ ਕਾਮਨਜ਼	维基共享资源
ਐਂਜਿਲਾ ਮੇਰਕਲ	安格拉·默克爾
ਲਿਥੀਅਮ	锂
ਬੇਰਿਲੀਅਮ	铍
ਕਿਤਾਬ	图书
ਦਿਨ	日
ਪੂਰਬੀ ਤਿਮੋਰ	东帝汶
ਰਾਤ	晚上
ਸਾਲ	年
ਸਦੀ	世纪
ਰਾਈਨ ਦਰਿਆ	莱茵河
ਓਸਲੋ	奥斯陆
ਬੌਨ	波恩
ਬਲੈਕ ਹੋਲ	黑洞
ਲਿਸਬਨ	里斯本
ਰੋਨ ਦਰਿਆ	罗纳河
ਦੁਬਈ	杜拜
ਲਿਓਨਲ ਮੈਸੀ	利昂内尔·梅西
ਬੋਰਾਨ	硼
ਕਾਰਬਨ	碳
ਵੋਲਗਾ ਦਰਿਆ	伏尔加河
ਨਾਈਟਰੋਜਨ	氮
ਆਕਸੀਜਨ	氧
ਇੰਟਰ ਮਿਲਣ	国际米兰足球俱乐部
ਗ੍ਰਹਿ	行星
ਸੰਗੀਤ	音乐
ਵੈਨਿਸ	威尼斯
ਲੀਲ	里尔
ਮਾਸਕੋ	莫斯科
ਫ਼ਲੋਰੀਨ	氟
ਇਤਾਲਵੀ ਭਾਸ਼ਾ	意大利语
ਨੀਆਨ	氖
ਚੀਵਾਵਾ (ਰਾਜ)	奇瓦瓦州
ਸੇਂਟ ਪੀਟਰਸਬਰਗ	圣彼得堡
ਚਾਡ	乍得
ਸੋਡੀਅਮ	钠
ਉੱਤਰ	北
ਮੈਗਨੀਸ਼ੀਅਮ	镁
ਐਲਮੀਨੀਅਮ	铝
ਨਿਊਜ਼ੀਲੈਂਡ	新西兰
ਦੱਖਣ	南
ਭਾਰਤ	印度
ਸਿਲੀਕਾਨ	硅
ਫ਼ਰਾਂਸੀਅਮ	钫
ਤੁਵਾਲੂ	圖瓦盧
ਫ਼ਾਸਫ਼ੋਰਸ	磷
ਲੋਹਾ	铁
ਟੋਂਗਾ	東加
ਪੱਛਮ	西
ਗੰਧਕ	硫
ਸਮੋਆ	萨摩亚
ਪੂਰਬ	東
ਸੋਲੋਮਨ ਟਾਪੂ	所罗门群岛
ਵਨੁਆਤੂ	瓦努阿图
ਮੋਲੀਏਰ	莫里哀
ਕਲੋਰੀਨ	氯
ਪਾਪੂਆ ਨਿਊ ਗਿਨੀ	巴布亚新几内亚
ਵਿਲੀਅਮ ਸ਼ੇਕਸਪੀਅਰ	威廉·莎士比亚
ਪਲਾਊ	帛琉
ਆਰਗਾਨ	氩
ਨਾਉਰੂ	諾魯
ਫ਼ਾਇਰਫ਼ੌਕਸ	Firefox
ਪਰੀ ਕਥਾ	童話
ਮਾਈਕ੍ਰੋਨੇਸ਼ੀਆ ਦੇ ਸੰਘੀ ਰਾਜ	密克罗尼西亚联邦
ਪੋਟਾਸ਼ੀਅਮ	钾
ਓਲੰਪੀਕ ਲਿਉਨੇ	奥林匹克里昂
ਕੈਲਸ਼ੀਅਮ	钙
ਸਿੱਕਾ	铅
ਮਾਰਸ਼ਲ ਟਾਪੂ	馬紹爾群島
ਕਿਰੀਬਾਸ	基里巴斯
ਮੰਗੋਲੀਆ	蒙古国
ਫ਼ਿਜੀ	斐濟
ਸਕੈਂਡੀਅਮ	钪
ਟਾਈਟੇਨੀਅਮ	钛
ਵੈਨੇਜ਼ੁਐਲਾ	委內瑞拉
ਸ਼ਤਰੰਜ	國際象棋
ਚੰਗੇਜ਼ ਖ਼ਾਨ	成吉思汗
ਵੈਨੇਡੀਅਮ	钒
ਮੇਨ	缅因州
ਕਰੋਮੀਅਮ	铬
ਘੋੜਾ	马
ਅਮਸਤੱਰਦਮ	阿姆斯特丹
ਹਥਿਆਰ	武器
ਜੰਤੂ	动物
ਸੂਰੀਨਾਮ	蘇利南
ਮੈਂਗਨੀਜ਼	锰
ਪੈਰਾਗੁਏ	巴拉圭
ਗੁਇਆਨਾ	圭亚那
ਕਲਾ	艺术
ਏਕੁਆਦੋਰ	厄瓜多尔
ਰੀਨੀਅਮ	铼
ਕੋਲੰਬੀਆ	哥伦比亚
ਕੋਬਾਲਟ	钴
ਟੰਗਸਟਨ	钨
ਨਿਕਲ	镍
ਬੁੱਧ ਧਰਮ	佛教
ਬੋਲੀਵੀਆ	玻利維亞
ਓਸਮੀਅਮ	锇
ਤਾਂਬਾ	铜
ਤ੍ਰਿਨੀਦਾਦ ਅਤੇ ਤੋਬਾਗੋ	千里達及托巴哥
ਬੂਟਾ	植物
ਸੇਂਟ ਵਿਨਸੈਂਟ ਅਤੇ ਗ੍ਰੇਨਾਡੀਨਜ਼	圣文森特和格林纳丁斯
ਜਿਸਤ	锌
ਨਿਊ ਹੈਂਪਸ਼ਰ	新罕布什尔州
ਸੇਂਟ ਲੂਸੀਆ	圣卢西亚
ਲਿਓਨਾਰਦੋ ਦਾ ਵਿੰਚੀ	列奥纳多·达·芬奇
ਸੇਂਟ ਕਿਟਸ ਅਤੇ ਨੇਵਿਸ	聖克里斯多福與尼維斯
ਉੱਲੀ	真菌
ਦਾਰੀਓ ਫ਼ੋ	达里奥·福
ਜਮੈਕਾ	牙买加
ਗ੍ਰੇਨਾਡਾ	格林纳达
ਮੈਸਾਚੂਸਟਸ	麻薩諸塞州
ਗੁਆਤੇਮਾਲਾ	危地马拉
ਬਹਾਮਾਸ	巴哈马
ਕਨੈਟੀਕਟ	康乃狄克州
ਐਂਟੀਗੁਆ ਅਤੇ ਬਰਬੂਡਾ	安提瓜和巴布达
ਹਵਾਈ	夏威夷州
ਹਾਂਡੂਰਾਸ	洪都拉斯
ਡੋਮਿਨਿਕਾ	多米尼克
ਜਰਸੀ	澤西
ਡੋਮਿਨਿਕਾਈ ਗਣਰਾਜ	多明尼加
ਆਰਕਟਿਕ ਮਹਾਂਸਾਗਰ	北冰洋
ਹੈਤੀ	海地
ਸਾਲਵਾਦੋਰ	萨尔瓦多
ਇਰਾਨ	伊朗
ਇਰਾਕ	伊拉克
ਅਲਾਸਕਾ	阿拉斯加州
ਸਿਆਣਪ	智慧
ਕੋਸਤਾ ਰੀਕਾ	哥斯达黎加
ਇਜ਼ਰਾਇਲ	以色列
ਪਨਾਮਾ	巴拿马
ਯਮਨ	也门
ਵਿਸ਼ਾਣੂ	病毒
ਪੋਲਿਸ਼ ਭਾਸ਼ਾ	波兰语
ਜਾਰਡਨ	约旦
ਨਿਕਾਰਾਗੁਆ	尼加拉瓜
ਫ਼ਲੌਰਿਡਾ	佛罗里达州
ਕਿਰਗਿਜ਼ਸਤਾਨ	吉尔吉斯斯坦
ਐਰੀਜ਼ੋਨਾ	亞利桑那州
ਕੁਵੈਤ	科威特
ਲਾਉਸ	老挝
ਲਿਬਨਾਨ	黎巴嫩
ਔਰੇਗਨ	俄勒冈州
ਮਾਲਦੀਵ	马尔代夫
ਅਮਰੀਕਾ (ਮਹਾਂ-ਮਹਾਂਦੀਪ)	美洲
ਯੂਟਾ	犹他州
ਮਲੇਸ਼ੀਆ	马来西亚
ਮਿਖਾਇਲ ਬੁਲਗਾਕੋਵ	米哈伊尔·阿法纳西耶维奇·布尔加科夫
ਮਿਆਂਮਾਰ	缅甸
ਨੇਪਾਲ	尼泊尔
ਉਮਾਨ	阿曼
ਪਾਕਿਸਤਾਨ	巴基斯坦
ਕਤਰ	卡塔尔
ਗੇਂਦ-ਛਿੱਕਾ	网球
ਸਾਊਦੀ ਅਰਬ	沙特阿拉伯
ਸ੍ਰੀਲੰਕਾ	斯里蘭卡
ਜੋਸਿਫ਼ ਸਟਾਲਿਨ	斯大林
ਸੀਰੀਆ	叙利亚
ਅਫਲਾਤੂਨ	柏拉图
ਗੈਲੀਅਮ	镓
ਤਾਜਿਕਸਤਾਨ	塔吉克斯坦
ਤਾਇਵਾਨ	中華民國
ਯੂਟਿਊਬ	YouTube
ਜਰਮੇਨੀਅਮ	锗
ਅਰਸਤੂ	亚里士多德
ਥਾਈਲੈਂਡ	泰国
ਸੰਖੀਆ	砷
ਮੇਰਿਲ ਸਟਰੀਪ	梅麗·史翠普
ਤੁਰਕਮੇਨਸਤਾਨ	土库曼斯坦
ਅਬਾਕਾਨ	阿巴坎
ਸਿਲੀਨੀਅਮ	硒
ਇਰੀਡੀਅਮ	铱
ਸੰਯੁਕਤ ਅਰਬ ਇਮਰਾਤ	阿拉伯联合酋长国
ਬ੍ਰੋਮੀਨ	溴
ਪਲੈਟੀਨਮ	铂
ਵੀਅਤਨਾਮ	越南
ਚਾਰਲੀ ਚੈਪਲਿਨ	查理·卓别林
ਦੱਖਣੀ ਕੋਰੀਆ	大韩民国
ਕ੍ਰਿਪਟਾਨ	氪
ਅਫਗਾਨਿਸਤਾਨ	阿富汗
ਗੰਗਨਮ ਸਟਾਈਲ	江南Style
ਰੁਬੀਡੀਅਮ	铷
ਸੋਨਾ	金
ਸੁਏਸ ਨਹਿਰ	苏伊士运河
ਵਿਗਿਆਨੀ	科学家
ਬੰਗਲਾਦੇਸ਼	孟加拉国
ਫ਼ਰੈਂਜ਼ ਕਾਫ਼ਕਾ	弗朗茨·卡夫卡
ਹੋਰਹੇ ਲੂਈਸ ਬੋਰਗੇਸ	豪尔赫·路易斯·博尔赫斯
ਮਾਲੀ	马里共和国
ਸੁਕਰਾਤ	苏格拉底
ਵੋਲਗਾਗਰਾਡ	伏尔加格勒
ਅੰਗੋਲਾ	安哥拉
ਭੂਟਾਨ	不丹
ਟਵਿਟਰ	Twitter
ਬਰੂਨਾਈ	文莱
ਤਨਜ਼ਾਨੀਆ	坦桑尼亚
ਪਾਰਾ	汞
ਫਿਲੀਪੀਨਜ਼	菲律宾
ਮੱਧ ਅਫਰੀਕੀ ਗਣਰਾਜ	中非共和國
ਥੈਲੀਅਮ	铊
ਆਇਜ਼ਕ ਨਿਊਟਨ	艾萨克·牛顿
ਅਲਬਰਟ ਆਈਨਸਟਾਈਨ	阿尔伯特·爱因斯坦
ਸਟਰੌਂਸ਼ਮ	锶
ਬਿਸਮਥ	铋
ਪੀਲ਼ਾ (ਰੰਗ)	黄色
ਮਿਕਦਾਰ ਮਕੈਨਕੀ	量子力学
ਟੋਗੋ	多哥
ਤੁਨੀਸੀਆ	突尼西亞
ਜ਼ਾਂਬੀਆ	赞比亚
ਜ਼ਿੰਬਾਬਵੇ	辛巴威
ਬੀਜਿੰਗ	北京市
ਦੱਖਣੀ ਸੁਡਾਨ	南蘇丹
ਬੇਨਿਨ	贝宁
ਬੋਤਸਵਾਨਾ	波札那
ਬੁਰਕੀਨਾ ਫ਼ਾਸੋ	布吉納法索
ਬੁਰੂੰਡੀ	蒲隆地
ਕਾਮਾਰੋਸ	葛摩
ਕਾਂਗੋ ਗਣਰਾਜ	刚果共和国
ਓਬ ਦਰਿਆ	鄂畢河
ਕਾਂਗੋ ਲੋਕਤੰਤਰੀ ਗਣਰਾਜ	刚果民主共和国
ਸਾਨ ਆਂਤੋਨੀਓ	圣安东尼奥 (得克萨斯州)
ਜਿਬੂਤੀ	吉布提
ਮੀਮ	模因
ਪੋਲੋਨੀਅਮ	钋
ਬਾਈਆਨ	巴伐利亚
ਭੂ-ਮੱਧ ਰੇਖਾਈ ਗਿਨੀ	赤道几内亚
ਬਾਡਨ-ਵਰਟਮਬਰਕ	巴登-符腾堡
ਇਰੀਤਰੀਆ	厄立特里亚
ਨਵੀਂ ਦਿੱਲੀ	新德里
ਫ਼ਿਓਦਰ ਦਾਸਤੋਵਸਕੀ	費奧多爾·米哈伊洛維奇·陀思妥耶夫斯基
ਤਬੀਲਿਸੀ	第比利斯
ਐਸਟਾਟੀਨ	砹
ਗਬਾਨ	加蓬
ਮੋਹਨਦਾਸ ਕਰਮਚੰਦ ਗਾਂਧੀ	圣雄甘地
ਕੌਮਿਕਸ	漫画
ਗਾਂਬੀਆ	冈比亚
ਗਿਨੀ	几内亚
ਗਿਨੀ-ਬਿਸਾਊ	幾內亞比索
ਦੰਦ ਖੰਡ ਤਟ	科特迪瓦
ਕੈਮਰੂਨ	喀麦隆
ਕੇਪ ਵਰਦੇ	佛得角
ਲਿਸੋਥੋ	莱索托
ਲਾਈਬੇਰੀਆ	利比里亚
ਲੀਬੀਆ	利比亚
ਮਾਦਾਗਾਸਕਰ	马达加斯加
ਮਲਾਵੀ	马拉维
ਸ਼ਟੁੱਟਗਾਟ	斯图加特
ਮੌਰੀਤਾਨੀਆ	毛里塔尼亚
ਮਾਰੀਸ਼ਸ	毛里求斯
ਮੋਰਾਕੋ	摩洛哥
ਮੋਜ਼ੈਂਬੀਕ	莫桑比克
ਨਮੀਬੀਆ	纳米比亚
ਨਾਈਜਰ	尼日尔
ਨਾਈਜੀਰੀਆ	奈及利亞
ਚਾਰਲਸ ਡਾਰਵਿਨ	查尔斯·达尔文
ਯੁਗਾਂਡਾ	乌干达
ਰਵਾਂਡਾ	卢旺达
ਜ਼ਰਕੋਨੀਅਮ	锆
ਸਾਓ ਤੋਮੇ ਅਤੇ ਪ੍ਰਿੰਸੀਪੀ	圣多美和普林西比
