ᑭᐦᒋ ᒨᐦᑯᒫᓇᐢᑭᕀ	美国
'ᓵᒋᐦᐄᐧᐁᐧᐃᒌᔑᑳᐤ	情人节
ᐊᑎᐦᒄ	驯鹿
Wikipedia:Archives/ᐱᔨᒌᔅ	褲
ᒪᐦᐃᐦᑲᓐᑖᔥᑎᒥᒄ	郊狼
Wikipedia:Archives/ᓰᐲᓯᔅ	溪
ᐊᒥᔅᒄ	河狸
Template:Commonscat	Template:Commons category
Wikipedia:Archives/ᐸᒎᔮᓐ	襯衫
Amiskw	美洲河狸
Template:Ouvrage	Template:Cite book
Wikipedia:Archives/ᐄᔅᒌᒣᐅᑲᒥᒄ	冰屋
ᐃᔨᔨᐧᐊᒡ	克里人
Maskoretcic	美洲黑熊
Wikipedia:Archives/ᑳᒋᔅᑖᐧᐹᐅᒉᐸᔨᐦᒡ	洗衣機
Haliaeetus leucocephalus	白頭海鵰
ᐧᐋᐸᒣᒄ	白鲸
ᐱᔔ	加拿大猞猁
ᐅᔅᑯᑎᒥᐦᒉᓯᐤ	魁北克电力公司
Namew	鱘科
Wikipedia:Archives/ᒥᓯ ᐹᐗᔅᑎᒃ	大急流城 (密歇根州)
Wikipedia:Archives/É-nipathtákániwahk	不杀生
ᐧᐄᓂᔥᒄ	美洲旱獺
Maskisin	莫卡辛鞋
Âpihtâkosisânak	梅蒂人
Wikipedia:Archivesᐱᒋᔥᑲᐦᐄᐸᑌᑎᓱᐧᐋᓐ	馬鈴薯泥
Category:Nâpêw	Category:男性
Category:Nâpêsis	Category:女性人物
Category:Italy	Category:意大利
Category:ᑳᓈᑖ	Category:加拿大
Category:Turkey	Category:土耳其
Wikipedia:Archives/ᔖᔖᑯᒥᓐᐦ	加拿大草茱萸
Category:ᐱᔦᓰᓴᐠ	Category:鸟类
Category:ᐅᐲᑭᒋᑳᓇᐠ	Category:植物
Help:Canadian Aboriginal Syllabics	加拿大原住民音節文字
Category:Wikipedia bots	Category:維基百科機器人
Template:T	Template:Tl
Wikipedia:Administrators	Wikipedia:管理员
Template:Bot	Template:Bot
ᑳᓇᑖ	加拿大
Category:Help	Category:帮助文档
Template:Documentation	Template:Documentation
Category:Pages needing translation	Category:翻譯請求
Wikipedia:Community Portal	Wikipedia:社群首页
Category:User languages	Category:用户语言
Template:Softredirect	Template:軟重定向
Template:Delete	Template:Delete
Category:ᐗᑭᐱᑎᔭ	Category:维基百科
Wikipedia:Statistics	Wikipedia:统计
Template:Navbox	Template:Navbox
Template:Babel	Template:Babel
Template:Commons	Template:Commons
Template:User af-1	Template:User af-1
Template:User ar-1	Template:User ar-1
Template:User ast-1	Template:User ast-1
Template:User az	Template:User az
Template:User bar-1	Template:User bar-1
Template:User da-2	Template:User da-2
Template:User da	Template:User da
Template:User ca-1	Template:User ca-1
Template:User ca-4	Template:User ca-4
Template:User be-2	Template:User be-2
Template:User da-1	Template:User da-1
Template:User cs-1	Template:User cs-1
Template:User bg-1	Template:User bg-1
Template:User eo-3	Template:User eo-3
Template:User de	Template:User de
Template:User de-1	Template:User de-1
Template:User el	Template:User el
Template:User de-3	Template:User de-3
Template:User en-3	Template:User en-3
Template:User el-1	Template:User el-1
Template:User en-1	Template:User en-1
Template:User en-2	Template:User en-2
Template:User en-4	Template:User en-4
Template:User fi	Template:User fi
Template:User en-0	Template:User en-0
Template:User en	Template:User en
Template:User de-2	Template:User de-2
Template:User fr-1	Template:User fr-1
Template:User fr-2	Template:User fr-2
Template:User tr	Template:User tr
Template:User fr	Template:User fr
Category:User uk	Category:Uk 使用者
Category:User uk-N	Category:Uk 母語使用者
Template:Mod	Template:Mod
Template:User uk	Template:User uk
Template:User es-2	Template:User es-2
Template:ᑕᐋᐧᐤ	Template:Welcome
Category:User fr-1	Category:Fr-1 使用者
Category:User en-4	Category:En-4 使用者
Category:User en	Category:En 使用者
Category:User en-2	Category:En-2 使用者
Template:User zh	Template:User zh
Template:Template other	Template:Template other
Template:User ru-4	Template:User ru-4
Template:Pp-template	Template:Pp-template
Category:ᐧᐊᒌ	Category:山
Template:Babel field 1	Template:User language-1
Template:Rand	Template:Rand
Template:User no-2	Template:User no-2
Template:Babel field 4	Template:User language-4
Template:Babel field 0	Template:User language-0
Template:User fr-3	Template:User fr-3
Template:User de-0	Template:User de-0
Template:User en-5	Template:User en-5
Template:Babel field 3	Template:User language-3
Template:User fr-4	Template:User fr-4
Template:User bg	Template:User bg
Category:User az	Category:Az 使用者
Category:User be	Category:Be 使用者
Category:User eo	Category:Eo 使用者
Category:User fr	Category:Fr 使用者
Category:User lt	Category:Lt 使用者
Category:User sv	Category:Sv 使用者
Category:User fr-3	Category:Fr-3 使用者
Category:User cs-1	Category:Cs-1 使用者
Category:User da-1	Category:Da-1 使用者
Category:User ar-1	Category:Ar-1 使用者
Category:User fr-4	Category:Fr-4 使用者
Category:User be-2	Category:Be-2 使用者
Category:User da-2	Category:Da-2 使用者
Category:User fr-2	Category:Fr-2 使用者
Category:User ko-N	Category:Ko 母語使用者
Category:User fr-N	Category:Fr 母語使用者
Category:User lt-N	Category:Lt 母語使用者
Category:User af	Category:Af 使用者
Category:User af-1	Category:Af-1 使用者
Category:User als	Category:Als 使用者
Category:User ar	Category:Ar 使用者
Category:User ast	Category:Ast 使用者
Category:User ast-1	Category:Ast-1 使用者
Category:User az-N	Category:Az 母語使用者
Category:User bar	Category:Bar 使用者
Category:User bar-1	Category:Bar-1 使用者
Category:User bg	Category:Bg 使用者
Category:User bg-1	Category:Bg-1 使用者
Category:User bg-N	Category:Bg 母语使用者
Category:User ca	Category:Ca 使用者
Category:User ca-1	Category:Ca-1 使用者
Category:User ca-4	Category:Ca-4 使用者
Category:User cr	Category:Cr 使用者
Category:User cs	Category:Cs 使用者
Category:ᒥᓂᔥᑎᒄ	Category:岛屿
Category:User da	Category:Da 使用者
Category:User de	Category:De 使用者
Category:User de-0	Category:De-0 使用者
Category:User de-2	Category:De-2 使用者
Category:User de-3	Category:De-3 使用者
Category:User de-4	Category:De-4 使用者
Category:User de-N	Category:De 母語使用者
Category:User el	Category:El 使用者
Category:User el-1	Category:El-1 使用者
Category:User el-N	Category:El 母語使用者
Category:User en-0	Category:En-0 使用者
Category:User en-3	Category:En-3 使用者
Category:User en-5	Category:En-5 使用者
Category:User en-N	Category:En 母语使用者
Category:User eo-3	Category:Eo-3 使用者
Category:User es	Category:Es 使用者
Category:User es-2	Category:Es-2 使用者
Category:User fi	Category:Fi 使用者
Category:User fi-N	Category:Fi 母語使用者
Category:User fr-0	Category:Fr-0 使用者
Category:User ko	Category:Ko 使用者
Wikipedia:Babel	Wikipedia:巴別
Template:User sv-1	Template:User sv-1
Template:Babel field 2	Template:User language-2
Template:Babel field 5	Template:User language-5
Category:ᓃᐲᔾ	Category:水
Category:User ru	Category:Ru 使用者
Category:User ru-2	Category:Ru-2 使用者
Category:User ru-4	Category:Ru-4 使用者
Category:User sv-1	Category:Sv-1 使用者
Category:User tr	Category:Tr 使用者
Category:User tr-N	Category:Tr 母語使用者
Template:Lang	Template:Lang
Template:Modèle:Fr	Template:Fr icon
Category:ᓰᐲ	Category:河流
Template:User ko	Template:User ko
Category:User no-2	Category:No-2 使用者
Category:User no	Category:No 使用者
Template:User de-4	Template:User de-4
Category:ᐱᓯᐢᑭᐤ	Category:动物
Category:ᑫᐧᐃᐧᐣ	Category:武器
Category:Onikamow	Category:歌手
Category:ᓵᑲᐦᐄᑲᓐ	Category:湖泊
Category:ᑯᐯᒃ	Category:魁北克
Category:Itasinâsowin	Category:颜色
Category:ᐅᑌᓈᐤ	Category:城市
Category:User cr-0	Category:Cr-0 使用者
Category:User en-1	Category:En-1 使用者
Category:User de-1	Category:De-1 使用者
Category:User da-N	Category:Da 母語使用者
Special:RecentChanges	Special:最近更改
