Afrika	非洲
Dagaalada	战争
Kow	1
Labo	2
Sadax	3
Afar (lambar)	4
Shan	5
0	0
George W. Bush	乔治·沃克·布什
Laydi	矩形
Latfiya	拉脫維亞
Ukrain	乌克兰
Jamhuuriyadda Tashik	捷克
Islofaakiya	斯洛伐克
Isloveeniya	斯洛文尼亚
Moldofa	摩尔多瓦
Romania	羅馬尼亞
Bulgaria	保加利亚
Roma	罗马
Jamhuriyada Makedonia	馬其頓共和國
Albania	阿尔巴尼亚
Griinland	格陵兰
Kroatia	克罗地亚
Bosniya	波斯尼亚和黑塞哥维那
Aserbiijaan	阿塞拜疆
Andorra	安道尔
Jasiirada Qabrus	賽普勒斯
Joorjiya	格鲁吉亚
Kasakhstan	哈萨克斯坦
Malta	马耳他
Monako	摩纳哥
Montenegro	蒙特內哥羅
Faatikan	梵蒂冈
San Marino	圣马力诺
Boroksel	布鲁塞尔
Kuuba	古巴
Belise	伯利兹
Barbados	巴巴多斯
Indunisiya	印度尼西亚
Wolfgang Amadeus Mozart	沃尔夫冈·阿马德乌斯·莫扎特
Af-Turki	土耳其语
Koonfur Afrika	南非
Aljeeriya	阿尔及利亚
Usbekistan	乌兹别克斯坦
Biyo	水
Alwaax	木材
Telefishin	电视
Claude Monet	克洛德·莫奈
Diego Velázquez	委拉斯開茲
Jili	智利
El Greco	格雷考
Ciise	耶稣
Dusaa	水星
Taariikh	历史
Apple Inc	蘋果公司
Waxaraxir	金星
Jaceyl	愛
Cirjeex	木星
Uraano	天王星
Nicolas Sarkozy	尼古拉·萨科齐
Nebtuun	海王星
Xiddigis	天文學
Singabuur	新加坡
Saynis	科学
Buluuto	冥王星
Liechtenstein	列支敦斯登
Ciyaaraha	体育运动
Adolf Hitler	阿道夫·希特勒
Facebook	Facebook
Julian Assange	朱利安·阿桑奇
Dagaalkii koowaad	第一次世界大战
Dagaalkii Labaad ee Aduunka	第二次世界大战
Goorsheegto	時鐘
Linux	Linux
Xisaab	数学
Af-Laatiin	拉丁语
Baxrayn	巴林
Armania	亞美尼亞
Seerbiya	塞尔维亚
Bil	月球
Istanbuul	伊斯坦堡
Australia	澳大利亚
Fiisigis	物理学
Arjantiina	阿根廷
Isgaarsiinta	电信
Peru	秘鲁
Bayoloji	生物学
Waqooyiga Kuuriya	朝鲜民主主义人民共和国
Kambodiya	柬埔寨
Qur'aan	古兰经
Diinsoor (xayawaan)	恐龙
Islaam	伊斯兰教
Ljubljana	卢布尔雅那
World Wide Web	万维网
Naag	女性
Gabay	诗歌
Chernobyl	切尔诺贝利核事故
Milan	米蘭
Torino	都灵
Liin dhanaan	柠檬
Moos	香蕉
Ubax	花
Magaalo	城市
Napoleon Bonaparte	拿破仑一世
Xidig	恒星
Qorax	太阳
Cir	天空
Tuulo	村
Ooshiyaaniya	大洋洲
Bahda Midaysay Qoraxdu	太阳系
Ilig	牙齒
Hydrogen	氢
Hiliyaam	氦
Cadaab	地獄
Wikimedia Commons	维基共享资源
Liithiyaam	锂
Beriiliyaam	铍
Buug	图书
Maalin	日
Bariga Timor	东帝汶
Sanad	年
Qarni	世纪
Oslo	奥斯陆
Lissabon	里斯本
Dubay	杜拜
Lionel Messi	利昂内尔·梅西
Booron	硼
Versailles	凡爾賽鎮
Kaarboon	碳
Nitrojiin	氮
Ogsajiin	氧
FC Internazionale Milano	国际米兰足球俱乐部
Meere	行星
Muusig	音乐
Moskow	莫斯科
Foloriin	氟
Af-Taliyaani	意大利语
Niyoon	氖
Saint Petersburg	圣彼得堡
Jad	乍得
Sodhiyaam	钠
Woqooyi	北
Magniisiyaam	镁
Alumiiniyaam	铝
New Zealand	新西兰
Koonfur	南
Hindiya	印度
Silikoon	硅
Faransiyaam	钫
Tuvalu	圖瓦盧
Fosforos	磷
Xadiid	铁
Galbeed	西
Salfar	硫
Bari (Jiho)	東
Jasiiradaha Solomon	所罗门群岛
Koloriin	氯
Koofurta Holland	南荷蘭省
Balau	帛琉
Aargon	氩
Nawru	諾魯
Firefox	Firefox
Waqooyiga Holland	北荷兰省
Botashiyaam	钾
Zeeland	泽兰省
Kaalshiyaam	钙
Flevoland	弗莱福兰省
Lead	铅
Jasiirada Marshall	馬紹爾群島
Kiribati	基里巴斯
Mongolia	蒙古国
Fiji	斐濟
Iskaandhiyaam	钪
Titaaniyaam	钛
Fanansuwela	委內瑞拉
Jinkis Khan	成吉思汗
Fanadhiyaam	钒
Koroomiyaam	铬
Faras	马
Amistardam	阿姆斯特丹
Hub	武器
Xayawaan	动物
Surinam	蘇利南
Manganiis	锰
Paraguay	巴拉圭
Guyana	圭亚那
Fan	艺术
Ikwadoor	厄瓜多尔
Reheniyaam	铼
Kolombiya	哥伦比亚
Kobalti	钴
Tungsten	钨
Nikel	镍
Boliifia	玻利維亞
Osmiyaam	锇
Groningen	格罗宁根省
Kober	铜
Beer	植物
Sinki	锌
Leonardo da Vinci	列奥纳多·达·芬奇
Boqoshaa	真菌
Jamayka	牙买加
Friesland	弗里斯兰省
Drenthe	德伦特省
Overijssel	上艾瑟尔省
Guatemala	危地马拉
Gelderland	海尔德兰省
Utrecht	乌得勒支省
Bahamas	巴哈马
Dooro	鸡
Antigua iyo Barbuda	安提瓜和巴布达
Hawaay	夏威夷州
Dominika	多米尼克
Doofaar	家豬
Haiti	海地
El Salfador	萨尔瓦多
Iiraan	伊朗
Ciraaq	伊拉克
Xikmad	智慧
Kosta Rika	哥斯达黎加
Israaiil	以色列
Magaalada Utrecht	乌得勒支
Banama	巴拿马
Yemen	也门
Virus	病毒
Urdun	约旦
Nikaragua	尼加拉瓜
Florida	佛罗里达州
Qargistan	吉尔吉斯斯坦
Kuwayt	科威特
Laos	老挝
Lubnaan	黎巴嫩
Jasiirada Maldiif	马尔代夫
Ameerika	美洲
Lo'	家牛
Malaysiya	马来西亚
Burma	缅甸
Nebal	尼泊尔
Cumaan	阿曼
Bakistaan	巴基斯坦
Qatar	卡塔尔
Ciyaarta Teeniska	网球
Sacuudi Carabiya	沙特阿拉伯
Siri Lanka	斯里蘭卡
Suuriya	叙利亚
Gaaliyaam	镓
Tadsjikistan	塔吉克斯坦
Pokemon	口袋妖怪系列
Taywan	中華民國
YouTube	YouTube
Jermaaniyaam	锗
Tayland	泰国
Tareen	鐵路列車
Aarsenik	砷
Turkmenistan	土库曼斯坦
Seleniyaam	硒
Iridiyaam	铱
Imaaraatka Carabta	阿拉伯联合酋长国
Boromiin	溴
Balatiniyaam	铂
Fiyetnam	越南
Charlie Chaplin	查理·卓别林
Koonfur Kuuriya	大韩民国
Kiribtoon	氪
Afgaanistan	阿富汗
Gangnam Style	江南Style
Rubiidhiyaam	铷
Dahab	金
Kanaalka Suweys	苏伊士运河
Bangladesh	孟加拉国
Maali	马里共和国
Sokrades	苏格拉底
Angola	安哥拉
Butaan	不丹
Twitter	Twitter
Barunay	文莱
Tansaaniya	坦桑尼亚
Meerkuri	汞
Roald Amundsen	罗尔德·亚孟森
Harry Mulisch	哈里·穆里施
Filibiin	菲律宾
Jamhuuriyadda Bartamaha Afrika	中非共和國
Cirifka Koonfur	南极
Cirifka waqooyi	北极点
Isxaaq Newton	艾萨克·牛顿
Albert Einstein	阿尔伯特·爱因斯坦
Istoroontiyaam	锶
Itriyaam	钇
Bismuth	铋
Jaale	黄色
Togo	多哥
Tunisiya	突尼西亞
Saambiya	赞比亚
Simbaabwi	辛巴威
Beijing	北京市
Koonfur Suudaan	南蘇丹
Benin	贝宁
Botswana	波札那
Burkina Faso	布吉納法索
Burundi	蒲隆地
Komoros	葛摩
Jamhuuriyadda Kongo	刚果共和国
Jamhuuriyada Dimuqaraadiga Kongo	刚果民主共和国
Jabuuti	吉布提
Boloniyaam	钋
Ikweetiga Guinea	赤道几内亚
Eratareya	厄立特里亚
New Delhi	新德里
Ilmo	嬰兒
Astatiin	砹
Gabon	加蓬
Mahatma Gandhi	圣雄甘地
Gambia	冈比亚
Guinea	几内亚
Guinea-Bissau	幾內亞比索
Xeebta Foolmaroodi	科特迪瓦
Kamiruun	喀麦隆
Kab Ferde	佛得角
Lesotho	莱索托
Liberia	利比里亚
Libiya	利比亚
Madagaskar	马达加斯加
Malaawi	马拉维
Mauritania	毛里塔尼亚
Mauritius	毛里求斯
Marooko	摩洛哥
Musanbiig	莫桑比克
Nambiya	纳米比亚
Nayjar	尼日尔
Nayjeeriya	奈及利亞
Yugandha	乌干达
Ruwanda	卢旺达
Sirkooniyaam	锆
Sao Tome iyo Prinsipe	圣多美和普林西比
Sinigaal	塞内加尔
Seyshelles	塞舌尔
Sierra Leone	塞拉利昂
Soomaaliya	索马里
Niyobiyaam	铌
Julius Caesar	尤利烏斯·凱撒
Suudaan	苏丹共和国
Swasiland	斯威士兰
Qaansa Roobaad	彩虹
Molybdenum	钼
Teknetiyaam	锝
Qaramada Midoobay	联合国
Juquraafi	地理学
Wadno	心臟
Maskax	脑
Maqaar	皮膚
Midab	颜色
Rutheniyaam	钌
Roodhiyaam	铑
Baluug	藍色
Baladiyaam	钯
Naxaas	銀
Kaadmiyaam	镉
Limburg	林堡省 (荷兰)
Tin (curiye)	锡
Antimony	锑
Teluriyaam	碲
Waqooyiga Brabant	北布拉班特省
Aaydhiin	碘
Siinoon	氙
Kaasiyaam	铯
Baariyaam	钡
Haafniyaam	铪
Aktiiniyaam	锕
Tantalum	钽
Bill Clinton	比尔·克林顿
Raadhiyaam	镭
Raadhoon	氡
Lorraine	洛林
Buerto Riko	波多黎各
Niedersachsen	下萨克森
Lombardia	伦巴第
Qudus	耶路撒冷
Rutherfordium	鑪
Dubniyaam	𨧀
Siiborgiyaam	𨭎
Badweynta Hindiya	印度洋
Kosofo	科索沃
Badda Karabiya	加勒比海
Bohriyaam	𨨏
Hasiyaam	𨭆
Meitneriyaam	䥑
Darmstadtiyaam	鐽
Roentgeniyaam	錀
Dortmund	多特蒙德
Ununtriyaam	Uut
Lifermoriyaam	鉝
Ununoktiyaam	Uuo
Maastricht	马斯特里赫特
Jiilaal	冬季
Gu	春季
Xagaa	夏季
Dayr	秋季
Sadaam Xuseen	萨达姆·侯赛因
Usaama bin Laadin	奥萨马·本·拉登
Caarcaaro	蜘蛛
Miro	果实
Lacagta	貨幣
Xasharaad	昆虫
Faladimir Lenin	列宁
Uetersen	于特森
Augustus Octavian	奥古斯都
Microsoft Windows	Microsoft Windows
Jibraltaar	直布罗陀
Nokia	诺基亚
Baabuur	汽车
Juventus FC	尤文图斯足球俱乐部
Texas	德克萨斯州
Bruno Mars	布鲁诺·马尔斯
Sasiiliya	西西里岛
Sardiiniya	撒丁岛
Fuuqbax	克隆氏症
Buenos Aires	布宜諾斯艾利斯
Tokyo	東京都
Barcelona	巴塞罗那
Abidjan	阿比让
Minnesota	明尼蘇達州
Baqdaad	巴格达
Isuduwaha Waqtiga Caalamiga	协调世界时
AC Milan	AC米兰
Internet Explorer	Internet Explorer
Sigaar	香煙
Nayl armistaroong	尼尔·阿姆斯特朗
München	慕尼黑
Fiyena	維也納
Kobanhaygan	哥本哈根
Stockholm	斯德哥尔摩
Helsinki	赫尔辛基
Dublin	都柏林
Bratislava	布拉迪斯拉发
Budapest	布达佩斯
Frankfurt	美茵河畔法蘭克福
Lanthanum	镧
Kitaabka quduska	聖經
Phnom Penh	金边
Ho Chi Minh City	胡志明市
Luteetiyaam	镥
Mida Rumeed Kaniisada Ciise	真耶稣教会
Ingiriis (luqad)	英语
Bangkok	曼谷
Dong Hoi	同海市
Concepción	康塞普西翁 (智利)
Franck Ribéry	弗兰克·里贝里
Ottawa	渥太華
Dayaxa Cirjeex	木星的卫星
Juba	朱巴
Końskowola	孔斯科沃拉
Dar es Salaam	达累斯萨拉姆
Khartuum	喀土穆
Dayaxa raage	土星的卫星
2000	2000年
2003	2003年
2002	2002年
2001	2001年
2012	2012年
2011	2011年
2010	2010年
2009	2009年
2013	2013年
2014	2014年
2008	2008年
2004	2004年
2005	2005年
2006	2006年
2007	2007年
1900	1900年
1901	1901年
Charles De Gaulle	夏爾·戴高樂
1906	1906年
1908	1908年
1909	1909年
1992	1992年
1991	1991年
1990	1990年
1993	1993年
1994	1994年
1995	1995年
1996	1996年
1910	1910年
1911	1911年
1912	1912年
1913	1913年
1914	1914年
1997	1997年
1998	1998年
1999	1999年
1918	1918年
Cunto	食物
Mas	蛇
Dayaxa docay	海王星的卫星
Dashiishe	1月1日
1920	1920年
1919	1919年
1921	1921年
Georges Pompidou	乔治·蓬皮杜
Malmö	马尔默
Birmingham	伯明翰
Microsoft	微软
Borotoon	質子
Kurów	库鲁夫
Kimisteri	化學
Robin van Persie	罗宾·范佩西
27	27年
1989	1989年
1988	1988年
1987	1987年
1986	1986年
1985	1985年
1984	1984年
1983	1983年
1982	1982年
1981	1981年
1980	1980年
Muqdisho	摩加迪休
Sana'a	萨那
1970	1970年
1971	1971年
1972	1972年
1973	1973年
1974	1974年
1975	1975年
1976	1976年
1977	1977年
1978	1978年
1979	1979年
1969	1969年
18 Abriil	4月18日
25 Abriil	4月25日
26 Abriil	4月26日
Dayax	衛星
Kristian Wulff	克里斯蒂安·武尔夫
15 Meey	5月15日
SSC Napoli	那不勒斯足球俱乐部
1968	1968年
1967	1967年
1966	1966年
1965	1965年
1964	1964年
27 Juun	6月27日
Kubadda Cagta	足球
AS Roma	羅馬體育俱樂部
1963	1963年
Holokost	納粹大屠殺
1962	1962年
Michael Jackson	迈克尔·杰克逊
Bogota	波哥大
29 Diseembar	12月29日
Quito	基多
Adhi	家山羊
21 Oktoobar	10月21日
Paramaribo	帕拉马里博
Wiil	男孩
Gabar	女孩
Kanbera	堪培拉
Sydney	悉尼
Cagaar	綠色
Gaduud	红色
Perth	珀斯
Galbeed Australia (gobol)	西澳大利亚州
New South Wales	新南威爾士州
Wabiga Niil	尼罗河
Jini	鎮尼
Wabiga Nijer	尼日尔河
Rabat	拉巴特
Algiers	阿爾及爾
Tunis	突尼斯市
Triboli	的黎波里
Jabuuti (magaalo)	吉布地市
Tahraan	德黑兰
Addis Abeba	亚的斯亚贝巴
Ankara	安卡拉
Asmara	阿斯馬拉
Nijamiina	恩賈梅納
Niamey	尼亞美
Nawakshot	努瓦克肖特
1961	1961年
Bamako	巴馬科
Belgaraad	贝尔格莱德
Dakar	達喀爾
Banjul	班竹
Konakri	科納克里
Bissau	比绍
Category:Template	Category:維基百科模板
Monrofia	蒙羅維亞
Braia	培亞
1960	1960年
Akara	阿克拉
Dimishiq	大马士革
Yamoussoukro	亚穆苏克罗
Faransiis Guyana	法屬圭亞那
Ougadougou	瓦加杜古
Freetown	弗里敦
Abuja	阿布贾
Lome	洛美
Borto-Novo	波多诺伏
Yawunde	雅温得
Malabo	馬拉博
Librefille	利伯维尔
Bangui	班基
Kinshasa	金夏沙
Barasafille	布拉柴维尔
Bujumbura	布琼布拉
Kigali	吉佳利
Dodoma	多多马
Nayroobi	奈洛比
Lilongwe	利隆圭
Lusaka	路沙卡
Qorax madoobaad	日食
Mabuto	马普托
Kambaala	坎帕拉
Luanda	罗安达
Moroni	莫洛尼
Mabane	墨巴本
Maseru	马塞卢
Dugsi	学校
Antananarifo	塔那那利佛
Jaamacad	大學
Gaborone	嘉柏隆里
Harare	哈拉雷
Pretoria	比勒陀利亞
Bort Lois	路易港
Sao Tome	圣多美
Windhoek	温得和克
Wikipedia:Bacaadka	Wikipedia:沙盒
Fiktoria	维多利亚 (塞舌尔)
Guri	住宅
Kombuyuuterka Dhabta	筆記型電腦
Computer Hardware	硬件
Aljebra	代数
Webiyada	河流
Osasko	奥萨斯库
Garoonka ee Dong Hoi	同海機場
Curitiba	庫里奇巴
Pangea	盤古大陸
Keyn	森林
Anne Frank	安妮·弗蘭克
Shilin Soomaali	索馬利亞先令
Confucius	孔子
Category:Taariikhda Ciraaq	Category:伊拉克历史
Corbin Bleu	柯賓·布魯
Category:Xisaab	Category:数学
Jasiiradaha Feroe	法罗群岛
Maxamed Morsi	穆罕默德·穆尔西
Euro	欧元
Bada Dhexe	地中海
Masiixiyad	基督教
Windows 8	Windows 8
Template:Dalalka Aasiya	Template:亞洲
Bariis	稻
Céline Dion	席琳·狄翁
Qaaradaha	洲
Adelaide	阿德莱德
Shimbir	鸟
Template:Islaam	Template:伊斯兰教
Bilaha	月
Mustafa Kemal Atatürk	穆斯塔法·凯末尔·阿塔蒂尔克
1948	1948年
Jeejniya	车臣共和国
1949	1949年
Garoosni	格罗兹尼
Huang Xianfan	黄现璠
1956	1956年
1941	1941年
1945	1945年
1958	1958年
1926	1926年
1947	1947年
1944	1944年
1952	1952年
Bill Gates	比尔·盖茨
Encyclopedia	百科全书
DVD	數碼多功能影音光碟
Bogga Hore	Wikipedia:首页
CPU	中央处理器
1959	1959年
Template:Maqaal Cusub	Template:Good article
Dhesibel	分貝
Kubadda Koleyga	篮球
Kab town	開普敦
Bada Qaswiin	裏海
Harta Fiktooriya	維多利亞湖
Harada malaawi	马拉维湖
Salvador Dalí	萨尔瓦多·达利
Finsent van Gogh	文森特·梵高
Hokusai	葛饰北斋
Mishelangelo	米开朗基罗
Bablo bekaso	巴勃羅·畢卡索
Rembrandt van Rijn	伦勃朗
Eminem	Eminem
Bas	公共汽車
Baabiyloon	巴比伦
Katalooniya	加泰罗尼亚
Samarqanda	撒馬爾罕
Bukhaara	布哈拉
Mekka	麥加
Che Guvara	切·格瓦拉
Mao Zedong	毛泽东
Kabul	喀布尔
Luqada Tamil-ka	泰米尔语
Filasoofiyada	哲学
50 Cent	50 Cent
Dr. Dre	德瑞医生
Snoop Dogg	史努比狗狗
Shaax	茶
Tupac Shakur	吐派克·夏庫爾
Xidig-dhul	刺猬
1507	1507年
Shuuciyad	共产主义
Amadeyo afogadro	阿伏伽德罗常数
Liberalinimo	自由主义
Wadan	国家
Qaran	民族
Jow Bayden	乔·拜登
Hillary Clinton	希拉里·罗德姆·克林顿
Dabaal	游泳
Category:Xiddigis	Category:天文学
1542	1542年
1543	1543年
Jaan Jaak Rosoo	让-雅克·卢梭
Saxaara	撒哈拉沙漠
Hambeegar	漢堡 (食物)
Shaydaanka	魔鬼
1606	1606年
Maktabad	图书馆
FC Barcelona	巴塞罗那足球俱乐部
Midowga afrika	非洲联盟
Siyaasadda,	政治
Jaamacada Carabta	阿拉伯国家联盟
Dimoqraadi	民主
Hay'ada laanqayrta cas	国际红十字与红新月运动
Gaashaanbuurta NATO	北大西洋公约组织
Qin Shi Huang	秦始皇
Bariga Dhexe	中东
Jamhuriyadda	共和制
Hantiwadaag	社会主义
Dowlad	國 (政治)
Xisbi	政党
Kilimanjaaro	乞力马扎罗山
Kristoffer Kolombus	克里斯托弗·哥伦布
Rixlaat Ibn Batuuta	伊本·白图泰
Kanaalka Banama	巴拿马运河
Dheg	耳
San	鼻
Muruq	肌肉
Hees	歌曲
Kaneeco	蚊
Libaax Badeed	鲨鱼
Geel	骆驼
Naasley	哺乳动物
Maroodi	象
Quraansho	蚂蚁
Shini	蜂族
Software	软件
Af-Holandees	荷蘭語
DNA	脱氧核糖核酸
Nuucyada dhirta	物种
Hooyo	母親
Aabe	父親
Waalid	親本
Gaadiidka Dadweynaha	运输
Debian	Debian
1669	1669年
1670	1670年
1671	1671年
1672	1672年
1673	1673年
1674	1674年
1675	1675年
1676	1676年
1677	1677年
1678	1678年
1679	1679年
1680	1680年
1856	1856年
Af-Ruush	俄语
Faladimir Putin	弗拉基米尔·弗拉基米罗维奇·普京
Dastuur	宪法
Dalalka Kommonwels	英联邦
OPEC	石油输出国组织
Rooti	麵包
UNESCO	联合国教科文组织
Baaqa Caalamiga ee Xuquuqda Aadanaha	世界人权宣言
1796	1796年
1797	1797年
1899	1889年
Sawaaxili	斯瓦希里语
1893	1893年
Unug	细胞
Dhiig	血液
Qolfoof	骨骼系統
Sambab	肺
Hab Neefsi	呼吸系統
Habdhiska Taranka	生殖系统
Af-Romani	羅馬尼亞語
Roob	雨
Dhulgariir	地震
Ibn Siinaa	伊本·西那
Nelson Mandela	纳尔逊·曼德拉
Martin Luther King,	马丁·路德·金
Ensiim	酶
Borotiin	蛋白质
Daad	洪灾
Tsunami	海啸
Fulkaano	火山
Caad	云
Tirignoometeri	三角学
Joomitiri	几何学
Qarnigii 2aad	2世纪
Qarnigii 1aad	1世纪
Dhaqaale	经济学
Warshad	产业
Farta laatiinka	拉丁字母
Suugaan	文學
Category:Faransiiska	Category:法国
Category:Muusig	Category:音乐
Kun Habeen Iyo Habeen	一千零一夜
Category:Suugaanta	Category:文学
Category:Gabayada	Category:诗歌
Waxbarasho	教育
Qoys	家庭
Hugo Chavez	烏戈·查維茲
Nin	男性
Guur	婚姻
Midab Takoor	种族主义
Adoon	奴隶制度
Dagaal Sokeeye	内战
Cumar	欧麦尔·本·赫塔卜
Suldaan Suleymaan kan 1aad	苏莱曼一世 (奥斯曼帝国)
Bun	咖啡
Caano	乳
Buur	山
Salaaxudiin al-Ayyuubi	萨拉丁
Karaaji	卡拉奇
Riyaal Madrid	皇家马德里足球俱乐部
Dagaalkii qaboobaa	冷战
Seoul	首爾
Tomas Edison	爱迪生
Michael Faraday	麥可·法拉第
Internet protocol	网际协议
HTML	HTML
Af-Iswiidhan	瑞典語
Muxamed bin Muuse al-Khwarizmī	花拉子米
Karl Marx	卡尔·马克思
Nabi Muuse C.S.	摩西
Aqoon	知识
Naas	乳房
Atom	原子
Ileys	光
Af Giriig	希腊语
Operating system	操作系统
Naf	灵魂
Af-Faarsi	波斯语
Diin	宗教
Nabi Ibraahiim C.S.	亞伯拉罕
Saladh	沙律
Yuhuuda	犹太教
Af-Hebrow	希伯来语
Ibn Khalduun	伊本·赫勒敦
Beer (xubin)	肝臟
Bakeyle	兔
Cilminafsi	心理学
Badweyn	洋
Gootama buuda	释迦牟尼
Muxamed	穆罕默德
BBC	英国广播公司
Shahrukh Khan	沙·魯克·罕
Al-Ghazaali	安薩里
Gerald Ford	杰拉尔德·福特
Shiica	什叶派
Suufi	蘇非主義
Carab	舌
Chelsea FC	切尔西足球俱乐部
Arsenal F.C.	阿森纳足球俱乐部
Ganac	胰脏
Qolfoofta Dadka	人體骨架
Qoor	頸
Af	口腔
Elizabeth II	伊丽莎白二世
Caajiska	疲倦
Schiphol	阿姆斯特丹史基浦機場
Haarlem	哈勒姆
Ronald Reagan	罗纳德·里根
Af-Zulu	祖鲁语
Foosto	桶
Sabool	貧窮
Gordon Brown	戈登·布朗
Jadwalka Curiyayaasha	元素周期表
Robert Mugabe	羅伯·穆加貝
Xamaam(Shinbir)	鸠鸽科
Bakteeri	细菌
Geed	树
Canab	葡萄
Malab	蜂蜜
Hilib	肉类食物
Barandho	马铃薯
Sonkor	食糖
Khudaar	蔬菜
Robot	机器人
Makiinad	机械
Saxaafad	新闻学
Taleefoon	电话
Dhaqan	文化
RNA	核糖核酸
Xidigisyahan	天文学家
Habdhiska Wareega Dhiiga	循环系统
Mindhicirka weyn	大肠
Mindhicirka yar	小肠
Ibn Haytham	海什木
Isku dhis	化合物
Sharci dajinta	立法机构
Windows 7	Windows 7
Boqolleey	百分比
Windows Vista	Windows Vista
Fidel Castaro	菲德尔·卡斯特罗
Category:Barasiil	Category:巴西
Tamar	能量
Abala-abalayn bayoloji	生物分類法
Awood	力
Cufisjiidad	引力
Cuf	质量
Bir	金属
Hawo	气体
Dareere	液体
Adke	固体
Bushkuleeti	自行車
Markab	船
Beeraha	农业
Cudbi	棉花
Tiknolajiga nano	纳米技术
Xaansho	纸
Bac	塑料
Bed	面积
Lambar	数
Kiilogaraam	千克
Cristiano Ronaldo	基斯坦奴·朗拿度
Mitir	米 (单位)
Ilbiriqsi	秒
Galley	玉米
Kelvinka	开尔文
Dalalka	世界政區索引
Ludwik Lejzer Zamenhof	柴门霍夫
Mesobotaamiya	美索不达米亚
Buti	熊科
Britney Spears	布蘭妮·斯皮爾斯
Habdhiska Dheefshiidka	消化作用
Habka Samayska Cuntada	光合作用
Kansar	癌症
Qamadi	小麦
Kalandar	历法
Dhagool	聾
Cudur	疾病
Niikotiin	尼古丁
Malaariyo	疟疾
Cunto xumida	營養不良
Benseliin	青霉素
Nantes	南特
AIDS	艾滋病
Sokorow	糖尿病
Template:Location map Yemen	Template:Location map Yemen
Mona Lisa	蒙娜丽莎
Horgale (Fiisikis)	国际单位制
Burj Khalifa	哈里發塔
Gidaarka Shiinaha	长城
Abyoone	整数
Kubad	球面
Dawladii Cabaasiyiinta	阿拔斯王朝
Dawlada Cosmaniya	奥斯曼帝国
Koronto	電
Seef	劍
Pawlo Kuwelho	保羅·科爾賀
Stephan El Shaarawy	斯蒂凡·艾尔·沙拉维
Liin	橙
Af-Soomaali	索馬里語
Aljaziira	半岛电视台
Hal-xeraale	智力游戏
Carabi	阿拉伯语
Xorta ah	自由內容
Baar	棕榈科
Dollar	元 (貨幣)
Ra'iisul wasaare	总理
Araga	光学
Calan	旗幟
Qalin Qori	铅笔
Saabaan	家具
Template:Location map Sudan	Template:Location map Sudan
Template:Location map Eritrea	Template:Location map Eritrea
Template:Location map Ethiopia	Template:Location map Ethiopia
Template:Location map Djibouti	Template:Location map Djibouti
Template:Location map Somalia	Template:Location map Somalia
Template:Location map Nigeria	Template:Location map Nigeria
Template:Location map Uganda	Template:Location map Uganda
Geri	长颈鹿
Faruur	唇
