Afrika	非洲
Franz Schubert	弗朗茨·舒伯特
Igor' Stravinskij	伊戈尔·费奥多罗维奇·斯特拉文斯基
Pëtr Il'ič Čajkovskij	彼得·伊里奇·柴可夫斯基
Giuseppe Verdi	朱塞佩·威尔第
Kristofru Kolombu	克里斯托弗·哥伦布
Nagħġa	綿羊
Mammiferu	哺乳动物
Naħla	蜂族
Speċi	物种
Tifel	儿童
Napuljun III	拿破仑三世
Vladimir Putin	弗拉基米尔·弗拉基米罗维奇·普京
Analisi matematika	数学分析
Commonwealth tan-Nazzjonijiet	英联邦
Organizzazzjoni Dinjija tas-Saħħa	世界卫生组织
Demm	血液
Pulmun	肺
Casablanca	卡萨布兰卡
Xjenza Naturali	自然科学
Santu Wistin	希波的奥古斯丁
Nelson Mandela	纳尔逊·曼德拉
Martin Luther King Jr.	马丁·路德·金
Ġeometrija	几何学
Atmosfera	大气层
Kategorija:Bulgarija	Category:保加利亚
Kategorija:Franza	Category:法国
Kategorija:Mużika	Category:音乐
Elf Lejla u Lejla	一千零一夜
Kategorija:Letteratura	Category:文学
Ilijade	伊利亚特
Alessandru Manju	亚历山大大帝
Edukazzjoni	教育
Hugo Chávez	烏戈·查維茲
Raġel	男性
Otto von Bismarck	奥托·冯·俾斯麦
Abort	堕胎
Skjavitù	奴隶制度
Logħob Olimpiku tas-sajf 2008	2008年夏季奥林匹克运动会
US Sassuolo Calcio	萨索罗足球俱乐部
Logħob Olimpiku tas-sajf 2016	2016年夏季奥林匹克运动会
Gwerra Ċivili Amerikana	南北战争
Imperu Brittaniku	大英帝国
Real Madrid CF	皇家马德里足球俱乐部
Sivilja	塞维利亚
Rivoluzzjoni Russa	1917年俄国革命
Arkimede	阿基米德
Thomas Edison	爱迪生
Ewklide	欧几里得
Bit	位元
Parlament Ewropew	欧洲议会
Kostellazzjoni	星座
Karl Marx	卡尔·马克思
Voltaire	伏爾泰
Ħinduiżmu	印度教
Erwin Schrödinger	埃尔温·薛定谔
Lingwa Maltija	马耳他语
Reliġjon	宗教
René Descartes	勒内·笛卡儿
Pawlu minn Tarsu	保罗 (使徒)
Immanuel Kant	伊曼努尔·康德
Guy de Maupassant	居伊·德·莫泊桑
Friedrich Nietzsche	弗里德里希·尼采
Fwied	肝臟
Kilwa	腎
Fenek	兔
Psikoloġija	心理学
Gautama Buddha	释迦牟尼
Premier League	英格兰足球超级联赛
Muħammed	穆罕默德
Probabbiltà	概率
Martin Luteru	馬丁·路德
Xigħa	什叶派
Knisja Kattolika	天主教會
Chelsea FC	切尔西足球俱乐部
Arsenal FC	阿森纳足球俱乐部
Sistema diġestiva	消化系统
Logħob Olimpiku tax-xitwa 2010	2010年冬季奥林匹克运动会
Reġina Eliżabetta II	伊丽莎白二世
Alfabett	字母系統
Ronald Reagan	罗纳德·里根
Festival tal-Eurovision 2005	2005年歐洲歌唱大賽
Festival tal-Eurovision 2006	2006年歐洲歌唱大賽
Festival tal-Eurovision 2007	2007年歐洲歌唱大賽
Festival tal-Eurovision 2008	2008年歐洲歌唱大賽
Festival tal-Eurovision 2009	2009年歐洲歌唱大賽
Festival tal-Eurovision 2010	2010年欧洲歌唱大赛
Festival tal-Eurovision 2011	2011年歐洲歌唱大賽
Festival tal-Eurovision 2012	2012年欧洲歌唱大赛
Festival tal-Eurovision 2013	2013年欧洲歌唱大赛
Main-Spessart	美因-斯佩萨特县
Catherine Middleton	劍橋公爵夫人凱薩琳
David Beckham	大卫·贝克汉姆
Ryan Giggs	瑞恩·吉格斯
Frankonja t'Isfel	下弗兰肯行政区
Tom Cleverley	汤姆·克莱维利
Ben Foster	賓·科士打 (足球運動員)
Ashley Young	艾殊利·楊格
Kim Jong-il	金正日
Kategorija:Veneżwela	Category:委内瑞拉
Belfast	贝尔法斯特
Tavla perjodika	元素周期表
Tórshavn	托爾斯港
Manuel Almunia	曼努埃尔·阿穆尼亚
Attakki tal-11 ta' Settembru	九一一袭击事件
Chordata	脊索动物
Kultura	文化
Trattat ta' Maastricht	马斯特里赫特条约
Mediċina	医学
Sarajevo	塞拉耶佛
Ekwazzjoni differenzjali	微分方程
Kategorija:Brażil	Category:巴西
Kategorija:Rumanija	Category:罗马尼亚
Element kimiku	化學元素
Funzjonijiet (matematika)	函数
Kimika organika	有机化学
Mekkanika klassika	经典力学
Klassifikazzjoni bijoloġika	生物分類法
Arti marzjali	武術
Rota	自行車
Relatività ristretta	狭义相对论
Ħġieġ	玻璃
Karta	纸
Kilogramm	千克
Cristiano Ronaldo	基斯坦奴·朗拿度
Metru	米 (单位)
Pittura	绘画
Skultura	雕塑
Żfin	舞蹈
Pajjiżi tad-dinja	世界政區索引
Preistorja	史前時代
Silvio Berlusconi	西尔维奥·贝卢斯科尼
4′33″	4分33秒
Kolera	霍亂
Skerma	击剑
Sfera ċelesti	天球
Malarja	疟疾
AIDS	艾滋病
Tuberkulożi	結核
Mona Lisa	蒙娜丽莎
Teorija tan-numri	数论
Kileb	叠涩
Biżantini	拜占庭帝国
Kruċjata	十字軍東征
Imperu Ottoman	奥斯曼帝国
Malgrat de Mar	滨海马尔格拉特
Stephan El Shaarawy	斯蒂凡·艾尔·沙拉维
Mirtilla	藍莓
Lampuna	樹莓
Tuta tal-għollieq	黑莓
Kurgan (belt)	库尔干
Trapani	特拉帕尼
Wikispeċi	維基物種
Lingwa Għarbija	阿拉伯语
Jum ir-Ringrazzjament	感恩节
Lingwa Oċċitanija	奥克语
Lingwa tas-Sinjali Amerikana	美國手語
Kategorija:Provinċji tal-Italja	意大利省份列表
Alkoħoliżmu	酗酒
FC Bayern Munich	拜仁慕尼黑足球俱乐部
Serie A	意大利足球甲级联赛
Queen	皇后乐队
Provinċja ta' Agrigento	阿格里真托省
Provinċja ta' Bergamo	貝加莫省
Provinċja ta' Kaltanissetta	卡爾塔尼塞塔省
Provinċja ta' Lodi	洛迪省
Wikipedija:Vetrina	Wikipedia:特色条目
Mudell:Link FA	Template:Link FA
Dinja	世界
Wikipedija:Pjazza	Wikipedia:互助客栈
Takson	分類單元
Papa Pawlu VI	保祿六世
Etna	埃特纳火山
Clube de Regatas do Flamengo	法林明高競賽會
Gerard Piqué	赫拉德·皮克
San Lawrenz	羅馬的聖老楞佐
Martin Schulz	馬丁·舒爾茨 (德國政治家)
KAA Gent	KAA根特
Mudell Standard	标准模型
Teorija ta' kollox	万有理论
Tamworth FC	塔姆沃思足球俱乐部
Mafja	黑手党
Manchester United FC	曼徹斯特聯足球俱樂部
Aston Villa FC	阿士東維拉足球會
West Ham United FC	西汉姆联足球俱乐部
UEFA Champions League	欧洲冠军联赛
UEFA Europa League	欧足联欧洲联赛
Fenek tal-istrixxi ta' Sumatra	蘇門答臘兔
Tazza tad-Dinja tal-Futbol	世界盃足球賽
Daniel Parejo Muñoz	丹尼尔·帕雷霍
Blackburn Rovers FC	布莱克本流浪者足球俱乐部
Wolverhampton Wanderers FC	伍尔弗汉普顿流浪足球俱乐部
Rafael Correa	拉斐尔·科雷亚
R. Charleroi SC	皇家沙勒罗瓦体育俱乐部
FC Twente	特温特足球俱乐部
Motorhead	摩托头
Milied	圣诞节
Lingwi Romaniċi	罗曼语族
Steve Jobs	史蒂夫·乔布斯
Lady Gaga	Lady Gaga
Indoewropew	印欧语系
Muammar al-Gaddafi	穆阿迈尔·卡扎菲
Francesco Totti	弗朗切斯科·托蒂
Chișinău	基希讷乌
Soċjoloġija	社会学
Şalom	Şalom報
Caenolestidae	鼩负鼠科
Trojja	特洛伊
The Pirate Bay	海盜灣
Kampjonati Ewropej tal-Futbol 2012	2012年欧洲足球锦标赛
Audi	奥迪
Abkażja	阿布哈茲
Antropoloġija	人类学
Baħar l-Aħmar	红海
Octave Mirbeau	奥克塔夫·米尔博
Abjad	白色
Iswed	黑色
Lordi	妖怪樂團
Lingwa uffiċjali	官方语言
Provinċja ta' Quảng Bình	廣平省
Entrena	恩特雷纳
Mérida (Veneżwela)	梅里達市
Benito Mussolini	贝尼托·墨索里尼
LOST (Serje televiżiva)	迷失
Ġebla tal-ġir	石灰岩
Valletta	瓦莱塔
Papa Ġwanni XXIII	若望二十三世
Benetice (Světlá nad Sázavou)	贝内蒂采
Prixtina	普里什蒂纳
Curaçao	库拉索
Coccinellidae	瓢蟲
Metatheria	有袋類
Pangolin	穿山甲
Lagomorpha	兔形目
Baqra tal-baħar	海牛目
Eutheria	真獸下綱
Fenek Ewropew	穴兔
Leporidae	兔科
Imperu Kushan	貴霜帝國
Qlugħ	帆
Klaas-Jan Huntelaar	克拉斯-扬·亨特拉尔
Proboscidea	长鼻目
Università Niccolò Cusano	尼可罗库萨诺大学
FK Radnik Bijeljina	比耶利納工人足球俱樂部
Fażijiet lunari	月相
Fariżej	法利赛人
Liebru Ewropew	歐洲野兔
Lepisma saccharina	蠹魚
Membru tal-Parlament Ewropew	歐洲議會議員
Laurasiatheria	勞亞獸總目
Afrotheria	非洲獸總目
Ewropa t'Isfel	南欧
Ewropa Ċentrali	中欧
Kristadelfjani	基督弟兄會
Tim nazzjonali tal-futbol tal-Eġittu	埃及國家足球隊
Maja	瑪雅文明
Chow Chow	鬆獅犬
FC Kuban Krasnodar	克拉斯諾達爾庫班足球俱樂部
Derivata	导数
Kwalifikazzjoni għall-Kampjonati Ewropej tal-Futbol 2008	2008年欧洲足球锦标赛外围赛
Chris Smalling	克里斯·斯莫林
Jonny Evans	乔尼·埃文斯
Michael Carrick	迈克尔·卡里克
Multilingwiżmu	多语制
Lingwa Sileżjana	西里西亞語
Avril Lavigne	艾薇兒·拉維尼
Mikhail Gorbachev	米哈伊尔·谢尔盖耶维奇·戈尔巴乔夫
Slogan	標語
Madre Tereża ta' Kalkutta	真福加爾各答的德肋撒
UEFA Champions League 2013–14	2013–14年歐洲冠軍聯賽
Rudolf Clausius	魯道夫·克勞修斯
Auguste Rodin	奥古斯特·罗丹
Blogg	網誌
Oscar Wilde	奥斯卡·王尔德
Krakovja	克拉科夫
Malala Yousafzai	马拉拉·优素福扎伊
Marsa FC	马萨足球俱乐部
Valery Leontiev	瓦列里里昂惕夫
Mużew	博物馆
Du Fu	杜甫
Popolazzjoni	人口
Arċipelagu	群島
Lingwa Sqallija	西西里语
Valparaíso	瓦尔帕莱索
Nju	紐埃
Tim nazzjonali tal-futbol tal-Iskozja	蘇格蘭足球代表隊
Lingwa Leoniża	萊昂語
Żews	宙斯
Lingwa tas-Sinjali	手語
Astroloġija	占星学
Mošovce	莫绍夫采
Saint-Dié-des-Vosges	孚日圣迪耶
Boris Yeltsin	鲍里斯·尼古拉耶维奇·叶利钦
Hirohito	昭和天皇
Baħar Eġew	爱琴海
J.K. Rowling	J·K·罗琳
Hiroshima	廣島市
Mitoloġija Griega	希腊神话
Ġeneru (tassonomija)	属 (生物)
Xjenzi soċjali	社会科学
Lista ta' kodiċi telefoniċi	国际电话区号列表
Lista ta' bliet kapitali	各国首都列表
Noemi (kantanta)	Noemi
Sit elettroniku	網站
Odissea	奥德赛
Lingwa Ido	伊多語
Etimoloġija	语源学
Nikita Krushchev	尼基塔·謝爾蓋耶維奇·赫魯曉夫
Kia Motors	起亚汽车
Familja (bijoloġija)	科 (生物)
UEFA	歐洲足球協會聯盟
Arthur Conan Doyle	阿瑟·柯南·道尔
Sport Club Corinthians Paulista	哥連泰斯保利斯塔體育會
Lingwa Kopta	科普特语
Folklor	民俗學
Siligo	西利戈
Mark Zuckerberg	马克·扎克伯格
Neolitiku	新石器时代
Katerina II tar-Russja	叶卡捷琳娜二世
Guglielmo Marconi	古列尔莫·马可尼
Ordni (bijoloġija)	目 (生物)
Cork	科克 (爱尔兰)
Renju (bijoloġija)	界 (生物)
Novial	诺维亚语
Aung San Suu Kyi	翁山蘇姬
Kompożitur	作曲家
Influwenza tal-majjali	豬流感
Serbja u Montenegro	塞爾維亞與蒙特內哥羅
Romantiċiżmu	浪漫主义
It-Trinita' Mqaddsa	三位一體
Faragħun	法老
Mariupol	马里乌波尔
Tazza tad-Dinja tal-Futbol 2006	2006年世界杯足球赛
Klaus Ebner	克勞斯·埃布訥
Klassi (bijoloġija)	纲
Campora San Giovanni	肯波拉圣吉奥瓦尼
Bălţi	伯爾茲
Auckland Grammar School	奧克蘭文法學校
Bolla postali	邮票
Era (mitoloġija)	赫拉
Premju Nobel għall-Fiżika	诺贝尔物理学奖
Enya	恩雅
Phylum	门 (生物)
Enriku VIII tal-Ingilterra	亨利八世
São Paulo FC	聖保羅足球會
Baħar Tirren	第勒尼安海
Leeds	利兹
NK Čelik Zenica	澤尼察鋼鐵足球俱樂部
Surrealiżmu	超现实主义
San Ġwann (Malta)	聖瓜安
Ħaż-Żabbar	扎巴爾
Mosta	莫斯塔
Tas-Sliema	斯利馬
Ħal Qormi	戈爾米 (馬耳他)
Birkirkara	比爾基卡拉
Radio Studio 54 Network	第54演播室電台聯播網
Lamantin tal-Karibew	西印度海牛
Atti ta' l-Appostli	使徒行传
Żodjaku	黃道帶
Paulínia	保利尼亚
Fonoloġija	音位學
Kim Il-sung	金日成
Jan Vermeer	扬·弗美尔
Borussia Dortmund	多特蒙德足球俱樂部
Għenba tax-xewk	鵝莓
Michel de Montaigne	米歇爾·德·蒙泰涅
Golf ta' Biskaja	比斯開灣
Sorċid	鼩鼱科
Feniċi	腓尼基
Akille	阿喀琉斯
Gramma	克
.mt	.mt
Michelangelo Merisi da Caravaggio	卡拉瓦乔
Tim nazzjonali tal-futbol ta' Spanja	西班牙國家足球隊
Martin Weinek	馬丁·韋內克
Björk	碧玉 (歌手)
H. G. Wells	赫伯特·乔治·威尔斯
Tumas More	托马斯·莫尔
Fernando Torres	費蘭度·托利斯
Lamantin	海牛屬
Baħar Liguri	利古里亞海
Dima Bilan	季马·比兰
Lega Anżejatika	汉萨同盟
