frikytu'a	非洲
jinmrtali	铊
aisak.niuton	艾萨克·牛顿
la opyn,strit,map	開放街圖
albert. ainctain	阿尔伯特·爱因斯坦
jinmrstronti	锶
jinmrtitri	钇
jinmrbismu	铋
tunis	突尼西亞
zambias	赞比亚
zimbabues	辛巴威
beidjin	北京市
benin	贝宁
botsuanas	波札那
kongos	刚果共和国
ob	鄂畢河
roltrusi'o zei.kongos	刚果民主共和国
jicmrpoloni	钋
badenvirtemberg	巴登-符腾堡
klirlxastati	砹
gabon	加蓬
kamerun	喀麦隆
libgu'e	利比亚
morgu'e	摩洛哥
mosambik	莫桑比克
namibias	纳米比亚
nixerias	奈及利亞
carl. daruin.	查尔斯·达尔文
ugandas	乌干达
jinmrzirkoni	锆
senegal	塞内加尔
sieras. leon	塞拉利昂
somalias	索马里
jinmrni,obi	铌
.iulius. kaisar.	尤利烏斯·凱撒
sudan	苏丹共和国
mlibdena	钼
runjinme	锝
gunma natmi	联合国
ligytedyske	地质学
tutske	地理学
risna	心臟
besna	脑
skari	颜色
pragas	布拉格
rukyjinme	钌
zgujinme	铑
jinmrpaladi	钯
rijno	銀
jinmrkadmu	镉
blajinme	铟
tinci	锡
jinmrvurani	鈾
antimoni	锑
tedjicmu	碲
jinmrplutoni	钚
zirkliru	碘
jinmrneptuni	镎
fangynavni	氙
blasodna	铯
jinmrproktini	镤
tijyjinme	钡
lidycevjinme	钍
jinmrxafni	铪
jinmrtaktini	锕
jinmrtantalu	钽
bil. klinton	比尔·克林顿
dircyjinme	镭
dircynavni	氡
mymbais	孟买
jinmlruterfordi	鑪
jinmrdubni	𨧀
jinmrsiborgi	𨭎
xindo braxamsi	印度洋
karibes. zei xamsi	加勒比海
jinmrbori	𨨏
jinmrxasi	𨭆
jinmrmaitneri	䥑
kolorados	科羅拉多州
jinmrdarmctati	鐽
crisa	夏季
cteduncitsi	晝夜平分點
sanbau	西班牙语
io'an.zebastian.bax	约翰·塞巴斯蒂安·巴赫
niu,IORK	纽约州
jinmrseri	铈
jinmrprase,odimi	镨
jinmrne,odimi	钕
lenin	列宁
ronjinme	铕
uetersen	于特森
la canko	Microsoft Windows
manilias.	马尼拉
buenosaires	布宜諾斯艾利斯
mexygu'e tcadu	墨西哥城
tokios	東京都
atenas	雅典
bagdad	巴格达
nil.armstryg.	尼尔·阿姆斯特朗
berti xamsi	北海 (大西洋)
eliogabalus	埃拉伽巴路斯
jinmrlantano	镧
fagycevjinme	钷
jinmrsamari	钐
jinmrgadolini	钆
jinmrterbi	铽
jinmrdisprosi	镝
jinmrxolmi	钬
jinmrberbi	铒
jinmrtuli	铥
Ho Chi Minh tcadu	胡志明市
jinmrtiterbi	镱
jinmrluteti	镥
stace lijda befi la .iecuax	真耶稣教会
glibau	英语
merjinme	镅
jinmrkuri	锔
dong. xois.	同海市
konsepSION	康塞普西翁 (智利)
jinmrberkeli	锫
jinmrkaliforni	锎
jinmrtainctaini	锿
jinmrfermi	镄
jinmrmendelevi	钔
jinmrnobeli	锘
jinmrlorensi	鐒
konskovola	孔斯科沃拉
2000moi	2000年
2003moi	2003年
2002moi	2002年
2001moi	2001年
tabrelkijno	二氧化碳
2004moi	2004年
2005moi	2005年
2006moi	2006年
2007moi	2007年
1901moi	1901年
carl. dygol.	夏爾·戴高樂
1903moi	1903年
1904moi	1904年
1907moi	1907年
1906moi	1906年
1908moi	1908年
1992moi	1992年
1991moi	1991年
1990moi	1990年
1993moi	1993年
1994moi	1994年
1995moi	1995年
1996moi	1996年
1911moi	1911年
1913moi	1913年
1916moi	1916年
1997moi	1997年
1998moi	1998年
1999moi	1999年
1917moi	1917年
cidja	食物
nilsutra lo gusni	光速
pavma'i 1moi	1月1日
pavma'i 2moi	1月2日
pavma'i 3moi	1月3日
1919moi	1919年
pavma'i 4moi	1月4日
1923moi	1923年
cmaplini	矮行星
pavma'i 5moi	1月5日
pavma'i 6moi	1月6日
dutydikca kantu	电子
pavma'i 7moi	1月7日
pavma'i 9moi	1月9日
pavma'i 10moi	1月10日
pavma'i 17moi	1月17日
pavma'i 18moi	1月18日
pavma'i 19moi	1月19日
pavma'i 20moi	1月20日
pavma'i 21moi	1月21日
pavma'i 22moi	1月22日
pavma'i 23moi	1月23日
latmo sosygugje'a	羅馬帝國
pavma'i 24moi	1月24日
pavma'i 25moi	1月25日
pavma'i 26moi	1月26日
maikrosaft	微软
pavma'i 27moi	1月27日
pavma'i 28moi	1月28日
pavma'i 29moi	1月29日
pavma'i 30moi	1月30日
pavma'i 31moi	1月31日
pavrelma'i 9moi	12月9日
relma'i 1moi	2月1日
relma'i 2moi	2月2日
relma'i 3moi	2月3日
kuruf	库鲁夫
relma'i 4moi	2月4日
relma'i 5moi	2月5日
relma'i 6moi	2月6日
relma'i 7moi	2月7日
relma'i 8moi	2月8日
relma'i 9moi	2月9日
relma'i 10moi	2月10日
xumske	化學
relma'i 14moi	2月14日
relma'i 13moi	2月13日
relma'i 15moi	2月15日
relma'i 11moi	2月11日
relma'i 12moi	2月12日
relma'i 19moi	2月19日
relma'i 17moi	2月17日
relma'i 16moi	2月16日
relma'i 18moi	2月18日
relma'i 20moi	2月20日
relma'i 21moi	2月21日
relma'i 22moi	2月22日
relma'i 23moi	2月23日
relma'i 24moi	2月24日
relma'i 25moi	2月25日
relma'i 26moi	2月26日
relma'i 27moi	2月27日
relma'i 28moi	2月28日
cibma'i 2moi	3月2日
cibma'i 3moi	3月3日
cibma'i 5moi	3月5日
cibma'i 1moi	3月1日
cibma'i 7moi	3月7日
cibma'i 8moi	3月8日
cibma'i 4moi	3月4日
cibma'i 10moi	3月10日
cibma'i 11moi	3月11日
cibma'i 6moi	3月6日
cibma'i 13moi	3月13日
cibma'i 9moi	3月9日
cibma'i 12moi	3月12日
cibma'i 15moi	3月15日
cibma'i 14moi	3月14日
cibma'i 16moi	3月16日
cibma'i 17moi	3月17日
cibma'i 18moi	3月18日
cibma'i 19moi	3月19日
1989moi	1989年
1988moi	1988年
cibma'i 20moi	3月20日
1987moi	1987年
1986moi	1986年
1985moi	1985年
1984moi	1984年
cibma'i 21moi	3月21日
1983moi	1983年
cibma'i 22moi	3月22日
1982moi	1982年
1981moi	1981年
1980moi	1980年
cibma'i 23moi	3月23日
xiouz.of.mait.and.madjik to 5moi toi	魔法门之英雄无敌V
cibma'i 24moi	3月24日
cibma'i 25moi	3月25日
cibma'i 26moi	3月26日
cibma'i 27moi	3月27日
cibma'i 28moi	3月28日
cibma'i 29moi	3月29日
cibma'i 30moi	3月30日
cibma'i 31moi	3月31日
1970moi	1970年
1971moi	1971年
1972moi	1972年
1973moi	1973年
1974moi	1974年
1975moi	1975年
1976moi	1976年
1977moi	1977年
1978moi	1978年
1969moi	1969年
vonma'i 15moi	4月15日
vonma'i 13moi	4月13日
vonma'i 12moi	4月12日
vonma'i 14moi	4月14日
vonma'i 11moi	4月11日
vonma'i 10moi	4月10日
vonma'i 8moi	4月8日
vonma'i 9moi	4月9日
vonma'i 7moi	4月7日
vonma'i 6moi	4月6日
vonma'i 5moi	4月5日
vonma'i 4moi	4月4日
vonma'i 3moi	4月3日
vonma'i 1moi	4月1日
vonma'i 2moi	4月2日
vonma'i 16moi	4月16日
vonma'i 17moi	4月17日
vonma'i 18moi	4月18日
vonma'i 19moi	4月19日
vonma'i 20moi	4月20日
vonma'i 21moi	4月21日
vonma'i 22moi	4月22日
vonma'i 23moi	4月23日
vonma'i 24moi	4月24日
vonma'i 25moi	4月25日
vonma'i 26moi	4月26日
vonma'i 27moi	4月27日
vonma'i 28moi	4月28日
vonma'i 29moi	4月29日
vonma'i 30moi	4月30日
mumyma'i 1moi	5月1日
mumyma'i 2moi	5月2日
mumyma'i 3moi	5月3日
mumyma'i 4moi	5月4日
mumyma'i 5moi	5月5日
mumyma'i 6moi	5月6日
mumyma'i 7moi	5月7日
mumyma'i 8moi	5月8日
mumyma'i 29moi	5月29日
xavma'i 6moi	6月6日
xavma'i 1moi	6月1日
1968moi	1968年
1967moi	1967年
1966moi	1966年
1965moi	1965年
1964moi	1964年
xavma'i 29moi	6月29日
arnold. cyvartseneger	阿诺·施瓦辛格
zelma'i 2moi	7月2日
zelma'i 4moi	7月4日
zelma'i 1moi	7月1日
1963moi	1963年
pavrelma'i 26moi	12月26日
1962moi	1962年
bivma'i 24moi	8月24日
fraiburg	弗赖堡
marna snexu'i	大麻 (藥用)
sozma'i 26moi	9月26日
antuan. dy. sant,egzuperis	安托万·德圣埃克絮佩里
pavrelma'i 31moi	12月31日
pavnonma'i 29moi	10月29日
pavypavma'i 8moi	11月8日
pavypavma'i 2moi	11月2日
xunre	红色
.ganymid.	木卫三
anil. zei rirxe	尼罗河
1961moi	1961年
1960moi	1960年
amazonas. zei rirxe	亚马逊河
Wikipedia:ciptumla	Wikipedia:沙盒
alxebra	代数
remna xadyske	人体解剖学
rirxe	河流
kuritcibas	庫里奇巴
pitr.djeksyn	彼得·杰克逊
kongzi	孔子
korbin blys	柯賓·布魯
Category:cmaci	Category:数学
ronru'u	欧元
mijytu'a xamsi	地中海
xi'ojda	基督教
Template:zdotu'a	Template:亞洲
Template:tugni	Template:Support
rismi	稻
braplu	洲
cipni	鸟
monZON	蒙宗
masti	月
1948moi	1948年
1949moi	1949年
almaZAN	艾爾瑪善鎮
Huang Xianfan	黄现璠
1956moi	1956年
1941moi	1941年
1945moi	1945年
1958moi	1958年
1926moi	1926年
1947moi	1947年
1944moi	1944年
1952moi	1952年
krilytabno	钻石
bil. geits	比尔·盖茨
ponbau	日语
ralju ckupau	Wikipedia:首页
1959moi	1959年
pistabno	石墨
1957moi	1957年
siberias	西伯利亚
baikal. zei lalxu	贝加尔湖
mitcelyngelos	米开朗基罗
makax	麥加
tces.gevaras	切·格瓦拉
ma'os. dzedon.	毛泽东
vibna	阴道
pijyske	哲学
Category:sutra vimcu	Category:快速删除候选
pipno	钢琴
tcati	茶
kaurpo'esi'o	共产主义
nonje'asi'o	无政府主义
viltrusi'o	法西斯主义
gugde	国家
1452moi	1452年
1453moi	1453年
Category:kesyske	Category:天文学
Stanisław Lem	史坦尼斯勞·萊姆
sa'aras.zei kutytu'a	撒哈拉沙漠
jgita	吉他
karl.fridrix.gaus	卡爾·弗里德里希·高斯
1627moi	1627年
1807moi	1807年
1809moi	1809年
19xyxymoi	20世纪
1725moi	1725年
1812moi	1812年
20xyxymoi	21世纪
1814moi	1814年
1815moi	1815年
18xyxymoi	19世纪
17xyxymoi	18世纪
15moi na'acto	15世纪
caurceisi'o	无神论
emis.nyter	埃米·诺特
friko gunma	非洲联盟
ginske	遗传学
plajva	政治
roltrusi'o	民主
maris.kuris	玛丽·居里
aleksandr. puckin	亚历山大·谢尔盖耶维奇·普希金
jmive	生物
mark.tuein	马克·吐温
.alan turin	艾伦·图灵
cemtrusi'o	社会主义
tadjycolnunte'a	恐怖主义
kristoforos.kolombos.	克里斯托弗·哥伦布
ernan.kortes	埃爾南·科爾特斯
.iuxil.gygaxin.	尤里·阿列克谢耶维奇·加加林
banli lalxu	五大湖
dzipo braxamsi	南冰洋
kerlo	耳
nazbi	鼻
kanla	眼
mabru	哺乳动物
xanto	象
ritcard. stalman	理查德·斯托曼
rirni	親本
1830moi	1830年
1831moi	1831年
1743moi	1743年
1834moi	1834年
1836moi	1836年
leonard.euler	萊昂哈德·歐拉
1848moi	1848年
1683moi	1683年
1852moi	1852年
1691moi	1691年
1862moi	1862年
1780moi	1780年
1869moi	1869年
rukybau	俄语
1782moi	1782年
1870moi	1870年
flalu	法律
zginroknro	摇滚
1788moi	1788年
xelso citri	希腊历史
nanba	麵包
1794moi	1794年
1882moi	1882年
1885moi	1885年
1887moi	1887年
jugbau	汉语
ji'esle	细胞
fepri	肺
samselkei	电子游戏
ctuske	教育学
samsmacu	鼠标
rarske	自然科学
tedyske	地球科学
.uinstyn. tcyrtcil.	温斯顿·丘吉尔
dilnu	云
logji	逻辑
gerna	语法
vlile carna xamsi brife	熱帶氣旋
nintendos	任天堂
dinske	经济学
bauske	语言学
zdosible'u	汉字
latmo lerfu	拉丁字母
Category:bulgarias	Category:保加利亚
Category:fasygu'e	Category:法国
Category:zgike	Category:音乐
zgirjazu	爵士乐
remce'u	社会
lanzu	家庭
nanmu	男性
remna selcru	人权
selbaise'u	奴隶制度
ckafi	咖啡
ladru	乳
cmana	山
simon.bolivar	西蒙·玻利瓦尔
rios. dis. djaneiros	里约热内卢
canxais.	上海市
euklides	欧几里得
jo'anes. kepler.	约翰内斯·开普勒
maks.plank	马克斯·普朗克
kuarizmis	花拉子米
nom.tcomskis	诺姆·乔姆斯基
karl. marks	卡尔·马克思
volter	伏爾泰
ratni	原子
gusni	光
xesybau	希腊语
samplabau	编程语言
bangrmalti	马耳他语
lijda	宗教
rynes dekart	勒内·笛卡儿
zikmunt. freut.	西格蒙德·弗洛伊德
lijdrdjaina	耆那教
.adam. smit.	亚当·斯密
ractu	兔
menske	心理学
braxamsi	洋
sidartas.gautamas	释迦牟尼
marde	伦理学
vasxu	呼吸
bybycys	英国广播公司
moklu	口腔
canti	消化系统
lerfu	字母
Ronald Reagan	罗纳德·里根
bangrklingo	克林貢語
kampindi	貧窮
kanba solgrixra	摩羯座
jaurbei solgrixra	寶瓶座
Category:benesuel	Category:委内瑞拉
dikni selratni cartu	元素周期表
respa	爬行动物
banfi	两栖动物
skoselti'e	脊索动物
sutra binxo	革命
cirla	乾酪
sakta	食糖
mi'irlarcu	技术
fonxa	电话
kulnu	文化
xukmi veljmina	化合物
sapme'ocmaci	算术
Category:razgu'e	Category:巴西
Category:romanias	Category:罗马尼亚
selratni	化學元素
fancu	函数
xumsle	分子
dicmakseldi'e	电磁波
maircpukai	引力
gos	围棋
skina	电影
jinme	金属
gasta	钢
gapci	气体
sligu	固体
sance	声音
cipra	證明
namcu	数
relcimdyna'u	复数 (数学)
mitre	米 (单位)
snidu	秒
zumri	玉米
kelvo	开尔文
cintylarcu	绘画
dansu	舞蹈
rutni menli	人工智能
uuxan	武汉市
gugde liste	世界政區索引
prucitri	史前時代
rokci cedra	石器時代
ransu cedra	青铜时代
cribe	熊科
tixa	蒂黑
gurni	谷物
madjan	麻将
cripu	橋
silna	盐
treci'e	国际单位制
nacycmaci	数论
jungo ke banli bitmu	长城
mulna'u	整数
la'ortu'a	拉丁美洲
mexygu'e xamsi	墨西哥湾
cladakyxa'i	劍
remoi me la fernandos. pe la .aragon	斐迪南二世 (阿拉贡)
pavycimdyna'u	实数
frederik. bastias	弗雷德里克·巴斯夏
drupepa	核果
djirafa	长颈鹿
sofygu'e	苏联
selrunme	熔点
Queen	皇后乐队
rober.cuman	罗伯特·舒曼 (政治人物)
Template:Link FA	Template:Link FA
konstantinupolis	君士坦丁堡
monopolis	地產大亨
tibet	藏区
strutione	鸵鸟
dcosyn/xanguk	朝鲜 (称谓)
1927moi	1927年
abumoi mivytcuxu'i	維生素A
1955moi	1955年
1954moi	1954年
1953moi	1953年
1951moi	1951年
1950moi	1950年
1946moi	1946年
1943moi	1943年
1942moi	1942年
1940moi	1940年
1939moi	1939年
1937moi	1937年
1936moi	1936年
1934moi	1934年
1933moi	1933年
1932moi	1932年
1930moi	1930年
mlijilkle	碱土金属
binjimkle	过渡金属
klirylei	卤素
luvr	卢浮宫
1928moi	1928年
xindo ropno bangu	印欧语系
tirxu	虎
cidjrspageti	意大利粉
bertu'a	斯堪的纳维亚
samske	计算机科学
kacna'u	自然数
sornai bacru alfabeta	國際音標
sovmabru	单孔目
ctile	石油
lalxu	湖泊
di,orsais. zei muzga	奥赛博物馆
remske	人类学
daplu	島嶼
blabi	白色
paltoga	帕托加
997moi	997年
stedu	头
timske	气象学
jacke'o	摄氏温标
sirenias	海牛目
troneim	特隆赫姆
1xyxyxymoi	2千纪
0xyxyxymoi	1千纪
1812moi nanca jamna	1812年战争
2xyxyxymoi	3千纪
pifcpi	犀鸟科
jmive remske	体质人类学
beryrontu'a	北歐
mijropno	中欧
sanga	歌唱
selpliske	應用科學
paiton	Python
denmi	密度
pinpedi	鰭足類
avril.lavin	艾薇兒·拉維尼
tunba	兄弟姊妹
sumji	加法
runbau	人工語言
pardali	虎貓
lev. trotskis	列夫·达维多维奇·托洛茨基
cionmau la barda	大熊猫
bercribe	北極熊
runbau liste	人工語言列表
rarbau	自然语言
pidjni	皮钦语
plugri	群島
fla,ui,us.klaudius.iulianus	尤利安
xeldraci	演員
fla,ui,us.klaudius.io,ui,anus	约维安
la by sy dy poi gubni	OpenBSD
zgitci	乐器
zbabu	肥皂
198xymoi	1980年代
199xymoi	1990年代
makfartci	指南针
rutrpaupau	番木瓜
200xymoi	2000年代
liste be lo merja'a	美国总统列表
nikitas. xrucof.	尼基塔·謝爾蓋耶維奇·赫魯曉夫
rabybau	阿拉伯人
titikakas. zei lalxu	的的喀喀湖
voksnaske	语音学
mergu'e vipygu'e	美国州份
192moi na'ardekto	1920年代
marji	物质
bambusa	竹
interlingua	国际语
mleske	美学
finci'a	作家
lojban.	逻辑语
ctemidju	子夜
ki'orna'a	千纪
zgifi'i	作曲家
rianys	蕾哈娜
tokiponas	道本语
volapuk	沃拉普克语
Tociro Mifune	三船敏郎
zgirpopu	流行 (音樂類型)
alzaitu	橄欖 (木樨科)
boxna	波
preske	教师
genlalske	语法学
zunsna	辅音
zatsi'o	存在主义
nobel.zei termu'eske velne'u	诺贝尔物理学奖
rafske	词法学
184moi na'ardekto	1840年代
ka sezga'o	自閉症
remna kamfarvi namcu	人类发展指数
smuske	语义学
lastu	黃銅
dekna'a	年代
selpinxe	饮料
jordo rirxe	约旦河
vraga	杠杆
merko jecta vlile binxo fasnu	美國獨立戰爭
odbenu	海象
snage'a	音位學
kurt.gedyl	库尔特·哥德尔
dujro'i	火成岩
biork	碧玉 (歌手)
be'ejda be lei fanmo djedi cespre bei la iecy,ys.krist	耶穌基督後期聖徒教會
trixexo	海牛屬
dikca mi'irlarcu	電機工程學
kantrbocuni	玻色子
xasyske	海洋学
mataios	馬太
mu'amad.djunus	穆罕默德·尤纳斯
ranmi	传说
ritcard.dokinz	理查德·道金斯
gynus	GNU
182moi na'ardekto	1820年代
imazixen	柏柏尔人
The Doors	門戶樂團
rikteropu	土豚
fla,ui,us.iulius konstantius	君士坦提烏斯二世
ma'arlinsi	山脉
djosef.smit	約瑟·斯密
auskalerik	巴斯克地區
grin.deis	年輕歲月
363moi	363年
fedoras	Fedora
nalfendi kacna'u	素数
Template:selro'i datyta'e	Template:Infobox mineral
Template:Taxobox	Template:Taxobox
jbonunsla	自行车运动
toiotas	丰田汽车
visbis	維斯比
astrid. lindgren	阿斯特麗德·林格倫
sambau	机器语言
gombesa	腔棘魚
rafsi	詞綴
.siluren. cedran.	志留紀
la glico selmikce	英倫情人
.devon. cedran.	泥盆纪
karl. von. klausevits	卡尔·冯·克劳塞维茨
me la napoleon nunjamna	拿破崙戰爭
sampla	程序设计
tcimpazi	黑猩猩屬
aris.puakares	儒勒·昂利·庞加莱
bolci danti cecla xarci	加农炮
nimre	柑橘属
akenatyn	阿肯那顿
onkapi	㺢㹢狓
cmevla	名称
nalre'ucti	素食主義
oradeas	奥拉迪亚
nalvelganzu sligu	无定形体
fu'ivla	外来语
rokci pelji jinci	石头、剪子、布
gismu	词根
namsos	納姆索斯
kalkopairait	黃銅礦
condi jorne xamsi	海沟
mivyfu'i	克隆
1036 .ganymed.	小行星1036
snanilsutra	音速
skalduna	巴斯克人
nikolaus.lobatceskis	尼古拉·罗巴切夫斯基
ketlete	身高體重指數
konstantius.xlorus	君士坦提烏斯一世
me la .OIdipus. stura	恋母情结
.ganymidis.	伽倪墨得斯
cange	农场
befsraku	切腹
iosef.ben.matitia'uv	弗拉維奧·約瑟夫斯
kumte	骆驼科
sordaivla	众数 (语言学)
Wikipedia:galfi lo ckupau ta'i ma kau	Help:编辑页面
moresnet	莫里斯尼特
spatrmeliace	楝科
mari'an.re'iefskis	马里安·雷耶夫斯基
jgenanba	椒鹽卷餅
euklidi tamcmaci	欧几里得几何
prolog	Prolog
kauntyr. straik	反恐精英
starkraft	星际争霸
la .alkubi,er. ci'efanc.	阿庫別瑞引擎
nunjamna le gligu'e la zanzibar	英桑战争
Nagardjunas	龍樹
fi'orxruki	珠雞
cagyske	农学
voncimdyna'u	四元數
nikaraguas. zei lalxu	尼加拉瓜湖
cevni	神
mluske to pijyske	現象學
tabra	銅管樂器
cicna	青色
banpliske	语用学
baklanme	麝牛
vlaba'u	讀音
gerna selcni	语气
ve'erze'erna'u	场 (物理)
banli vlile carna xamsi brife de'i 1780moi nanca	1780年大飓风
ponslakyle'u	日語假名
teingyld.	魔髮奇緣
gramin. zei banxa	孟加拉乡村银行
.i mi pacna da	我有一个梦想
selratni liste fi lo sinxa	元素符号列表
ka'o	虛數單位
latmo veldetri	羅馬曆
rafael.del.riegos	拉斐爾·德爾列戈
poxiol	波赫尤拉
finpre	发明家
detri	日期
dat.seventiz.cous	70年代秀
la cabna cedra	公元
la uigyn	威根
1812moi nanca bancu zgike sidbo selfinti	1812序曲
dys.uar.yv.dys.uyrldz.	星际战争
nu damba befi la berstici	韦诺之战
nenzenkai	激发态
prenu	個人
noltrusi'o	君主主義
galbisybau	高地冰岛语
king.kong	金剛 (怪獸)
keinritli	演技
favmapti	同源
dasri pe la .mobius.	莫比乌斯带
gletu	交配
parikuTIN	帕里库廷火山
mirlyxarju	鹿豚
lubin	盧賓
lujvo	合成词
xalo,uin	万圣夜
soliaris to cuktrnovela toi	索拉里斯星 (小说)
la nolraiseltru be la .araukanias. joi la patagonias.	阿劳坎尼亚和巴塔哥尼亚王国
la'e pe abufy.ibu lu le nanca li panono zo'u skina tersitna panonomei	AFI百年百大电影台词
dijyselpla	藍圖
manri febybi'o nejni	汽化热
kijytcini	氧化数
leon. to skina toi	這個殺手不太冷
luk.besyn	吕克·贝松
manri dujbi'o nejni	熔化热
cimni smani cmacyje'u	無限猴子定理
