আফ্রিকা	非洲
ইস্তোনিয়া	爱沙尼亚
ডেভিড ক্যামেরন	戴维·卡梅伦
শনি গ্রহ	土星
চকলেট	巧克力
উড়োজাহাজ	固定翼飛機
যুদ্ধ	战争
১ (সংখ্যা)	1
০ (সংখ্যা)	0
অসীম	无穷
জর্জ ডব্লিউ. বুশ	乔治·沃克·布什
আয়তক্ষেত্র	矩形
সমকোণ	直角
লাতভিয়া	拉脫維亞
ইউক্রেন	乌克兰
চেক প্রজাতন্ত্র	捷克
স্লোভাকিয়া	斯洛伐克
স্লোভেনিয়া	斯洛文尼亚
ভিলনিউস	维尔纽斯
মলদোভা	摩尔多瓦
রোমানিয়া	羅馬尼亞
বুলগেরিয়া	保加利亚
রোম	罗马
ম্যাসেডোনিয়া প্রজাতন্ত্র	馬其頓共和國
আলবেনিয়া	阿尔巴尼亚
গ্রিনল্যান্ড	格陵兰
ক্রোয়েশিয়া	克罗地亚
বসনিয়া ও হার্জেগোভিনা	波斯尼亚和黑塞哥维那
আজারবাইজান	阿塞拜疆
অ্যান্ডোরা	安道尔
সাইপ্রাস	賽普勒斯
জর্জিয়া (রাষ্ট্র)	格鲁吉亚
কাজাখস্তান	哈萨克斯坦
মাল্টা	马耳他
মোনাকো	摩纳哥
মন্টিনিগ্রো	蒙特內哥羅
ভ্যাটিকান সিটি	梵蒂冈
সান মারিনো	圣马力诺
ব্রাসেল্‌স	布鲁塞尔-首都大区
কিউবা	古巴
বেলিজ	伯利兹
আইফেল টাওয়ার	艾菲爾鐵塔
বার্বাডোস	巴巴多斯
রাস্পবেরি পাই	树莓派
ভক্সওয়াগেন	大众汽车
ইন্টেল কর্পোরেশন	英特尔
কম্পিউটার কীবোর্ড	电脑键盘
জাভা (প্রোগ্রামিং ভাষা)	Java
ইন্দোনেশিয়া	印度尼西亚
ভোল্‌ফগাংক্‌ আমাডেয়ুস মোৎসার্ট	沃尔夫冈·阿马德乌斯·莫扎特
লুডভিগ ফান বেটোফেন	路德维希·范·贝多芬
তুর্কি ভাষা	土耳其语
দক্ষিণ আফ্রিকা	南非
লিঙ্কিন পার্ক	聯合公園
আলজেরিয়া	阿尔及利亚
উইকিসংকলন	维基文库
হারিকেন স্যান্ডি	颶風桑迪
উজবেকিস্তান	乌兹别克斯坦
সূর্যশিশির (উদ্ভিদ)	茅膏菜屬
তাশখন্দ	塔什干
ওয়ার্সা	华沙
ইউরোভিশন সঙ্গীত প্রতিযোগিতা	歐洲歌唱大賽
মদ	葡萄酒
পানি	水
পাকাচামড়া	皮革
কাঠ	木材
টেলিভিশন	电视
যৌনতা	性别
পর্নোগ্রাফি	色情
আইসল্যান্ডীয় ভাষা	冰岛语
ক্লোদ মোনে	克洛德·莫奈
দিয়েগো বেলাসকেস	委拉斯開茲
চিলি	智利
যিশু	耶稣
এলভিস প্রেসলি	埃爾維斯·皮禮士利
সেবাস্তিয়ান পিনেরা	塞巴斯蒂安·皮涅拉
গ্যালিলিও গ্যালিলেই	伽利略·伽利莱
বুধ গ্রহ	水星
ইতিহাস	历史
সিমতিয়ের দু পের লাশেজ	拉雪兹神父公墓
অ্যাপল ইনকর্পোরেটেড	蘋果公司
শুক্র গ্রহ	金星
ভাষা	語言
ভালোবাসা	愛
একনায়কতন্ত্র	獨裁政體
ছায়াপথ	星系
বৃহস্পতি গ্রহ	木星
মিশেল বাশলে	蜜雪兒·巴切萊
আকাশগঙ্গা	银河系
মহা বিস্ফোরণ তত্ত্ব	大爆炸
ইউরেনাস গ্রহ	天王星
এদুয়ার্দো ফ্রেই রুইস-তাগ্‌লে	爱德华多·弗雷·鲁伊斯-塔格莱
ব্রতাইন	布列塔尼半岛
ইংরেজি উইকিপিডিয়া	英语维基百科
নিকোলা সার্কোজি	尼古拉·萨科齐
নেপচুন গ্রহ	海王星
জ্যোতির্বিজ্ঞান	天文學
সিঙ্গাপুর	新加坡
বিজ্ঞান	科学
বিশ্বতত্ত্ব	宇宙学
প্লুটো	冥王星
মন্ট্রিঅল	蒙特利尔
ফ্রি সফটওয়্যার	自由软件
লিশটেনস্টাইন	列支敦斯登
ক্রীড়া	体育运动
ক্যামব্রিজ	劍橋
ইয়েলোস্টোন জাতীয় উদ্যান	黃石國家公園
আডলফ হিটলার	阿道夫·希特勒
ফেসবুক	Facebook
গুগল+	Google+
গুয়ানতানামো কারাগার	关塔那摩湾拘押中心
উইকিলিকস	維基解密
জুলিয়ান অ্যাস্যাঞ্জ	朱利安·阿桑奇
প্রথম বিশ্বযুদ্ধ	第一次世界大战
দ্বিতীয় বিশ্বযুদ্ধ	第二次世界大战
দুর্নীতি	贪污
উইকিবই	維基教科書
আউগুস্তো পিনোচে	奥古斯托·皮诺切特
উইকিভ্রমণ	维基导游
ভদকা	伏特加
ঘড়ি	時鐘
উবুন্টু (লিনাক্স ডিস্ট্রিবিউশন)	Ubuntu
লিনাক্স	Linux
বব ডিলন	鲍勃·迪伦
গণিত	数学
ইউটু	U2樂團
লাতিন ভাষা	拉丁语
বাহরাইন	巴林
আর্মেনিয়া	亞美尼亞
কিউনিফর্ম	楔形文字
হিগস বোসন	希格斯玻色子
সার্বিয়া	塞尔维亚
চাঁদ	月球
ইস্তানবুল	伊斯坦堡
অস্ট্রেলিয়া	澳大利亚
বব মার্লে	巴布·馬利
কার্ল সেগান	卡尔·萨根
জ্যোতির্জীববিজ্ঞান	天體生物學
পদার্থবিজ্ঞান	物理学
আর্জেন্টিনা	阿根廷
টেলিযোগাযোগ	电信
পেরু	秘鲁
জীববিজ্ঞান	生物学
অশনাক্ত উড়ন্ত বস্তু	不明飞行物
উত্তর কোরিয়া	朝鲜民主主义人民共和国
কম্বোডিয়া	柬埔寨
কাইপার বেষ্টনী	柯伊伯带
কুরআন	古兰经
ডাইনোসর	恐龙
প্রাণিবিজ্ঞান	动物学
ইসলাম	伊斯兰教
নাশপাতি	梨
আলেকজান্দ্রিয়ার প্রাচীন গ্রন্থাগার	亚历山大图书馆
লিউব্লিয়ানা	卢布尔雅那
সালবাদোর আইয়েন্দে	萨尔瓦多·阿连德
উদ্ভিদবিজ্ঞান	植物学
লেখ ওয়ালেন্সা	莱赫·瓦文萨
চাকা	輪
মন	心灵
শান্তি	和平
এনসাইক্লোপিডিয়া ব্রিটানিকা	大英百科全书
ইউরোপীয় ইউনিয়ন	欧洲联盟
রোন্‌-আল্প	罗纳-阿尔卑斯
ওয়ার্ল্ড ওয়াইড ওয়েব	万维网
নারী	女性
সফিয়া	索菲亞
ডন কিহোতে	堂吉诃德
অলসতা	懶惰
কম্পিউটার ভাইরাস	计算机病毒
চেরনোবিলের বিপর্যয়	切尔诺贝利核事故
হাসি	微笑
হিরোশিমা ও নাগাসাকিতে পারমাণবিক বোমাবর্ষণ	廣島與長崎原子彈爆炸
মিলান	米蘭
বন্ধুত্ব	友情
আর্তু র‍্যাঁবো	阿蒂尔·兰波
তুরিন	都灵
মল	糞便
লেবু	柠檬
কলা (ফল)	香蕉
এমিল জোলা	埃米尔·左拉
৬৬৬	666年
ফুল	花
গুগল (সংখ্যা)	古高爾
মারিয়ানা খাত	马里亚纳海沟
মাউন্ট এভারেস্ট	珠穆朗瑪峰
শারীরস্থান	解剖学
শহর	城市
নেপোলিয়ন বোনাপার্ট	拿破仑一世
অলিম্পাস মন্‌স্‌	奧林帕斯山 (火星)
শারীরবিদ্যা	生理学
তারা	恒星
মাউন্ট ভিসুভিয়াস	維蘇威火山
সূর্য	太阳
আকাশ	天空
লুই পাস্তুর	路易·巴斯德
আলোক বর্ষ	光年
গ্রাম	村
ভিক্টর হুগো	维克多·雨果
ওশেনিয়া	大洋洲
সৌরজগৎ	太阳系
বাল্টিক সাগর	波罗的海
ত্রিয়েস্তে	的里雅斯特
ভিস্তুলা নদী	维斯瓦河
সিয়ামিজ লড়াকু মাছ	泰國鬥魚
শঁজেলিজে	香榭丽舍大街
ওডার নদী	奧得河
দাঁত	牙齒
হাইড্রোজেন	氢
হিলিয়াম	氦
উইকিমিডিয়া কমন্স	维基共享资源
আঙ্গেলা মের্কেল	安格拉·默克爾
লিথিয়াম	锂
বেরিলিয়াম	铍
বই	图书
দিন	日
পূর্ব তিমুর	东帝汶
রাত	晚上
বছর	年
মোঁ ব্লঁ	勃朗峰
রাইন নদী	莱茵河
কৃষ্ণ বিবর	黑洞
চেরেস	穀神星
লিসবন	里斯本
হাউমেয়া	妊神星
মানব যৌনাচার	人类性行为
এরিস	阋神星
দুবাই	杜拜
লিওনেল মেসি	利昂内尔·梅西
পাদোয়া	帕多瓦
বোরন	硼
নিকোলাউস কোপের্নিকুস	尼古拉·哥白尼
কার্বন	碳
আলেসান্দ্রো দেল পিয়েরো	亚历山德罗·德尔·皮耶罗
ভোলগা নদী	伏尔加河
নাইট্রোজেন	氮
অক্সিজেন	氧
ফুটবল ক্লাব ইন্তারনাজিওনালে মিলানো	国际米兰足球俱乐部
গ্রহ	行星
ক্লিওপেট্রা	克娄巴特拉七世
সঙ্গীত	音乐
ভেনিস	威尼斯
প (নদী)	波河
থার্মোমিটার	溫度計
মস্কো	莫斯科
ফ্লুরিন	氟
ইতালীয় ভাষা	意大利语
নিয়ন	氖
সেন্ট পিটার্সবার্গ	圣彼得堡
চাদ	乍得
সোডিয়াম	钠
ম্যাগনেসিয়াম	镁
অ্যালুমিনিয়াম	铝
নিউজিল্যান্ড	新西兰
ভারত	印度
সিলিকন	硅
ফ্রান্সিয়াম	钫
টুভালু	圖瓦盧
ফসফরাস	磷
অঁদ্রে-মারি অম্পেয়্যার	安德烈-馬里·安培
গদ্য	散文
লোহা	铁
টোঙ্গা	東加
আলেসান্দ্রো ভোল্টা	亞歷山德羅·伏打
গন্ধক	硫
সামোয়া	萨摩亚
সলোমন দ্বীপপুঞ্জ	所罗门群岛
ভানুয়াটু	瓦努阿图
মলিয়ের	莫里哀
ক্লোরিন	氯
পাপুয়া নিউগিনি	巴布亚新几内亚
উইলিয়াম শেকসপিয়র	威廉·莎士比亚
পালাউ	帛琉
আর্গন	氩
নাউরু	諾魯
মোজিলা ফায়ারফক্স	Firefox
মাইক্রোনেশিয়া যুক্তরাজ্য	密克罗尼西亚联邦
পটাশিয়াম	钾
অলিম্পিক লিওনে	奥林匹克里昂
ক্যালসিয়াম	钙
সীসা	铅
মার্শাল দ্বীপপুঞ্জ	馬紹爾群島
কিরিবাস	基里巴斯
মঙ্গোলিয়া	蒙古国
ফিজি	斐濟
স্ক্যানডিয়াম	钪
টাইটানিয়াম	钛
ভেনেজুয়েলা	委內瑞拉
দাবা	國際象棋
চেঙ্গিজ খান	成吉思汗
ভ্যানাডিয়াম	钒
মেইন	缅因州
ক্রোমিয়াম	铬
ঘোড়া	马
আমস্টারডাম	阿姆斯特丹
প্রাণী	动物
সুরিনাম	蘇利南
ম্যাঙ্গানিজ	锰
প্যারাগুয়ে	巴拉圭
গায়ানা	圭亚那
শিল্প	艺术
ইকুয়েডর	厄瓜多尔
রিনিয়াম	铼
কলম্বিয়া	哥伦比亚
কোবাল্ট	钴
টাংস্টেন	钨
নিকেল	镍
বৌদ্ধ ধর্ম	佛教
খ্রোনিঙেন	格罗宁根
বলিভিয়া	玻利維亞
অসমিয়াম	锇
তামা	铜
ত্রিনিদাদ ও টোবাগো	千里達及托巴哥
পল ভের্লেন	保尔·魏尔伦
উদ্ভিদ	植物
সেন্ট ভিনসেন্ট ও গ্রেনাডাইন দ্বীপপুঞ্জ	圣文森特和格林纳丁斯
দস্তা	锌
নিউ হ্যাম্প্‌শায়ার	新罕布什尔州
সেন্ট লুসিয়া	圣卢西亚
লিওনার্দো দা ভিঞ্চি	列奥纳多·达·芬奇
সেন্ট কিট্‌স ও নেভিস	聖克里斯多福與尼維斯
ছত্রাক	真菌
জামাইকা	牙买加
গ্রেনাডা	格林纳达
ম্যাসাচুসেট্‌স	麻薩諸塞州
গুয়াতেমালা	危地马拉
গুগল ক্রোম	Google Chrome
বাহামা দ্বীপপুঞ্জ	巴哈马
কানেটিকাট	康乃狄克州
মুরগি	鸡
অ্যান্টিগুয়া ও বার্বুডা	安提瓜和巴布达
হাওয়াই	夏威夷州
হন্ডুরাস	洪都拉斯
ডোমিনিকা	多米尼克
ডোমিনিকান প্রজাতন্ত্র	多明尼加
শূকর	家豬
উত্তর মহাসাগর	北冰洋
হাইতি	海地
এল সালভাদোর	萨尔瓦多
ইরান	伊朗
ইরাক	伊拉克
আলাস্কা	阿拉斯加州
কোস্টা রিকা	哥斯达黎加
ইসরায়েল	以色列
পানামা	巴拿马
ইয়েমেন	也门
লোজান	洛桑
ভাইরাস	病毒
পোলীয় ভাষা	波兰语
জর্দান	约旦
নিকারাগুয়া	尼加拉瓜
ফ্লোরিডা	佛罗里达州
কিরগিজিস্তান	吉尔吉斯斯坦
অ্যারিজোনা	亞利桑那州
কুয়েত	科威特
লাওস	老挝
লেবানন	黎巴嫩
অরেগন	俄勒冈州
মালদ্বীপ	马尔代夫
আমেরিকা অঞ্চল	美洲
ইউটা	犹他州
গরু	家牛
মালয়েশিয়া	马来西亚
মায়ানমার	缅甸
নেপাল	尼泊尔
ওমান	阿曼
পাকিস্তান	巴基斯坦
কাতার	卡塔尔
টেনিস	网球
সৌদি আরব	沙特阿拉伯
আন্দ্রেই তার্কভ্‌স্কি	安德烈·塔尔科夫斯基
শ্রীলঙ্কা	斯里蘭卡
ইওসিফ স্তালিন	斯大林
সিরিয়া	叙利亚
প্লেটো	柏拉图
গ্যালিয়াম	镓
জোসেফ ব্রডস্কি	约瑟夫·亚历山德罗维奇·布罗茨基
তাজিকিস্তান	塔吉克斯坦
পোকেমন	口袋妖怪系列
তাইওয়ান	中華民國
ইউটিউব	YouTube
জার্মেনিয়াম	锗
এরিস্টটল	亚里士多德
থাইল্যান্ড	泰国
রেলগাড়ি	鐵路列車
আর্সেনিক	砷
বেতার	无线电
মেরিল স্ট্রিপ	梅麗·史翠普
তুর্কমেনিস্তান	土库曼斯坦
সেলেনিয়াম	硒
ইরিডিয়াম	铱
সংযুক্ত আরব আমিরাত	阿拉伯联合酋长国
ব্রোমিন	溴
প্লাটিনাম	铂
ভিয়েতনাম	越南
চার্লি চ্যাপলিন	查理·卓别林
দক্ষিণ কোরিয়া	大韩民国
দ্য সিম্পসন্‌স	辛普森一家
ইয়েকাতেরিনবুর্গ	葉卡捷琳堡
ক্রিপ্টন	氪
আফগানিস্তান	阿富汗
গ্যাংনাম স্টাইল	江南Style
জে. আর. আর. টলকিন	J·R·R·托尔金
রুবিডিয়াম	铷
সোনা	金
সুয়েজ খাল	苏伊士运河
বিজ্ঞানী	科学家
বাংলাদেশ	孟加拉国
ফ্রান্‌ৎস কাফকা	弗朗茨·卡夫卡
চেলিয়াবিন্‌স্ক	車里雅賓斯克
হোর্হে লুইস বোর্হেস	豪尔赫·路易斯·博尔赫斯
মালি	马里共和国
সক্রেটিস	苏格拉底
অ্যাঙ্গোলা	安哥拉
ভূটান	不丹
টুইটার	Twitter
ব্রুনাই	文莱
তানজানিয়া	坦桑尼亚
পারদ (মৌল)	汞
রুয়াল আমুনসেন	罗尔德·亚孟森
ফিলিপাইন	菲律宾
মধ্য আফ্রিকান প্রজাতন্ত্র	中非共和國
থ্যালিয়াম	铊
দক্ষিণ মেরু	南极
উত্তর মেরু	北极点
আইজাক নিউটন	艾萨克·牛顿
আলবার্ট আইনস্টাইন	阿尔伯特·爱因斯坦
স্ট্রনশিয়াম	锶
ব্রাজিলের প্রথম পেদ্রো	佩德罗一世 (巴西)
নেশাদায়ক পদার্থ	麻醉药品
ইট্রিয়াম	钇
বিসমাথ	铋
হলুদ (বর্ণ)	黄色
কোয়ান্টাম বলবিজ্ঞান	量子力学
টোগো	多哥
তিউনিসিয়া	突尼西亞
জন বারডিন	约翰·巴丁
জাম্বিয়া	赞比亚
জিম্বাবুয়ে	辛巴威
বেইজিং	北京市
দক্ষিণ সুদান	南蘇丹
বেনিন	贝宁
বতসোয়ানা	波札那
উইকিসংবাদ	维基新闻
বুর্কিনা ফাসো	布吉納法索
বুরুন্ডি	蒲隆地
কোমোরোস	葛摩
কঙ্গো প্রজাতন্ত্র	刚果共和国
ওব নদী	鄂畢河
গণতান্ত্রিক কঙ্গো প্রজাতন্ত্র	刚果民主共和国
স্যান অ্যান্টোনিও	圣安东尼奥 (得克萨斯州)
জিবুতি	吉布提
পোলোনিয়াম	钋
বাভারিয়া	巴伐利亚
বিষুবীয় গিনি	赤道几内亚
বাডেন-ভুর্টেমবার্গ	巴登-符腾堡
ইরিত্রিয়া	厄立特里亚
নতুন দিল্লি	新德里
ফিওদোর দস্তয়েভ্‌স্কি	費奧多爾·米哈伊洛維奇·陀思妥耶夫斯基
কামচাতকা উপদ্বীপ	堪察加半島
তিবি‌লিসি	第比利斯
আন্দ্রে শাখারভ	安德烈·德米特里耶维奇·萨哈罗夫
এস্টাটিন	砹
গাবন	加蓬
মোহনদাস করমচাঁদ গান্ধী	圣雄甘地
গাম্বিয়া	冈比亚
গিনি	几内亚
গিনি-বিসাউ	幾內亞比索
কোত দিভোয়ার	科特迪瓦
ক্যামেরুন	喀麦隆
কেপ ভার্দ	佛得角
লেসোথো	莱索托
লাইবেরিয়া	利比里亚
লিবিয়া	利比亚
মাদাগাস্কার	马达加斯加
মালাউই	马拉维
স্টুটগার্ট	斯图加特
মৌরিতানিয়া	毛里塔尼亚
মরিশাস	毛里求斯
মরোক্কো	摩洛哥
মোজাম্বিক	莫桑比克
নামিবিয়া	纳米比亚
নাইজার	尼日尔
নাইজেরিয়া	奈及利亞
চার্লস ডারউইন	查尔斯·达尔文
উগান্ডা	乌干达
রুয়ান্ডা	卢旺达
জারকোনিয়াম	锆
সাঁউ তুমি ও প্রিন্সিপি	圣多美和普林西比
সেনেগাল	塞内加尔
সেশেল	塞舌尔
কার্ল লিনিয়াস	卡尔·林奈
সিয়েরা লিওন	塞拉利昂
সোমালিয়া	索马里
নাইওবিয়াম	铌
জওহরলাল নেহ্‌রু	贾瓦哈拉尔·尼赫鲁
জুলিয়াস সিজার	尤利烏斯·凱撒
সুদান	苏丹共和国
সোয়াজিল্যান্ড	斯威士兰
রংধনু	彩虹
মলিবডিনাম	钼
টেকনিসিয়াম	锝
হামবুর্গ	汉堡
বিপাক	代谢
নরেন্দ্র মোদী	纳伦德拉·莫迪
গুজরাত	古吉拉特邦
বিবর্তন	演化
জাতিসংঘ	联合国
লেক সুপিরিয়র	苏必利尔湖
দান্তে আলিগিয়েরি	但丁·阿利吉耶里
আহমেদাবাদ	艾哈迈达巴德
ভূগোল	地理学
হৃৎপিণ্ড	心臟
মস্তিষ্ক	脑
ত্বক	皮膚
রঙ	颜色
বিশেষ্য	名詞
প্রাগ	布拉格
রুথেনিয়াম	钌
রোহডিয়াম	铑
নীল (বর্ণ)	藍色
প্যালাডিয়াম	钯
রূপা	銀
ক্যাডমিয়াম	镉
স্টার ট্রেক	星艦奇航記
ইন্ডিয়াম	铟
টিন	锡
ইউরেনিয়াম	鈾
অ্যান্টিমনি	锑
টেলুরিয়াম	碲
প্লুটোনিয়াম	钚
আয়োডিন	碘
নেপচুনিয়াম	镎
জেনন	氙
আনিমে	日本动画
সিজিয়াম	铯
প্রোটেক্টিনিয়াম	镤
বৈদ্যুতিক আধান	電荷
বেরিয়াম	钡
থোরিয়াম	钍
হ্যাফনিয়াম	铪
অ্যাক্টিনিয়াম	锕
ট্যানটালাম	钽
বিল ক্লিনটন	比尔·克林顿
রেডিয়াম	镭
রেডন	氡
লোরেন	洛林
আল্‌জাস	阿尔萨斯
ইন্দিরা গান্ধী	英迪拉·甘地
মারকিউরি	墨丘利
ওভের্ন	奥弗涅
মুম্বই	孟买
আন্তর্জাতিক অ্যাথলেটিক্স ফেডারেশন	国际田径联合会
অন্ধ্রপ্রদেশ	安得拉邦
অরুণাচল প্রদেশ	阿鲁纳恰尔邦
অসম	阿萨姆邦
বিহার	比哈尔邦
মিশিগান	密歇根州
ছত্তীসগঢ়	恰蒂斯加尔邦
লেক মিশিগান	密歇根湖
গোয়া	果阿邦
বুর্‌গোইন	勃艮第
হরিয়াণা	哈里亚纳邦
হিমাচল প্রদেশ	喜马偕尔邦
আকিতেন	阿基坦
জম্মু ও কাশ্মীর	查谟-克什米尔邦
পুয়ের্তো রিকো	波多黎各
ঝাড়খণ্ড	贾坎德邦
কর্ণাটক	卡纳塔克邦
কেরল	喀拉拉邦
মধ্যপ্রদেশ	中央邦
উসেইন বোল্ট	尤塞恩·博尔特
মহারাষ্ট্র	马哈拉施特拉邦
মণিপুর	曼尼普尔邦
শ্লেসভিগ-হোলস্টাইন	石勒苏益格-荷尔斯泰因
মেঘালয়	梅加拉亚邦
মেকলেনবুর্গ-ভোপোমান	梅克倫堡-西波美拉尼亞
নিডারজাখসেন	下萨克森
নর্থ রিনে-ভেস্টফালিয়া	北莱茵-威斯特法伦
হেসে	黑森
রিনেল্যান্ড-প্যালাটিনাটা	莱茵兰-普法尔茨
জারল্যান্ড	薩爾蘭
জ্যাক্সোনি	萨克森自由州
জন লেনন	约翰·列侬
ইলিনয়	伊利诺伊州
থুরিনগিয়া	图林根
জ্যাক্সোনি-আনহাল্ট	萨克森-安哈尔特
নর্থ ডাকোটা	北达科他州
ব্র্যান্ডেনবুর্গ	勃兰登堡
সাউথ ডাকোটা	南达科他州
মন্টানা	蒙大拿州
ওয়াইয়োমিং	怀俄明州
জেরুসালেম	耶路撒冷
জর্জো নেপোলিতানো	乔治·纳波利塔诺
আইডাহো	爱达荷州
ওয়াশিংটন (অঙ্গরাজ্য)	华盛顿州
কার্লো আজেলিও চিয়াম্পি	卡洛·阿泽利奥·钱皮
রাদারফোর্ডিয়াম	鑪
নেভাডা	内华达州
ডুবনিয়াম	𨧀
সিবোরজিয়াম	𨭎
ভারত মহাসাগর	印度洋
কসোভো	科索沃
ক্যারিবীয় সাগর	加勒比海
বোহরিয়াম	𨨏
হ্যাসিয়াম	𨭆
বান কি মুন	潘基文
কোফি আন্নান	科菲·安南
বুত্রোস বুত্রোস গালি	布特羅斯·布特羅斯-蓋里
মিটনেরিয়াম	䥑
হাভিয়ের পেরেজ ডে কুয়েইয়ার	佩雷斯·德奎利亚尔
কার্ট ওয়াল্ডহেইম	库尔特·瓦尔德海姆
কলোরাডো	科羅拉多州
উ থান্ট	吴丹
ডার্মস্টেটিয়াম	鐽
দগ হামারহোল্ড	达格·哈马舍尔德
ফ্রেদেরিক শোপাঁ	弗雷德里克·肖邦
ট্রিগভে হাভডেন লি	特吕格韦·赖伊
রন্টজেনিয়াম	錀
কোপার্নিসিয়াম	鎶
বিষয়শ্রেণী:সূচীপত্র	Category:頁面分類
আল্পস পর্বতমালা	阿尔卑斯山
কার্পেথীয় পর্বতমালা	喀尔巴阡山脉
গ্রনোবল	格勒诺布尔
ব্লেইজ প্যাসকেল	布莱兹·帕斯卡
জেন্ট	根特
শিকাগো	芝加哥
দ্য বিটল্‌স	披頭四樂隊
ইউনুনট্রিয়াম	Uut
ইউনুনকোয়াডিয়াম	鈇
ইউনুনপেন্টিয়াম	Uup
ইউনুনহেক্সিয়াম	鉝
ইউনুনসেপ্টিয়াম	Uus
ইউনুনকটিয়াম	Uuo
শীত	冬季
বসন্ত (ঋতু)	春季
গ্রীষ্ম	夏季
শরৎ	秋季
বিষুব	晝夜平分點
সাদ্দাম হুসাইন	萨达姆·侯赛因
