आफ्रिकाखण्डः	非洲
सेंट किट्	聖克里斯多福與尼維斯
जमैका	牙买加
ग्रेनाडा	格林纳达
मासचुसेट्‍स	麻薩諸塞州
ग्वाटेमाला	危地马拉
बहामास	巴哈马
कनेक्टिकट्	康乃狄克州
अण्टीग्वा	安提瓜和巴布达
हवाई	夏威夷州
हांडूरस	洪都拉斯
डोमोनिका	多米尼克
डोमोनिकन रिपब्लिक	多明尼加
उत्तरध्रुवीयमहासागरः	北冰洋
एल-साल्वाडोर	萨尔瓦多
ईरान	伊朗
इराक्	伊拉克
अलास्का	阿拉斯加州
कोस्टा रीका	哥斯达黎加
इजराइल	以色列
पानामा	巴拿马
यमन	也门
जार्डन	约旦
निकारगुवा	尼加拉瓜
फ्लोरिडा	佛罗里达州
किरगिस्थान	吉尔吉斯斯坦
आरिज़ोना	亞利桑那州
कुवैत	科威特
लाओस	老挝
लेबनान	黎巴嫩
ओरेगन्	俄勒冈州
मालाद्वीपः	马尔代夫
यूटाह	犹他州
गौः	家牛
मलयेशिया	马来西亚
बर्मा	缅甸
नेपालदेशः	尼泊尔
ओमान	阿曼
पाकिस्थानम्	巴基斯坦
कतार	卡塔尔
टेनिस्-क्रीडा	网球
सऊदी अरब	沙特阿拉伯
श्रीलङ्का	斯里蘭卡
जोसेफ़ स्टालिन	斯大林
सिरिया	叙利亚
प्लातोन्	柏拉图
गालियम्	镓
ताजिकिस्थान	塔吉克斯坦
तैवान	中華民國
अरिस्टाटल्	亚里士多德
थैलेण्ड्	泰国
रेडियो	无线电
तुर्कमिनिस्थान	土库曼斯坦
चम्पादेश	越南
दक्षिणकोरिया	大韩民国
द सिम्प्सन्स्	辛普森一家
अफगानिस्तान्	阿富汗
सुवर्णम्	金
बाङ्गलादेशः	孟加拉国
माली	马里共和国
सुकरात	苏格拉底
अङ्गोला	安哥拉
ब्रूनै	文莱
टंजानिया	坦桑尼亚
कलिंगद्वीप	菲律宾
केन्द्रीय अफ्रीका गणराज्यम्	中非共和國
ऐसाक् न्यूटन्	艾萨克·牛顿
अल्बर्ट् ऐन्स्टायिन्	阿尔伯特·爱因斯坦
पीत	黄色
टोगो	多哥
टुनिशिया	突尼西亞
जोह्न बार्डीन	约翰·巴丁
जाम्बिया	赞比亚
जिम्बाबवे	辛巴威
बीजिङ्ग्	北京市
बेनिन्	贝宁
बोत्सवाना	波札那
बुर्कीना-फासो	布吉納法索
बुरुंडी	蒲隆地
कोमोरोस	葛摩
कांगो गणराज्यम्	刚果民主共和国
जिबूटी	吉布提
इरीट्रिया	厄立特里亚
नवदेहली	新德里
गाबोन	加蓬
महात्मा गान्धी	圣雄甘地
गाम्बिया	冈比亚
गिनी	几内亚
गिनी-बिसो	幾內亞比索
कोट ऐवरी (ऐवरी कोस्ट)	科特迪瓦
केमेरून	喀麦隆
केप वर्डी	佛得角
लेसोथो	莱索托
लायबीरिया	利比里亚
लिबिया	利比亚
मडगास्कर	马达加斯加
मलावी	马拉维
मारिटेनिया	毛里塔尼亚
मारिषस्	毛里求斯
मोराको	摩洛哥
मोजम्बीक	莫桑比克
नमीबिया	纳米比亚
नीजे	尼日尔
नैजीरिया	奈及利亞
चार्ल्स् डार्विन्	查尔斯·达尔文
रवाण्डा	卢旺达
सेनेगल	塞内加尔
सेशेल	塞舌尔
केरोलस् लीनियस्	卡尔·林奈
सियारा-लियोन	塞拉利昂
सोमालिया	索马里
जवाहरलाल नेहरू	贾瓦哈拉尔·尼赫鲁
जुलियस कैसर	尤利烏斯·凱撒
सूडान	苏丹共和国
स्वाजीलैंड	斯威士兰
नरेन्द्र मोदी	纳伦德拉·莫迪
गुजरातराज्यम्	古吉拉特邦
संयुक्तराष्ट्रसङ्घः	联合国
प्राचीनभूगर्भशास्त्रम्	地质学
अहमदाबाद	艾哈迈达巴德
भूगोल	地理学
हृदयम्	心臟
मस्तिष्कम्	脑
चर्म	皮膚
रुथेनियम	钌
नीलः	藍色
रजतम्	銀
बङ्गम्	锡
यूरानियम	鈾
अयोडिन्	碘
इन्दिरा गान्धी	英迪拉·甘地
जामनगरम्	贾姆讷格尔
मुम्बई	孟买
आन्ध्रप्रदेशराज्यम्	安得拉邦
अरुणाचलप्रदेशराज्यम्	阿鲁纳恰尔邦
असमराज्यम्	阿萨姆邦
बिहारराज्यम्	比哈尔邦
मिशिगन	密歇根州
छत्तीसगढराज्यम्	恰蒂斯加尔邦
गोवाराज्यम्	果阿邦
हरियाणाराज्यम्	哈里亚纳邦
हिमाचलप्रदेशराज्यम्	喜马偕尔邦
जम्मूकाश्मीरराज्यम्	查谟-克什米尔邦
झारखण्डराज्यम्	贾坎德邦
कर्णाटकराज्यम्	卡纳塔克邦
केरळराज्यम्	喀拉拉邦
मध्यप्रदेशराज्यम्	中央邦
उसैन् बोल्ट्	尤塞恩·博尔特
महाराष्ट्रराज्यम्	马哈拉施特拉邦
मणिपुरराज्यम्	曼尼普尔邦
मेघालयराज्यम्	梅加拉亚邦
इलिनाई	伊利诺伊州
नार्थ डेकोटा	北达科他州
दक्षिण डकोटा	南达科他州
मान्‍टाना	蒙大拿州
वायोमिङ्	怀俄明州
ऐडहो	爱达荷州
वाशिङ्टन्	华盛顿州
नेवाडा	内华达州
हिन्दुमहासागरः	印度洋
कोलोराडो	科羅拉多州
वर्गः:विषयसर्वस्वम्	Category:頁面分類
शिशिरः	冬季
वसन्तः	春季
सद्दाम हुसेन्	萨达姆·侯赛因
ओसामा बिन् लाडेन्	奥萨马·本·拉登
स्पैनिश भाषा	西班牙语
कोलकाता	加尔各答
चेन्नै	金奈
देहली	德里
ढाका	达卡
बेङ्गळूरु	班加羅爾
पश्चिमवङ्गराज्यम्	西孟加拉邦
हैदराबाद्-नगरम्, भारतम्	海得拉巴 (印度)
त्रिपुराराज्यम्	特里普拉邦
फलानि	果实
धनम्	貨幣
वर्जिनिया	弗吉尼亚州
वेस्‍ट वर्जिनिया	西維吉尼亞州
न्यू यार्क्	纽约州
सेरियम्	铈
रोड ऐलैंड	羅德島州
जन्तुः	昆虫
मेरील्यान्ड्	马里兰州
डेलावेर्	特拉华州
व्लाडिमिर लेनिन	列宁
युरोपियम	铕
ओहायो	俄亥俄州
पेन्‍सिल्‍वेनिया	宾夕法尼亚州
ऊएतेर्सेन्	于特森
आगस्टस कैसर	奥古斯都
न्‍यू जर्सी	新泽西州
इन्डियाना	印第安纳州
नोकिया	诺基亚
जार्जिया (अमेरिका देशस्य प्रदेशः)	喬治亞州
राजस्थानराज्यम्	拉贾斯坦邦
टेक्सास्	德克萨斯州
तमिळनाडुराज्यम्	泰米尔纳德邦
नार्थ केरोलैना	北卡罗来纳州
साउथ केरोलैना	南卡罗来纳州
टोक्यो	東京都
अनानसफलरसः	菠蘿
मिसिसिपी	密西西比州
उत्तरप्रदेशराज्यम्	北方邦
उत्तराखण्डराज्यम्	北阿坎德邦
मिजोरामराज्यम्	米佐拉姆邦
सिक्किमराज्यम्	锡金
टेनेसी	田纳西州
नागपुरम्	那格浦尔
न्‍यू मेक्‍सिको	新墨西哥州
मिनेसोटा	明尼蘇達州
समन्वितसार्वत्रिकसमयः	协调世界时
विस्कान्सिन्	威斯康辛州
पुण्यपट्टनम्	浦那
अयोवा	艾奥瓦州
नेब्रास्‍का	內布拉斯加州
केन्‍सास	堪薩斯州
हिन्दीभाषा	印地语
मराठीभाषा	马拉地语
गणेशः	象头神
मिसूरी	密蘇里州
लूइसियाना	路易斯安那州
नागाल्याण्डराज्यम्	那加兰邦
केन्‍टकी	肯塔基州
अर्कान्स	阿肯色州
ओक्‍लाहोमा	奧克拉荷馬州
अपातकन्दुक	排球
कोपनहागन	哥本哈根
कोच्ची	柯枝
प्रोमेथियम	钷
हनोई	河內市
ट्रु जीसस् चर्च्	真耶稣教会
आङ्ग्लभाषा	英语
अमेरिसियम	镅
कान्सेप्सियान् (चिले)	康塞普西翁 (智利)
कालिफोर्नियम	锎
मेन्डेलेभियम	钔
पाटरीस एव्रा	帕特里斯·埃夫拉
येरेवान	葉里溫
२०१२	2012年
२०११	2011年
२०१०	2010年
१९००	1900年
१९०१	1901年
चार्ल्स द गॉल	夏爾·戴高樂
१९०२	1902年
१९०३	1903年
१९०४	1904年
१९०५	1905年
१९०६	1906年
१९०८	1908年
आहारः	食物
सर्पः	蛇
ज्याक शिराक	雅克·希拉克
जनवरी १	1月1日
जनवरी २	1月2日
अरुणस्य उपग्रहाः	天王星的卫星
नेताजी सुभाषचन्द्र बोस	苏巴斯·钱德拉·鲍斯
विद्युदणुः	电子
बर्मिङ्घम्	伯明翰
जनवरी १७	1月17日
जनवरी १८	1月18日
जनवरी १९	1月19日
जनवरी २०	1月20日
माइक्रोसाफ्ट्	微软
दिसम्बर ९	12月9日
रसतन्त्रम्	化學
२७	27年
कैसर विल्हेम द्वितीय (जर्मनी)	威廉二世 (德国)
जुलाई १०	7月20日
मद्रिद्	马德里
दिसम्बर ३१	12月31日
अक्टोबर् ९	10月9日
नवम्बर १३	11月13日
नवम्बर २९	11月29日
नवम्बर २६	11月26日
नवम्बर २३	11月23日
नवम्बर २४	11月24日
कन्याः	女孩
काठ्माण्डू	加德滿都
शार्लेमन्य	查理大帝
केनबरा	堪培拉
सिड्नि	悉尼
हरितः	綠色
रक्तः	红色
पृथिव्याः वायुमण्डलम्	地球大气层
अम्ब्रिअल (उपग्रहः)	天卫二
नील्-नदी	尼罗河
धूमकेतुः	彗星
तरुमा नगर	雅加达
वर्गः:विकिपीडियाफलकानां वर्गाः	Category:維基百科模板
यवद्वीप	爪哇岛
वर्गः:विकिपीडिया फलकम् वर्गाः	Category:按内容分类的模板
ऍमज़ॉन नदी	亚马逊河
पटलानम्	乒乓球
विकिपीडिया:प्रयोगपृष्ठम्	Wikipedia:沙盒
विकिपीडिया:स्वागतम्	Wikipedia:新手入門/主頁
नदी	河流
ग्लास्गो	格拉斯哥
महाबोधिमन्दिरम्	摩訶菩提寺
सुन्दरवनराष्ट्रियोद्यानम्	蘇達班
पश्चिमघट्टाः	西高止山脉
राजीवगान्धिः	拉吉夫·甘地
कॉर्बीन ब्लेऊ	柯賓·布魯
सुरत	苏拉特
वर्गः:भारतस्य इतिहासः	Category:印度歷史
मोहम्मदमुर्शी	穆罕默德·穆尔西
फलकम्:Country data Iran	Template:Country data Iran
बाली	巴厘岛
१४८८	1488年
क्रैस्तमतम्	基督教
फलकम्:एशियाखण्डस्य देशाः	Template:亞洲
१००४	1004年
भागीरथी	恒河
तण्डुलाः	稻
महाद्वीपाः	洲
पक्षिणः	鸟
गुजरातीभाषा	古吉拉特语
पुर्तगाली भाषा	葡萄牙語
मासाः	月
मुस्ताफ़ा केमल्	穆斯塔法·凯末尔·阿塔蒂尔克
सियानफ़ां हुआंग	黄现璠
१२००	1200年
१२०१	1201年
१२०२	1202年
१२०३	1203年
१२०४	1204年
१२०५	1205年
१२०६	1206年
१२०७	1207年
१२०८	1208年
१२०९	1209年
१२१०	1210年
१२११	1211年
१२१२	1212年
१२१३	1213年
हिप्पाक्रटीस्	希波克拉底
वज्रम्	钻石
बिल गेट्स	比尔·盖茨
जापानी भाषा	日语
विश्वकोशः	百科全书
मुख्यपृष्ठम्	Wikipedia:首页
१२१४	1214年
१२१५	1215年
बास्केट्बाल्-क्रीडा	篮球
१२१६	1216年
क्रिकेट्-क्रीडा	板球
गोल्फ्-क्रीडा	高爾夫球
१२१७	1217年
१२१८	1218年
१२१९	1219年
बीजिङ्ग्-ओलिम्पिक्-क्रीडोत्सवः	奥林匹克运动会
१२२०	1220年
१२२१	1221年
१२२२	1222年
१२२३	1223年
१२२४	1224年
१२२५	1225年
१२२६	1226年
१२२७	1227年
१२२८	1228年
१२२९	1229年
१२३०	1230年
१२३१	1231年
१२३२	1232年
१२३३	1233年
१२३४	1234年
१२३५	1235年
१२३६	1236年
१२३७	1237年
१२३८	1238年
१२३९	1239年
१२४०	1240年
१२४१	1241年
१२४२	1242年
१२४३	1243年
१२४४	1244年
१२४५	1245年
१२४६	1246年
हिमालयः	喜马拉雅山脉
आण्डिस्	安地斯山脈
बार्ट सिम्प्सन	巴特·辛普森
१२४७	1247年
१२४८	1248年
१२४९	1249年
१२५०	1250年
१२५१	1251年
१२५२	1252年
१२५३	1253年
१२५४	1254年
१२५५	1255年
१२५६	1256年
१२५७	1257年
१२५८	1258年
१२५९	1259年
१२६०	1260年
१२६१	1261年
१२६२	1262年
१२६३	1263年
१२६४	1264年
१२६५	1265年
१२६६	1266年
१२६७	1267年
१२६८	1268年
१२६९	1269年
१२७०	1270年
१२७१	1271年
१२७२	1272年
१२७३	1273年
१२७४	1274年
१२७५	1275年
१२७६	1276年
१२७७	1277年
१२७८	1278年
१२७९	1279年
१२८०	1280年
१२८१	1281年
१२८२	1282年
१२८३	1283年
१२८४	1284年
१२८५	1285年
१२८६	1286年
१२८७	1287年
१२८८	1288年
१२८९	1289年
१२९०	1290年
१२९१	1291年
१२९२	1292年
१२९३	1293年
१२९४	1294年
१२९५	1295年
१२९६	1296年
१२९७	1297年
१२९८	1298年
१२९९	1299年
१३००	1300年
१३०१	1301年
१३०२	1302年
१३०३	1303年
१३०४	1304年
१३०५	1305年
जार्ज बैरन	拜伦勋爵
१३०६	1306年
१३०७	1307年
१३०८	1308年
१३०९	1309年
१३१०	1310年
१३११	1311年
१३१२	1312年
१३१३	1313年
१३१४	1314年
१३१५	1315年
१३१६	1316年
१३१७	1317年
१३१८	1318年
१३१९	1319年
१३२०	1320年
१३२१	1321年
१३२२	1322年
१३२३	1323年
१३२४	1324年
१३२५	1325年
१३२६	1326年
१३२७	1327年
१३२८	1328年
चे ग्वेएरा	切·格瓦拉
नोवाक् जोकोविक्	諾瓦克·喬科維奇
माओ त्से-तुंग	毛泽东
लिजा सिम्प्सन	莉萨·辛普森
जोहान वुल्फगांग गेटे	约翰·沃尔夫冈·冯·歌德
योनिः	阴道
तमिऴ्	泰米尔语
तत्त्वज्ञानम्	哲学
१३२९	1329年
१३३०	1330年
१३३१	1331年
१३३२	1332年
१३३३	1333年
१३३४	1334年
१३३५	1335年
१३३६	1336年
१३३७	1337年
१३३८	1338年
१३३९	1339年
१३४०	1340年
१३४१	1341年
१३४२	1342年
१३४३	1343年
१३४४	1344年
१३४५	1345年
१३४६	1346年
१३४७	1347年
१३४८	1348年
१३४९	1349年
१३५०	1350年
चायम्	茶
१३५१	1351年
हेबे कामार्हो	赫柏·卡马戈
पोर्टलण्ड्	波特蘭 (俄勒岡州)
१४००	1400年
१४०१	1401年
१३५२	1352年
१४०२	1402年
१३५३	1353年
१४०३	1403年
१३५४	1354年
१४०४	1404年
१३५५	1355年
१४०५	1405年
१५००	1500年
१४०६	1406年
१३५६	1356年
१५०१	1501年
१४०७	1407年
१३५७	1357年
१५०२	1502年
१४०८	1408年
१३५८	1358年
१५०३	1503年
१३५९	1359年
१४०९	1409年
१५०४	1504年
१३६०	1360年
१४१०	1410年
१५०५	1505年
१५०६	1506年
१४११	1411年
१३६१	1361年
१५०७	1507年
१४१२	1412年
१३६२	1362年
१४१३	1413年
१३६३	1363年
१५०९	1509年
१४१४	1414年
१५१०	1510年
१४१५	1415年
१३६४	1364年
१५११	1511年
१४१६	1416年
१३६५	1365年
१५१२	1512年
१४१७	1417年
१३६६	1366年
१५१३	1513年
१४१८	1418年
१३६७	1367年
१५१४	1514年
१४१९	1419年
१३६८	1368年
१५१५	1515年
१४२०	1420年
१३६९	1369年
१५१६	1516年
१४२१	1421年
१३७०	1370年
१३७१	1371年
१३७२	1372年
१३७३	1373年
१४२२	1422年
१५१७	1517年
१४२३	1423年
१५१८	1518年
१३७४	1374年
१४२४	1424年
१३७५	1375年
१५१९	1519年
१३७६	1376年
१४२५	1425年
१५२०	1520年
१५२१	1521年
१३७७	1377年
१४२६	1426年
१५२२	1522年
१५२३	1523年
१४२७	1427年
१३७८	1378年
१५२४	1524年
१५२५	1525年
१४२८	1428年
१३७९	1379年
१५२६	1526年
१४२९	1429年
१३८०	1380年
१३८१	1381年
१३८२	1382年
१३८३	1383年
१४३०	1430年
१४३१	1431年
इन्डियानापोलिस्	印第安納波利斯
१३८४	1384年
१४३२	1432年
१३८५	1385年
१३८६	1386年
१४३३	1433年
१३८७	1387年
१४३४	1434年
१४३५	1435年
१३८८	1388年
१४३६	1436年
१३८९	1389年
१४३७	1437年
१३९०	1390年
१४३८	1438年
१३९१	1391年
१४३९	1439年
१३९२	1392年
१४४०	1440年
१३९३	1393年
१३९४	1394年
१३९५	1395年
१४४१	1441年
१३९६	1396年
१३९७	1397年
१४४२	1442年
१५२७	1527年
१५२८	1528年
१३९८	1398年
१४४३	1443年
१४४४	1444年
१५२९	1529年
१३९९	1399年
१४४५	1445年
बोयिङ्ग् ७८७	波音787
१५३०	1530年
१४४६	1446年
१५३१	1531年
१४४७	1447年
१५३२	1532年
१४४८	1448年
१५३३	1533年
१४४९	1449年
१५३४	1534年
१४५०	1450年
१५३५	1535年
१४५१	1451年
१५३६	1536年
१४५२	1452年
१५३७	1537年
१४५३	1453年
१५३८	1538年
१४५४	1454年
१५३९	1539年
१४५५	1455年
१५४०	1540年
१५४१	1541年
१४५६	1456年
१४५७	1457年
१५४२	1542年
१४५८	1458年
१५४३	1543年
१४५९	1459年
१५४४	1544年
१४६०	1460年
१५४५	1545年
१४६१	1461年
१५४६	1546年
गुंटर ग्रास	君特·格拉斯
१४६२	1462年
१५४७	1547年
१४६३	1463年
१५४८	1548年
१४६४	1464年
१५४९	1549年
१४६५	1465年
१५५०	1550年
१४६६	1466年
१५५१	1551年
१४६७	1467年
१४६८	1468年
१५५२	1552年
१४६९	1469年
१५५३	1553年
१४७०	1470年
१५५४	1554年
१४७१	1471年
१५५५	1555年
सहारा	撒哈拉沙漠
१४७२	1472年
१५५६	1556年
१४७३	1473年
१५५७	1557年
१४७४	1474年
१५५८	1558年
गिटार् (वाद्यम्)	吉他
१४७५	1475年
१५५९	1559年
१४७६	1476年
१५६०	1560年
१४७७	1477年
१४७८	1478年
१५६१	1561年
१४७९	1479年
१५६२	1562年
१४८०	1480年
१५६३	1563年
१४८१	1481年
१५६४	1564年
१४८२	1482年
१५६५	1565年
१४८३	1483年
१५६६	1566年
१४८४	1484年
१५६७	1567年
१४८५	1485年
१४८६	1486年
१५६८	1568年
१४८७	1487年
१५६९	1569年
१५७०	1570年
१४८९	1489年
१५७१	1571年
१४९०	1490年
१५७२	1572年
१४९१	1491年
१५७३	1573年
१४९२	1492年
१५७४	1574年
१४९३	1493年
१५७५	1575年
१४९४	1494年
१४९५	1495年
१४९६	1496年
१५७६	1576年
१४९७	1497年
१५७७	1577年
१४९८	1498年
१५७८	1578年
१४९९	1499年
१५७९	1579年
१५८०	1580年
१५८१	1581年
१५८२	1582年
१६००	1600年
कार्ल फ्राइडरिक गास	卡爾·弗里德里希·高斯
१६०१	1601年
१५८३	1583年
१६०२	1602年
१५८४	1584年
१६०३	1603年
१५८५	1585年
१६०४	1604年
१५८६	1586年
१६०५	1605年
१५८७	1587年
१६०६	1606年
१६०७	1607年
१५८८	1588年
१६०८	1608年
१५८९	1589年
१६०९	1609年
१५९०	1590年
१६१०	1610年
१५९१	1591年
१६११	1611年
१५९२	1592年
१६१२	1612年
१५९३	1593年
१६१३	1613年
१५९४	1594年
१६१४	1614年
१५९५	1595年
१६१५	1615年
१५९६	1596年
१६१६	1616年
१५९७	1597年
१६१७	1617年
१५९८	1598年
१६१८	1618年
१५९९	1599年
१६१९	1619年
१६२०	1620年
१६२१	1621年
१७००	1700年
१७०१	1701年
१६२२	1622年
१६२३	1623年
१७०२	1702年
१६२४	1624年
१७०३	1703年
१७०४	1704年
१६२५	1625年
UTC+५:३०	UTC+5:30
१७०५	1705年
१६२६	1626年
१६२७	1627年
१७०६	1706年
१६२८	1628年
१७०७	1707年
१७०८	1708年
१६२९	1629年
१६३०	1630年
१७०९	1709年
१६३१	1631年
१७१०	1710年
अमूर	黑龙江
१६३२	1632年
१७११	1711年
अन्ताराष्ट्रीय-खगोलीय-सङ्घः	國際天文聯會
१६३३	1633年
१७१२	1712年
१६३४	1634年
१७१३	1713年
१८००	1800年
१८०१	1801年
१७१४	1714年
१६३५	1635年
१८०२	1802年
१७१५	1715年
१६३६	1636年
१८०३	1803年
१६३७	1637年
१७१६	1716年
१६३८	1638年
१८०४	1804年
१७१७	1717年
१६३९	1639年
१८०५	1805年
१७१८	1718年
१६४०	1640年
१७१९	1719年
१८०६	1806年
१६४१	1641年
१७२०	1720年
१८०७	1807年
१६४२	1642年
१७२१	1721年
१८०८	1808年
१६४३	1643年
१७२२	1722年
१८०९	1809年
१६४४	1644年
१७२३	1723年
१८१०	1810年
१६४५	1645年
१७२४	1724年
१८११	1811年
१६४६	1646年
१७२५	1725年
१८१२	1812年
१६४७	1647年
१७२६	1726年
१८१३	1813年
१६४८	1648年
१७२७	1727年
१८१४	1814年
१६४९	1649年
१७२८	1728年
१८१५	1815年
१६५०	1650年
१७२९	1729年
१८१६	1816年
१६५१	1651年
