Աֆրիկա	非洲
Վիսկի	威士忌
Գինի	葡萄酒
Ջուր	水
Կոնյակ	干邑白蘭地
Կոնյակ (քաղաք)	干邑
Կաշի	皮革
Փայտ	木材
Հեռուստատեսային կենտրոն	电视
Սեռ (կենսաբանություն)	性别
Պոռնոգրաֆիա	色情
Իսլանդերեն	冰岛语
Կլոդ Մոնե	克洛德·莫奈
Դիեգո Վելասկես	委拉斯開茲
Չիլի	智利
Էլ Գրեկո	格雷考
Հիսուս	耶稣
Էլվիս Փրեսլի	埃爾維斯·皮禮士利
Մարմնական պատիժներ	体罚
Գալիլեո Գալիլեյ	伽利略·伽利莱
Մերկուրի (մոլորակ)	水星
Պատմություն	历史
Պեր Լաշեզ	拉雪兹神父公墓
Էփլ	蘋果公司
Վեներա (մոլորակ)	金星
Լեզու	語言
Սեր	愛
Գալակտիկաներ	星系
Յուպիտեր (մոլորակ)	木星
Ծիր Կաթին	银河系
Մեծ Պայթյուն	大爆炸
Ուրան (մոլորակ)	天王星
Բրետան	布列塔尼半岛
Անգլերեն Վիքիպեդիա	英语维基百科
Նիկոլա Սարկոզի	尼古拉·萨科齐
Նեպտուն	海王星
Աստղագիտություն	天文學
Սինգապուր	新加坡
Գիտություն	科学
Տիեզերագիտություն	宇宙学
Պլուտոն	冥王星
Մոնրեալ	蒙特利尔
Ազատ ծրագրային ապահովում	自由软件
Մարիամ Աստվածածին	馬利亞 (耶穌的母親)
Լուի Սուրբ	路易九世 (法兰西)
Լիխտենշտայն	列支敦斯登
Սպորտ	体育运动
Քեմբրիջ	劍橋
Ելոուսթոուն (ազգային այգի)	黃石國家公園
Ադոլֆ Հիտլեր	阿道夫·希特勒
Ֆեյսբուք	Facebook
Google+	Google+
ՎիքիԼիքս	維基解密
Ջուլիան Ասանժ	朱利安·阿桑奇
Առաջին համաշխարհային պատերազմ	第一次世界大战
Երկրորդ համաշխարհային պատերազմ	第二次世界大战
Քյոլն	科隆
Կաշառակերություն	贪污
Վիքիգրքեր	維基教科書
Վիքիքաղվածք	维基语录
Վիքիլսարան	维基学院
Օղի	伏特加
Վաֆլի	窩夫
Յանկա Կուպալա	杨卡·库巴拉
Ուբունտու	Ubuntu
Սկոպյե	斯科普里
Գդինյա	格丁尼亚
Լինուքս	Linux
Բոբ Դիլան	鲍勃·迪伦
Չափագիտություն	计量学
Մաթեմատիկա	数学
Լատիներեն	拉丁语
Բահրեյն	巴林
Հայաստան	亞美尼亞
Սեպագիր	楔形文字
Հիգսի բոզոն	希格斯玻色子
Սերբիա	塞尔维亚
Լուսին	月球
Ստամբուլ	伊斯坦堡
Ավստրալիա	澳大利亚
Բոբ Մառլի	巴布·馬利
Կարլ Սագան	卡尔·萨根
Աստղակենսաբանություն	天體生物學
Ֆիզիկա	物理学
Արգենտինա	阿根廷
Կապի համակարգ	电信
Պերու	秘鲁
Կենսաբանություն	生物学
Չբացահայտված թռչող օբյեկտ	不明飞行物
Կորեայի Ժողովրդա-Դեմոկրատական Հանրապետություն	朝鲜民主主义人民共和国
Կամբոջա	柬埔寨
Կոյպերի գոտի	柯伊伯带
Ղուրան	古兰经
Դինոզավրեր	恐龙
Կենդանաբանություն	动物学
Իսլամ	伊斯兰教
Տանձենի	梨
Ալեքսանդրիայի գրադարան	亚历山大图书馆
Լյուբլյանա	卢布尔雅那
Բուսաբանություն	植物学
Անիվ	輪
Դենի Դիդրո	德尼·狄德罗
Ռահու (գյուղ, Վալյալա շրջան)	和平
Բրիտանիկա հանրագիտարան	大英百科全书
Լիոն	里昂
Եվրոպական Միություն	欧洲联盟
Պլովդիվ	普罗夫迪夫
Աստղային պատերազմներ	星際大戰
Ռոն-Ալպ	罗纳-阿尔卑斯
Համաշխարհային սարդոստայն	万维网
Կին	女性
Սոֆիա	索菲亞
Ջրանցույց	高架渠
Դոն Քիշոտ (վեպ)	堂吉诃德
.xxx	.xxx
Չափածո	诗歌
Ծուլություն	懶惰
Համակարգչային վիրուս	计算机病毒
Չեռնոբիլի ատոմակայանի վթար	切尔诺贝利核事故
Հիրոսիմայի և Նագասակիի ատոմային ռմբակոծումներ	廣島與長崎原子彈爆炸
Միլան	米蘭
Ընկերություն	友情
Հիշողություն	記憶
Արթյուր Ռեմբո	阿蒂尔·兰波
Թուրին	都灵
Կիտրոն	柠檬
Շառլ Բոդլեր	夏尔·波德莱尔
Ստենդալ	司汤达
Բանան	香蕉
Էմիլ Զոլա	埃米尔·左拉
666	666年
Ծաղիկ	花
Գուգոլ	古高爾
Մարիանյան իջվածք	马里亚纳海沟
Վլադիմիր Վիսոցկի	弗拉基米尔·维索茨基
Էվերեստ	珠穆朗瑪峰
Անատոմիա	解剖学
Նապոլեոն Բոնապարտ	拿破仑一世
Օլիմպոս (Մարս)	奧林帕斯山 (火星)
Ֆիզիոլոգիա	生理学
Աստղ	恒星
Վեզուվ	維蘇威火山
Արեգակ	太阳
Երկինք	天空
Լուի Պաստյոր	路易·巴斯德
Լուսային տարի	光年
Գյուղ	村
Վիկտոր Հյուգո	维克多·雨果
Օվկիանիա	大洋洲
Ջուզեպպե Գարիբալդի	朱塞佩·加里波底
Աթլետիկա	田径
Գրաքննադատություն	审查制度
Արեգակնային համակարգ	太阳系
Բալթիկ ծով	波罗的海
Տրիեստ	的里雅斯特
Վիսլա	维斯瓦河
Ջրածին	氢
Փաթի Սմիթ	帕蒂·史密斯
Հելիում	氦
Դժոխք	地獄
Վիքիպահեստ	维基共享资源
Անգելա Մերկել	安格拉·默克爾
Լիթիում	锂
Բերիլիում	铍
Գիրք	图书
Օր	日
Արևելյան Թիմոր	东帝汶
Գիշեր	晚上
Տարի	年
Դար	世纪
Լոձ	罗兹 (波兰)
Մոնբլան	勃朗峰
Հռենոս	莱茵河
Օսլո	奥斯陆
Բոն	波恩
Կատովիցե	卡托维兹
Սև խոռոչ	黑洞
Լուիշ դի Կամոենս	路易·德賈梅士
1+1 (ֆիլմ)	无法触碰
Սերես	穀神星
Լիսաբոն	里斯本
Ժեշուվ	热舒夫
Հոմեա	妊神星
Ռոն	罗纳河
Մակեմակե	鸟神星
Էրիս	阋神星
Դուբայի Էմիրություն	杜拜
Լիոնել Մեսսի	利昂内尔·梅西
Պադովա	帕多瓦
Բոր (քիմիական տարր)	硼
Նիկոլայ Կոպեռնիկոս	尼古拉·哥白尼
Վերսալ	凡爾賽鎮
Ածխածին	碳
Ալեսանդրո Դել Պիեռո	亚历山德罗·德尔·皮耶罗
Վոլգա (գետ)	伏尔加河
Ազոտ	氮
Թթվածին	氧
Ինտեր Միլան	国际米兰足球俱乐部
Մոլորակ	行星
Կլեոպատրա	克娄巴特拉七世
Երաժշտություն	音乐
Վենետիկ	威尼斯
Նարուտո	火影忍者
Պո (գետ)	波河
Նևա (գետ)	涅瓦河
Ռեն	雷恩 (伊勒-维莱讷省)
Լիլ	里尔
Մոսկվա	莫斯科
Ֆտոր	氟
Իտալերեն	意大利语
Նեոն	氖
Սանկտ Պետերբուրգ	圣彼得堡
Չադ	乍得
Նատրիում	钠
Հյուսիս	北
Մագնեզիում	镁
Ալյումին	铝
Նոր Զելանդիա	新西兰
Հարավ	南
Հնդկաստան	印度
Սիլիցիում	硅
Ֆրանսիում	钫
Թուվալու	圖瓦盧
Վան Փիս	ONE PIECE
Ֆոսֆոր	磷
Անդրե Մարի Ամպեր	安德烈-馬里·安培
Երկաթ	铁
Տոնգա	東加
Արևմուտք	西
Ալեսանդրո Վոլտա	亞歷山德羅·伏打
Ծծումբ	硫
Սամոա	萨摩亚
Սողոմոնյան Կղզիներ	所罗门群岛
Վանուատու	瓦努阿图
Մոլիեր	莫里哀
Քլոր	氯
Դելֆտ	代尔夫特
Պապուա Նոր Գվինեա	巴布亚新几内亚
Ուիլյամ Շեքսպիր	威廉·莎士比亚
Առակ	寓言
Հարավային Հոլանդիա	南荷蘭省
Պալաու	帛琉
Արգոն	氩
Նաուրու	諾魯
Mozilla Firefox	Firefox
Հեքիաթ	童話
Հյուսիսային Հոլանդիա	北荷兰省
Միկրոնեզիայի Ֆեդերատիվ Նահանգներ	密克罗尼西亚联邦
Կալիում	钾
Օլիմպիկ Լիոն	奥林匹克里昂
Զեյլանդ	泽兰省
Կալցիում	钙
Ֆլևոլանդ	弗莱福兰省
Կապար	铅
Մարշալյան կղզիներ	馬紹爾群島
Կիրիբատի	基里巴斯
Մոնղոլիա	蒙古国
Ֆիջի	斐濟
Սկանդիում	钪
Տիտան	钛
Վենեսուելա	委內瑞拉
Շախմատ	國際象棋
Չինգիզ խան	成吉思汗
Վանադիում	钒
Մեն	缅因州
Քրոմ	铬
Ձի	马
Ամստերդամ	阿姆斯特丹
Զենք	武器
Կենդանիներ	动物
Սուրինամ	蘇利南
Մանգան	锰
Պարագվայ	巴拉圭
Գայանա	圭亚那
Արվեստ	艺术
Էկվադոր	厄瓜多尔
Ռենիում	铼
Կոլումբիա	哥伦比亚
Կոբալտ	钴
Ժան Ռասին	让·拉辛
Վոլֆրամ	钨
Նիկել	镍
Գետնաելակ	草莓属
Պիեռ Կոռնեյլ	皮埃尔·高乃依
Բուդդայականություն	佛教
Բոլիվիա	玻利維亞
Օսմիում	锇
Խրոնինգեն (մարզ)	格罗宁根省
Պղինձ	铜
Տրինիդադ և Տոբագո	千里達及托巴哥
Պոլ Վեռլեն	保尔·魏尔伦
Բույսեր	植物
Սենթ Վինսենթ և Գրենադիններ	圣文森特和格林纳丁斯
Ցինկ	锌
Նյու Հեմպշիր	新罕布什尔州
Սենթ Լյուսիա	圣卢西亚
Լեոնարդո դա Վինչի	列奥纳多·达·芬奇
Սենթ Քիթս և Նևիս	聖克里斯多福與尼維斯
Սնկեր	真菌
Ճամայկա	牙买加
Ստեֆան Մալարմե	馬拉美
Գրենադա	格林纳达
Մասսաչուսեթս	麻薩諸塞州
Դրենթե	德伦特省
Օվերեյսել	上艾瑟尔省
Գվատեմալա	危地马拉
Խելդերլանդ	海尔德兰省
Ուտրեխտ (համայնք)	乌得勒支省
Google Chrome	Google Chrome
Բահամյան Կղզիներ	巴哈马
Կոնեկտիկուտ	康乃狄克州
Անտիգուա և Բարբուդա	安提瓜和巴布达
Հավայի	夏威夷州
Հոնդուրաս	洪都拉斯
Դոմինիկա	多米尼克
Ջերսի	澤西
Դոմինիկյան Հանրապետություն	多明尼加
Տնային խոզ	家豬
Հյուսիսային սառուցյալ օվկիանոս	北冰洋
Հայիթի	海地
Տաումատաուկատանգիինգակոաոաոուտամատեապոկանուենուկիտանատահու	塔乌玛塔法卡塔尼哈娜可阿乌阿乌欧塔玛提亚坡凯费努啊奇塔娜塔胡
Սալվադոր	萨尔瓦多
Զվոլե	兹沃勒
Իրան	伊朗
Իրաք	伊拉克
Ալյասկա (նահանգ)	阿拉斯加州
Ասսեն	阿森
Կոստա Ռիկա	哥斯达黎加
Իսրայել	以色列
Ուտրեխտ	乌得勒支
Պանամա	巴拿马
Եմեն	也门
Լոզան	洛桑
Վիրուսներ	病毒
Լեհերեն	波兰语
Հորդանան	约旦
Նիկարագուա	尼加拉瓜
Ֆլորիդա	佛罗里达州
Ղրղզստան	吉尔吉斯斯坦
Արիզոնա	亞利桑那州
Քուվեյթ	科威特
Լաոս	老挝
Լիբանան	黎巴嫩
Օրեգոն	俄勒冈州
Մալդիվներ	马尔代夫
Ամերիկա	美洲
Յուտա	犹他州
Կով	家牛
Մալայզիա	马来西亚
Միխայիլ Բուլգակով	米哈伊尔·阿法纳西耶维奇·布尔加科夫
Մյանմա	缅甸
Նեպալ	尼泊尔
Անդրեյ Ռուբլյով	安德烈·魯布烈夫
Օման	阿曼
Պակիստան	巴基斯坦
Ջեյմս Բոնդ	占士邦
Կատար	卡塔尔
Թենիս	网球
Ֆրանսուա Վիյոն	维永
MySQL	MySQL
Սաուդյան Արաբիա	沙特阿拉伯
Շրի Լանկա	斯里蘭卡
Իոսիֆ Ստալին	斯大林
Սիրիա	叙利亚
Պլատոն	柏拉图
Գալիում	镓
Իոսիֆ Բրոդսկի	约瑟夫·亚历山德罗维奇·布罗茨基
Տաջիկստան	塔吉克斯坦
Չինաստանի Հանրապետություն	中華民國
ՅուԹյուբ	YouTube
Գերմանիում	锗
Արիստոտել	亚里士多德
Թաիլանդ	泰国
Արսեն	砷
Ռադիո	无线电
Մերիլ Սթրիփ	梅麗·史翠普
Թուրքմենստան	土库曼斯坦
Աբական	阿巴坎
Սելեն	硒
Իրիդիում	铱
Արաբական Միացյալ Էմիրություններ	阿拉伯联合酋长国
Բրոմ	溴
Պլատին	铂
Վիետնամ	越南
Չարլի Չապլին	查理·卓别林
Նովոսիբիրսկ	新西伯利亚
Կորեայի Հանրապետություն	大韩民国
Սիմփսոններ	辛普森一家
Եկատերինբուրգ	葉卡捷琳堡
Կրիպտոն	氪
Աֆղանստան	阿富汗
Gangnam Style	江南Style
Ջոն Ռոնալդ Ռուել Տոլկին	J·R·R·托尔金
Սամարա	薩馬拉
Ռուբիդիում	铷
Ոսկի	金
Օմսկ	鄂木斯克
Սուեզի ջրանցք	苏伊士运河
Կազան	喀山
Գիտնական	科学家
Բանգլադեշ	孟加拉国
Բլիչ	BLEACH
Ֆրանց Կաֆկա	弗朗茨·卡夫卡
Չելյաբինսկ	車里雅賓斯克
Դոնի Ռոստով	顿河畔罗斯托夫
Խորխե Լուիս Բորխես	豪尔赫·路易斯·博尔赫斯
Ուֆա	烏法
Մալի	马里共和国
Սոկրատես	苏格拉底
Վոլգոգրադ	伏尔加格勒
Անգոլա	安哥拉
Պերմ	彼尔姆
Բութան	不丹
Թվիթթեր	Twitter
Կրասնոյարսկ	克拉斯諾亞爾斯克
Բրունեյ	文莱
Տանզանիա	坦桑尼亚
Սնդիկ	汞
Ռուալ Ամունդսեն	罗尔德·亚孟森
Հարի Մուլիշ	哈里·穆里施
Ֆիլիպիններ	菲律宾
Կենտրոնաաֆրիկյան Հանրապետություն	中非共和國
Թալիում	铊
Հարավային բևեռ	南极
Հյուսիսային բևեռ	北极点
Իսահակ Նյուտոն	艾萨克·牛顿
Ալբերտ Այնշտայն	阿尔伯特·爱因斯坦
Ստրոնցիում	锶
Թմրամիջոց	麻醉药品
Իտրիում	钇
Բիսմութ	铋
Քվանտային մեխանիկա	量子力学
Տոգո	多哥
Դոնալդ Տուսկ	唐納德·圖斯克
Թունիս	突尼西亞
Ջոն Բարդին	约翰·巴丁
Զամբիա	赞比亚
Զիմբաբվե	辛巴威
Պեկին	北京市
Հարավային Սուդան	南蘇丹
Վլադիվոստոկ	海參崴
Տիվա	图瓦共和国
Բենին	贝宁
Բոտսվանա	波札那
Վիքիլուրեր	维基新闻
Բուրկինա Ֆասո	布吉納法索
Բուրունդի	蒲隆地
Կոմորյան Կղզիներ	葛摩
Կոնգոյի Հանրապետություն	刚果共和国
Ալկմար (համայնք)	阿尔克马尔
Օբ (գետ)	鄂畢河
Կոնգոյի Դեմոկրատական Հանրապետություն	刚果民主共和国
Սան Անտոնիո	圣安东尼奥 (得克萨斯州)
Տոմսկ	托木斯克
Ջիբութի	吉布提
Պոլոնիում	钋
Բավարիա	巴伐利亚
Հասարակածային Գվինեա	赤道几内亚
Բադեն-Վյուրթեմբերգ	巴登-符腾堡
Էրիթրեա	厄立特里亚
Նյու Դելի	新德里
Ալմելո	阿爾默洛
Հովհաննես Պողոս II	若望·保祿二世
Ֆեոդոր Դոստոևսկի	費奧多爾·米哈伊洛維奇·陀思妥耶夫斯基
Ամերսֆորտ	阿默斯福特
Կամչատկայի թերակղզի	堪察加半島
Թբիլիսի	第比利斯
Ապինգեդամ	阿平厄丹
Անդրեյ Սախարով	安德烈·德米特里耶维奇·萨哈罗夫
Աստատ	砹
Գաբոն	加蓬
Մահաթմա Գանդի	圣雄甘地
Կոմիքս	漫画
Գամբիա	冈比亚
Գվինեա	几内亚
Գվինեա Բիսաու	幾內亞比索
Կոտ դ'Իվուար	科特迪瓦
Կամերուն	喀麦隆
Կաբո Վերդե	佛得角
Լեսոթո	莱索托
Լիբերիա	利比里亚
Լիբիա	利比亚
Աախեն	亚琛
Մադագասկար	马达加斯加
Մալավի	马拉维
Շտուտգարտ	斯图加特
Մավրիտանիա	毛里塔尼亚
Լեհեր	波蘭人
Մավրիկիոս	毛里求斯
Մարոկկո	摩洛哥
Մոզամբիկ	莫桑比克
Նամիբիա	纳米比亚
Նիգեր	尼日尔
Նիգերիա	奈及利亞
Չարլզ Դարվին	查尔斯·达尔文
Ուգանդա	乌干达
Ռուանդա	卢旺达
Ցիրկոնիում	锆
Սան Տոմե և Պրինսիպի	圣多美和普林西比
Կարլսրուե	卡尔斯鲁厄
Սենեգալ	塞内加尔
Սեյշելյան կղզիներ	塞舌尔
Կարլ Լինեյ	卡尔·林奈
Սիերա Լեոնե	塞拉利昂
Սոմալի	索马里
Նիոբիում	铌
Ջավահարլալ Ներու	贾瓦哈拉尔·尼赫鲁
Հուլիոս Կեսար	尤利烏斯·凱撒
Սուդան	苏丹共和国
Սվազիլենդ	斯威士兰
Ծիածան	彩虹
Մոլիբդեն	钼
Տեխնեցիում	锝
Համբուրգ	汉堡
Նյութափոխանակություն	代谢
Նարենդրա Մոդի	纳伦德拉·莫迪
Իմուն համակարգ	免疫系统
Գուջարաթ	古吉拉特邦
Օնտարիո լիճ	安大略湖
Էվոլյուցիա	演化
Ալեսանդրո Մանձոնի	亚历山达罗·孟佐尼
Միավորված Ազգերի Կազմակերպություն	联合国
Վերին լիճ	苏必利尔湖
Դանթե Ալիգիերի	但丁·阿利吉耶里
Երկրաբանություն	地质学
Աշխարհագրություն	地理学
Սիրտ	心臟
Գլխուղեղ	脑
Մաշկ	皮膚
Գույն	颜色
Ամբողջ ծանրությամբ	絕命毒師
Սալեռնո	薩萊諾
Գոյական անուն	名詞
Պրահա	布拉格
Ռութենիում	钌
Ռոդիում	铑
Պալադիում	钯
Արծաթ	銀
Կադմիում	镉
Լիմբուրխ (Նիդերլանդներ)	林堡省 (荷兰)
Ինդիում	铟
Լիմբուրգ (Բելգիայի նահանգ)	林堡省 (比利时)
Անագ	锡
Ուրան (տարր)	鈾
Ծարիր	锑
Տելուր	碲
Հյուսիսային Բրաբանդ	北布拉班特省
Պլուտոնիում	钚
Յոդ	碘
Նեպտունիում	镎
Քսենոն	氙
Անիմե	日本动画
Ցեզիում	铯
Պրոտակտինիում	镤
Էլեկտրական լիցք	電荷
Բարիում	钡
Արևմտյան Ֆլանդրիա	西佛兰德省
Արևելյան Ֆլանդրիա	东佛兰德省
Թորիում	钍
Անտվերպեն (նահանգ)	安特衛普省
Ֆլամանդական Բրաբանտ	弗拉芒-布拉班特省
Հաֆնիում	铪
Ակտինիում	锕
Վալոնյան Բրաբանտ	瓦隆-布拉班特省
Տանտալ	钽
Բիլ Քլինթոն	比尔·克林顿
Նամյուր (նահանգ)	那慕爾省
Լյուքսեմբուրգ (նահանգ)	盧森堡省
Լիեժ (նահանգ)	列日省
Ռադիում	镭
Էնո	埃諾省
Ռադոն	氡
Լոթարինգիա	洛林
Էլզաս	阿尔萨斯
Ժան Ֆիլիպ Ռամո	让-菲利普·拉莫
Ինդիրա Գանդի	英迪拉·甘地
Հեկտոր Բեռլիոզ	埃克托·柏辽兹
Օվերն	奥弗涅
Մումբայ	孟买
Արունաչալ Պրադեշ	阿鲁纳恰尔邦
Միչիգան	密歇根州
Միչիգան լիճ	密歇根湖
Բուրգունդիա	勃艮第
Հարյանա	哈里亚纳邦
Հիմաչալ-Պրադեշ	喜马偕尔邦
Մորիս Ռավել	莫里斯·拉威爾
Աքվիտանիա (երկրամաս)	阿基坦
Ջամմու և Քաշմիր	查谟-克什米尔邦
Պուերտո Ռիկո	波多黎各
Կառնատակա	卡纳塔克邦
Կերալա	喀拉拉邦
Մադհյա Պրադեշ	中央邦
Լիմուզան	利穆赞
Ժան Բատիստ Լյուլլի	让-巴普蒂斯特·吕利
Մեգհալայա	梅加拉亚邦
Հյուսիսային Հռենոս-Վեսթֆալիա	北莱茵-威斯特法伦
Հեսսեն	黑森
Սաքսոնիա	萨克森自由州
Ջոն Լենոն	约翰·列侬
Իլինոյս	伊利诺伊州
Թյուրինգիա	图林根
Սաքսոնիա-Անհալթ	萨克森-安哈尔特
Հյուսիսային Դակոտա	北达科他州
Բրանդենբուրգ	勃兰登堡
Լոմբարդիա	伦巴第
Հարավային Դակոտա	南达科他州
Մոնտանա	蒙大拿州
Վայոմինգ	怀俄明州
Սթրեյթ էդջ	直刃族
Երուսաղեմ	耶路撒冷
Այդահո	爱达荷州
Վալլե Դ'Աոստա	瓦莱达奥斯塔
Վաշինգտոն (նահանգ)	华盛顿州
Բրյուս Սպրինգստին	布鲁斯·斯普林斯廷
Ռեզերֆորդիում	鑪
Նևադա	内华达州
Դոն (գետ)	頓河 (俄羅斯)
Դուբնիում	𨧀
Սիբորգիում	𨭎
Ջուզեպե Սարագատ	朱塞佩·萨拉盖特
Հնդկական օվկիանոս	印度洋
Կոսովո	科索沃
