આફ્રિકા	非洲
વિકિમીડિયા કૉમન્સ	维基共享资源
લિથિયમ	锂
બેરિલિયમ	铍
દિવસ	日
પૂર્વ તિમોર	东帝汶
વર્ષ	年
ઓસ્લો	奥斯陆
કૃષ્ણ વિવર	黑洞
સિરસ (વામન ગ્રહ)	穀神星
હૌમેયા (વામન ગ્રહ)	妊神星
મેકમેક (વામન ગ્રહ)	鸟神星
બોરોન	硼
કાર્બન	碳
નત્રલવાયુ	氮
પ્રાણવાયુ (ઑક્સીજન)	氧
ગ્રહ	行星
સંગીત	音乐
ઉષ્ણતામાપક	溫度計
ફ્લોરિન	氟
નિયોન	氖
ચૅડ	乍得
ક્ષારાતુ	钠
ઉત્તર	北
મેગ્નેશિયમ	镁
સ્ફટયાતુ	铝
દક્ષિણ	南
ભારત	印度
સિલિકોન	硅
ફ્રાંસીયમ	钫
ફોસ્ફરસ	磷
લોખંડ	铁
પશ્ચિમ	西
ગંધક	硫
સમોઆ	萨摩亚
નીરજી	氯
વિલિયમ શેક્સપીયર	威廉·莎士比亚
આર્ગોન	氩
નૌરુ	諾魯
પોટેશિયમ	钾
કેલ્શિયમ	钙
સીસું	铅
મંગોલિયા	蒙古国
સ્કેન્ડિયમ	钪
ટાઇટેનિયમ	钛
વેનેઝુએલા	委內瑞拉
ચેસ	國際象棋
વેનેડિયમ	钒
વર્ણાતુ	铬
ઘોડો	马
હથિયારો	武器
પ્રાણી	动物
સુરીનામ	蘇利南
મેંગેનિઝ	锰
ગુયાના	圭亚那
કલા	艺术
ઈક્વેડોર	厄瓜多尔
રિનીયમ	铼
કોલમ્બિયા	哥伦比亚
કોબાલ્ટ	钴
ટંગસ્ટન	钨
નિકલ	镍
બૌદ્ધ ધર્મ	佛教
બોલીવિયા	玻利維亞
ઓસ્મીયમ	锇
તાંબુ	铜
ટ્રિનિદાદ અને ટોબેગો	千里達及托巴哥
જસત	锌
ન્યૂ હેમ્પશાયર	新罕布什尔州
લિઓનાર્ડો દ વિન્ચી	列奥纳多·达·芬奇
ગૂગલ ક્રોમ	Google Chrome
હોન્ડુરાસ	洪都拉斯
હૈતી	海地
ઈરાન	伊朗
ઈરાક	伊拉克
શાણપણ	智慧
ઈઝરાયલ	以色列
પનામા	巴拿马
યેમેન	也门
જૉર્ડન	约旦
કિર્ગિસ્તાન	吉尔吉斯斯坦
કુવૈત	科威特
લાઓસ	老挝
લેબેનાન	黎巴嫩
માલદીવ્સ	马尔代夫
અમેરિકા	美洲
મલેશિયા	马来西亚
બર્મા	缅甸
નેપાળ	尼泊尔
ઓમાન	阿曼
પાકિસ્તાન	巴基斯坦
જેમ્સ બોન્ડ	占士邦
કતાર (અરબસ્તાન)	卡塔尔
સાઉદી અરેબિયા	沙特阿拉伯
શ્રીલંકા	斯里蘭卡
સ્ટાલિન	斯大林
સિરિયા	叙利亚
પ્લેટો	柏拉图
ગેલિયમ	镓
તાજિકિસ્તાન	塔吉克斯坦
ચીની ગણતંત્ર	中華民國
યુ ટ્યુબ	YouTube
જર્મેનિયમ	锗
એરિસ્ટોટલ	亚里士多德
થાઇલેન્ડ	泰国
સોમલ	砷
તુર્કમેનિસ્તાન	土库曼斯坦
સેલિનીયમ	硒
ઈરિડીયમ	铱
બ્રોમિન	溴
પ્લેટિનમ	铂
વિયેતનામ	越南
ચાર્લી ચૅપ્લિન	查理·卓别林
દક્ષિણ કોરિયા	大韩民国
ક્રિપ્ટોન	氪
અફઘાનિસ્તાન	阿富汗
રુબિડીયમ	铷
સોનું	金
સુએઝ નહેર	苏伊士运河
બાંગ્લાદેશ	孟加拉国
સોક્રેટિસ	苏格拉底
ભૂતાન	不丹
બ્રુનેઈ	文莱
ટાન્ઝાનિયા	坦桑尼亚
પારો	汞
ફીલીપાઈન્સ	菲律宾
થેલીયમ	铊
આઇઝેક ન્યુટન	艾萨克·牛顿
આલ્બર્ટ આઇન્સ્ટાઇન	阿尔伯特·爱因斯坦
સ્ટ્રોન્શિયમ	锶
ઈટ્રીયમ	钇
બિસ્મથ	铋
ટોગો	多哥
ટ્યુનિશિયા	突尼西亞
બેઇજિંગ	北京市
બેનિન	贝宁
પોલોનીયમ	钋
એસ્ટાટીન	砹
મહાત્મા ગાંધી	圣雄甘地
મડાગાસ્કર	马达加斯加
સ્ટુટગાર્ટ	斯图加特
નાઈજર	尼日尔
નાઈજેરિયા	奈及利亞
ચાર્લ્સ ડાર્વિન	查尔斯·达尔文
ઝિર્કોનિયમ	锆
નાયોબિયમ	铌
જવાહરલાલ નેહરુ	贾瓦哈拉尔·尼赫鲁
જુલિયસ સીઝર	尤利烏斯·凱撒
સુદાન	苏丹共和国
સ્વાઝીલેન્ડ	斯威士兰
મેઘધનુષ	彩虹
મોલિબ્ડેનમ	钼
ટેક્નેશિયમ	锝
ચયાપચય	代谢
નરેન્દ્ર મોદી	纳伦德拉·莫迪
ગુજરાત	古吉拉特邦
ઉત્ક્રાંતિ	演化
સંયુક્ત રાષ્ટ્રસંઘ	联合国
અમદાવાદ	艾哈迈达巴德
ભૂગોળ	地理学
મગજ	脑
સંજ્ઞા	名詞
રુથેનિયમ	钌
રોડિયમ	铑
પલેડિયમ	钯
ચાંદી	銀
કેડમિયમ	镉
ઈંડિયમ	铟
ટીન	锡
યુરેનિયમ	鈾
એંટિમની	锑
ટેલુરિયમ	碲
પ્લુટોનીયમ	钚
આયોડિન	碘
નેપ્ચ્યુનીયમ	镎
ઝેનોન	氙
સીસીયમ	铯
પ્રોટેક્ટિનીયમ	镤
બેરિયમ	钡
થોરીયમ	钍
હાફનીયમ	铪
એક્ટિનીયમ	锕
ટેન્ટેલમ	钽
રેડિયમ	镭
રેડૉન	氡
ઈન્દિરા ગાંધી	英迪拉·甘地
જામનગર	贾姆讷格尔
મુંબઈ	孟买
આંધ્ર પ્રદેશ	安得拉邦
અરુણાચલ પ્રદેશ	阿鲁纳恰尔邦
આસામ	阿萨姆邦
બિહાર	比哈尔邦
છત્તીસગઢ	恰蒂斯加尔邦
ગોઆ	果阿邦
હરિયાણા	哈里亚纳邦
હિમાચલ પ્રદેશ	喜马偕尔邦
જમ્મુ અને કાશ્મીર	查谟-克什米尔邦
ઝારખંડ	贾坎德邦
કર્ણાટક	卡纳塔克邦
કેરળ	喀拉拉邦
મધ્ય પ્રદેશ	中央邦
યુસૈન બોલ્ટ	尤塞恩·博尔特
મહારાષ્ટ્ર	马哈拉施特拉邦
મણિપુર	曼尼普尔邦
મેઘાલય	梅加拉亚邦
બ્રુસ સ્પ્રિન્ગસ્ટીન	布鲁斯·斯普林斯廷
રુથરફોર્ડીયમ	鑪
ડૂબનીયમ	𨧀
સીબોર્ગીયમ	𨭎
હિંદ મહાસાગર	印度洋
કેરેબિયન સાગર	加勒比海
બોહ્રીયમ	𨨏
હેસીયમ	𨭆
માઈટનિરીયમ	䥑
ડાર્મસ્ટેડીયમ	鐽
રેન્ટજિનીયમ	錀
કોપરનિસીયમ	鎶
ધ બિટલ્સ	披頭四樂隊
શિયાળો	冬季
ઉનાળો	夏季
સમપ્રકાશીય ઘટના કે વિષુવકાલ	晝夜平分點
ફિલાડેલ્ફિયા, પેન્સિલવેનિયા	費城
કોલકાતા	加尔各答
ચેન્નઈ	金奈
દિલ્હી	德里
ઢાકા	达卡
બેંગલોર	班加羅爾
પશ્ચિમ બંગાળ	西孟加拉邦
હૈદરાબાદ	海得拉巴 (印度)
ઇસ્લામાબાદ	伊斯兰堡
ત્રિપુરા	特里普拉邦
વાંદરો	猴
સિરીયમ	铈
પ્રેસિયોડિમિયમ	镨
નિયોડીમીયમ	钕
લેનિન	列宁
યુરોપિયમ	铕
ઊએતેર્સેન્	于特森
ઇન્ડિયાના	印第安纳州
નોકિયા	诺基亚
મોટરગાડી	汽车
ટ્રાજન	圖拉真
રોજર ફેડરર	罗杰·费德勒
રાજસ્થાન	拉贾斯坦邦
તમિલનાડુ	泰米尔纳德邦
હોકી	曲棍球
ક્રોહનનો રોગ	克隆氏症
ઉત્તર પ્રદેશ	北方邦
ઉત્તરાખંડ	北阿坎德邦
મિઝોરમ	米佐拉姆邦
સિક્કિમ	锡金
ટેનેસી	田纳西州
નાગપુર	那格浦尔
કારાકાસ	卡拉卡斯
પુના	浦那
આયોવા	艾奥瓦州
નેબ્રાસ્કા	內布拉斯加州
કેન્સાસ	堪薩斯州
હિંદી ભાષા	印地语
મરાઠી ભાષા	马拉地语
ગણેશ	象头神
મિઝોરી	密蘇里州
લ્યુઇસિયાના	路易斯安那州
નાગાલેંડ	那加兰邦
અરકાનસાસ	阿肯色州
નીલ આર્મસ્ટ્રૉંગ	尼尔·阿姆斯特朗
ઉર્દુ ભાષા	乌尔都语
ઓક્લાહોમા	奧克拉荷馬州
બુડાપેસ્ટ	布达佩斯
લેન્થેનમ	镧
પ્રોમેથિયમ	钷
સમેરિયમ	钐
ગેડોલિનીયમ	钆
ટર્બિયમ	铽
ડીસ્પ્રોસીયમ	镝
બાઇબલ	聖經
હોલ્મીયમ	钬
અર્બિયમ	铒
થુલિયમ	铥
ઈટરબિયમ	镱
લ્યુટેશિયમ	镥
સત્ય ઇસુ દેવળ	真耶稣教会
અંગ્રેજી ભાષા	英语
અમેરિસીયમ	镅
ક્યુરીયમ	锔
બર્કેલીયમ	锫
કેલિફોર્નીયમ	锎
આઇન્સ્ટેનીયમ	锿
ફર્મીયમ	镄
મેન્ડેલિવીયમ	钔
નોબેલીયમ	锘
લોરેન્સીયમ	鐒
ગુરુના ચંદ્રો	木星的卫星
કઞ્સ્કવલા	孔斯科沃拉
૨૦૦૧	2001年
વિકિટ્રાવેલ	维客旅行
૧૯૯૩	1993年
૧૯૧૦	1910年
સાપ	蛇
મુખ મૈથુન	口交
જાન્યુઆરી ૧	1月1日
જાન્યુઆરી ૨	1月2日
સુભાષચંદ્ર બોઝ	苏巴斯·钱德拉·鲍斯
જાન્યુઆરી ૩	1月3日
જાન્યુઆરી ૪	1月4日
જાન્યુઆરી ૫	1月5日
જાન્યુઆરી ૬	1月6日
જાન્યુઆરી ૭	1月7日
જાન્યુઆરી ૮	1月8日
જાન્યુઆરી ૯	1月9日
જાન્યુઆરી ૧૦	1月10日
જાન્યુઆરી ૧૧	1月11日
જાન્યુઆરી ૧૨	1月12日
જાન્યુઆરી ૧૩	1月13日
બર્મિંગહામ	伯明翰
જાન્યુઆરી ૧૪	1月14日
જાન્યુઆરી ૧૫	1月15日
જાન્યુઆરી ૧૬	1月16日
જાન્યુઆરી ૧૭	1月17日
જાન્યુઆરી ૧૮	1月18日
જાન્યુઆરી ૧૯	1月19日
જાન્યુઆરી ૨૦	1月20日
જાન્યુઆરી ૨૧	1月21日
જાન્યુઆરી ૨૨	1月22日
જાન્યુઆરી ૨૩	1月23日
જાન્યુઆરી ૨૪	1月24日
જાન્યુઆરી ૨૫	1月25日
જાન્યુઆરી ૨૬	1月26日
માઇક્રોસોફ્ટ	微软
જાન્યુઆરી ૨૭	1月27日
જાન્યુઆરી ૨૮	1月28日
જાન્યુઆરી ૨૯	1月29日
જાન્યુઆરી ૩૦	1月30日
જાન્યુઆરી ૩૧	1月31日
ડિસેમ્બર ૨	12月2日
ડિસેમ્બર ૧	12月1日
ડિસેમ્બર ૩	12月3日
ડિસેમ્બર ૭	12月7日
ડિસેમ્બર ૫	12月5日
ડિસેમ્બર ૮	12月8日
ડિસેમ્બર ૧૦	12月10日
ડિસેમ્બર ૬	12月6日
ડિસેમ્બર ૯	12月9日
પિંક ફ્લોઇડ	平克·弗洛伊德
ડિસેમ્બર ૪	12月4日
ફેબ્રુઆરી ૧	2月1日
ફેબ્રુઆરી ૨	2月2日
ફેબ્રુઆરી ૩	2月3日
કુરોવ	库鲁夫
ફેબ્રુઆરી ૪	2月4日
ફેબ્રુઆરી ૫	2月5日
ફેબ્રુઆરી ૬	2月6日
ફેબ્રુઆરી ૭	2月7日
ફેબ્રુઆરી ૮	2月8日
ફેબ્રુઆરી ૯	2月9日
ફેબ્રુઆરી ૧૦	2月10日
રસાયણ શાસ્ત્ર	化學
ફેબ્રુઆરી ૧૪	2月14日
ફેબ્રુઆરી ૧૩	2月13日
ફેબ્રુઆરી ૧૫	2月15日
ફેબ્રુઆરી ૧૧	2月11日
ફેબ્રુઆરી ૧૨	2月12日
ફેબ્રુઆરી ૧૯	2月19日
ફેબ્રુઆરી ૧૭	2月17日
ફેબ્રુઆરી ૧૬	2月16日
ફેબ્રુઆરી ૧૮	2月18日
ફેબ્રુઆરી ૨૦	2月20日
ફેબ્રુઆરી ૨૧	2月21日
ફેબ્રુઆરી ૨૨	2月22日
ફેબ્રુઆરી ૨૩	2月23日
ફેબ્રુઆરી ૨૪	2月24日
ફેબ્રુઆરી ૨૫	2月25日
ફેબ્રુઆરી ૨૬	2月26日
ફેબ્રુઆરી ૨૭	2月27日
ફેબ્રુઆરી ૨૮	2月28日
ડિસેમ્બર ૧૧	12月11日
ફેબ્રુઆરી ૨૯	2月29日
ડિસેમ્બર ૧૨	12月12日
C શાર્પ (પ્રોગ્રામિંગ ભાષા)	C♯
ડિસેમ્બર ૧૩	12月13日
ડિસેમ્બર ૧૪	12月14日
ડિસેમ્બર ૧૫	12月15日
માર્ચ ૨	3月2日
માર્ચ ૩	3月3日
માર્ચ ૫	3月5日
માર્ચ ૧	3月1日
માર્ચ ૭	3月7日
માર્ચ ૮	3月8日
માર્ચ ૪	3月4日
માર્ચ ૧૦	3月10日
માર્ચ ૧૧	3月11日
માર્ચ ૬	3月6日
માર્ચ ૧૩	3月13日
માર્ચ ૯	3月9日
માર્ચ ૧૨	3月12日
માર્ચ ૧૫	3月15日
માર્ચ ૧૪	3月14日
C++(પ્રોગ્રામિંગ ભાષા)	C++
ડિસેમ્બર ૧૬	12月16日
ડિસેમ્બર ૧૭	12月17日
માર્ચ ૧૬	3月16日
માર્ચ ૧૭	3月17日
માર્ચ ૧૮	3月18日
માર્ચ ૧૯	3月19日
માર્ચ ૨૦	3月20日
માર્ચ ૨૧	3月21日
માર્ચ ૨૨	3月22日
ડિસેમ્બર ૧૮	12月18日
માર્ચ ૨૩	3月23日
ડિસેમ્બર ૧૯	12月19日
માર્ચ ૨૪	3月24日
માર્ચ ૨૫	3月25日
ડિસેમ્બર ૨૦	12月20日
માર્ચ ૨૬	3月26日
માર્ચ ૨૭	3月27日
માર્ચ ૨૮	3月28日
માર્ચ ૨૯	3月29日
માર્ચ ૩૦	3月30日
માર્ચ ૩૧	3月31日
એપ્રિલ ૧૫	4月15日
એપ્રિલ ૧૩	4月13日
એપ્રિલ ૧૨	4月12日
એપ્રિલ ૧૪	4月14日
એપ્રિલ ૧૧	4月11日
એપ્રિલ ૧૦	4月10日
એપ્રિલ ૮	4月8日
એપ્રિલ ૯	4月9日
એપ્રિલ ૭	4月7日
એપ્રિલ ૬	4月6日
એપ્રિલ ૫	4月5日
એપ્રિલ ૪	4月4日
એપ્રિલ ૩	4月3日
એપ્રિલ ૧	4月1日
એપ્રિલ ૨	4月2日
એપ્રિલ ૧૬	4月16日
એપ્રિલ ૧૭	4月17日
એપ્રિલ ૧૮	4月18日
એપ્રિલ ૧૯	4月19日
એપ્રિલ ૨૦	4月20日
એપ્રિલ ૨૧	4月21日
એપ્રિલ ૨૨	4月22日
એપ્રિલ ૨૩	4月23日
એપ્રિલ ૨૪	4月24日
એપ્રિલ ૨૫	4月25日
એપ્રિલ ૨૬	4月26日
એપ્રિલ ૨૭	4月27日
એપ્રિલ ૨૮	4月28日
એપ્રિલ ૨૯	4月29日
એપ્રિલ ૩૦	4月30日
મે ૧	5月1日
મે ૨	5月2日
મે ૩	5月3日
મે ૪	5月4日
મે ૫	5月5日
મે ૬	5月6日
મે ૭	5月7日
મે ૮	5月8日
મે ૯	5月9日
મે ૧૦	5月10日
મે ૧૧	5月11日
મે ૧૨	5月12日
મે ૧૩	5月13日
મે ૧૪	5月14日
મે ૧૫	5月15日
મે ૧૬	5月16日
મે ૧૭	5月17日
મે ૧૮	5月18日
મે ૧૯	5月19日
મે ૨૦	5月20日
મે ૨૧	5月21日
મે ૨૨	5月22日
મે ૨૩	5月23日
મે ૨૪	5月24日
મે ૨૫	5月25日
મે ૨૬	5月26日
મે ૨૭	5月27日
મે ૨૮	5月28日
મે ૨૯	5月29日
મે ૩૦	5月30日
મે ૩૧	5月31日
ડિસેમ્બર ૨૧	12月21日
જૂન ૧૪	6月14日
જૂન ૧૫	6月15日
જૂન ૧૩	6月13日
જૂન ૧૦	6月10日
જૂન ૭	6月7日
જૂન ૧૧	6月11日
જૂન ૯	6月9日
જૂન ૧૨	6月12日
જૂન ૬	6月6日
જૂન ૮	6月8日
જૂન ૫	6月5日
જૂન ૩	6月3日
જૂન ૨	6月2日
જૂન ૧	6月1日
જૂન ૪	6月4日
ડિસેમ્બર ૨૨	12月22日
જૂન ૧૬	6月16日
જૂન ૩૦	6月30日
જૂન ૨૯	6月29日
જૂન ૨૮	6月28日
જૂન ૨૬	6月26日
જૂન ૨૫	6月25日
જૂન ૨૨	6月22日
જૂન ૨૭	6月27日
જૂન ૨૪	6月24日
જૂન ૨૦	6月20日
જૂન ૨૩	6月23日
જૂન ૧૯	6月19日
જૂન ૧૮	6月18日
જૂન ૨૧	6月21日
જૂન ૧૭	6月17日
ડિસેમ્બર ૨૩	12月23日
આર્નોલ્ડ શ્વાર્ઝેનેગર	阿诺·施瓦辛格
જુલાઇ ૧૫	7月15日
જુલાઇ ૧૩	7月13日
જુલાઇ ૧૨	7月12日
જુલાઇ ૧૦	7月10日
જુલાઇ ૯	7月9日
જુલાઇ ૧૪	7月14日
જુલાઇ ૮	7月8日
જુલાઇ ૭	7月7日
જુલાઇ ૬	7月6日
જુલાઇ ૫	7月5日
જુલાઇ ૨	7月2日
જુલાઇ ૪	7月4日
જુલાઇ ૩	7月3日
જુલાઇ ૧	7月1日
જુલાઇ ૧૧	7月11日
ડિસેમ્બર ૨૪	12月24日
જુલાઇ ૩૧	7月31日
જુલાઇ ૩૦	7月30日
જુલાઇ ૨૯	7月29日
જુલાઇ ૨૮	7月28日
જુલાઇ ૨૭	7月27日
જુલાઇ ૨૫	7月25日
જુલાઇ ૨૪	7月24日
જુલાઇ ૨૩	7月23日
જુલાઇ ૨૬	7月26日
જુલાઇ ૨૨	7月22日
જુલાઇ ૧૯	7月19日
જુલાઇ ૨૧	7月21日
જુલાઇ ૨૦	7月20日
જુલાઇ ૧૭	7月17日
જુલાઇ ૧૮	7月18日
જુલાઇ ૧૬	7月16日
અસોસિએશન ફુટબોલ	足球
ડિસેમ્બર ૨૫	12月25日
ડિસેમ્બર ૨૬	12月26日
ઓગસ્ટ ૧૪	8月14日
ઓગસ્ટ ૧૫	8月15日
ઓગસ્ટ ૧૩	8月13日
ઓગસ્ટ ૧૨	8月12日
ઓગસ્ટ ૧૧	8月11日
ઓગસ્ટ ૧૦	8月10日
ઓગસ્ટ ૮	8月8日
ઓગસ્ટ ૭	8月7日
ઓગસ્ટ ૯	8月9日
ઓગસ્ટ ૫	8月5日
ઓગસ્ટ ૪	8月4日
ઓગસ્ટ ૨	8月2日
ઓગસ્ટ ૩	8月3日
ઓગસ્ટ ૬	8月6日
ઓગસ્ટ ૧	8月1日
આઇપેડ (iPad)	IPad
ડિસેમ્બર ૨૭	12月27日
સબમરીન	潛艇
ઓગસ્ટ ૧૬	8月16日
ઓગસ્ટ ૨૯	8月29日
ઓગસ્ટ ૨૮	8月28日
ઓગસ્ટ ૩૦	8月30日
ઓગસ્ટ ૨૫	8月25日
ઓગસ્ટ ૨૬	8月26日
ઓગસ્ટ ૨૩	8月23日
ઓગસ્ટ ૨૭	8月27日
ઓગસ્ટ ૨૧	8月21日
ઓગસ્ટ ૨૦	8月20日
ઓગસ્ટ ૨૪	8月24日
ઓગસ્ટ ૧૮	8月18日
ઓગસ્ટ ૧૭	8月17日
ઓગસ્ટ ૨૨	8月22日
ઓગસ્ટ ૧૯	8月19日
ઓગસ્ટ ૩૧	8月31日
માઇકલ જેકસન	迈克尔·杰克逊
ડિસેમ્બર ૨૮	12月28日
સપ્ટેમ્બર ૧૫	9月15日
સપ્ટેમ્બર ૧૪	9月14日
સપ્ટેમ્બર ૧૩	9月13日
સપ્ટેમ્બર ૧૨	9月12日
સપ્ટેમ્બર ૮	9月8日
સપ્ટેમ્બર ૧૧	9月11日
સપ્ટેમ્બર ૭	9月7日
સપ્ટેમ્બર ૧૦	9月10日
સપ્ટેમ્બર ૫	9月5日
સપ્ટેમ્બર ૪	9月4日
સપ્ટેમ્બર ૯	9月9日
સપ્ટેમ્બર ૨	9月2日
સપ્ટેમ્બર ૬	9月6日
સપ્ટેમ્બર ૧	9月1日
સપ્ટેમ્બર ૩	9月3日
ડિસેમ્બર ૨૯	12月29日
સપ્ટેમ્બર ૩૦	9月30日
સપ્ટેમ્બર ૨૯	9月29日
સપ્ટેમ્બર ૨૮	9月28日
સપ્ટેમ્બર ૨૭	9月27日
સપ્ટેમ્બર ૨૬	9月26日
સપ્ટેમ્બર ૨૫	9月25日
સપ્ટેમ્બર ૨૩	9月23日
સપ્ટેમ્બર ૨૨	9月22日
સપ્ટેમ્બર ૨૪	9月24日
સપ્ટેમ્બર ૨૧	9月21日
સપ્ટેમ્બર ૨૦	9月20日
સપ્ટેમ્બર ૧૮	9月18日
સપ્ટેમ્બર ૧૭	9月17日
સપ્ટેમ્બર ૧૯	9月19日
સપ્ટેમ્બર ૧૬	9月16日
ડિસેમ્બર ૩૦	12月30日
ડિસેમ્બર ૩૧	12月31日
ઓક્ટોબર ૧	10月1日
ઓક્ટોબર ૧૫	10月15日
ઓક્ટોબર ૧૨	10月12日
ઓક્ટોબર ૧૦	10月10日
ઓક્ટોબર ૧૪	10月14日
